Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2018-10-17,DEN,LAC,13:22,2,2,3,False
2018-10-20,DEN,PHO,13:49,4,0,7,False
2018-10-21,DEN,GSW,15:36,11,2,2,False
2018-10-23,DEN,SAC,20:46,11,2,7,False
2018-10-25,DEN,LAL,14:50,10,1,3,False
2018-10-29,DEN,NOP,18:30,2,1,5,False
2018-10-31,DEN,CHI,20:13,13,1,4,False
2018-11-01,DEN,CLE,21:43,11,3,6,False
2018-11-03,DEN,UTA,17:09,7,1,6,False
2018-11-05,DEN,BOS,17:29,2,1,7,False
2018-11-07,DEN,MEM,22:24,10,1,6,False
2018-11-09,DEN,BRK,14:48,4,2,3,False
2018-11-11,DEN,MIL,15:10,1,2,1,False
2018-11-13,DEN,HOU,14:11,4,4,2,False
2018-11-15,DEN,ATL,12:09,6,1,5,False
2018-11-17,DEN,NOP,12:54,4,1,5,False
2018-11-19,DEN,MIL,15:26,5,1,5,False
2018-11-21,DEN,MIN,17:33,4,7,4,False
2018-11-23,DEN,ORL,20:52,15,4,11,False
2018-11-24,DEN,OKC,20:49,11,2,7,False
2018-11-27,DEN,LAL,20:42,10,1,10,False
2018-11-30,DEN,POR,14:14,3,3,3,False
2018-12-03,DEN,TOR,18:33,4,1,8,False
2018-12-05,DEN,ORL,19:46,11,4,7,False
2018-12-07,DEN,CHO,20:09,7,2,7,False
2018-12-08,DEN,ATL,19:23,6,5,3,False
2018-12-10,DEN,MEM,35:12,12,1,10,True
2018-12-14,DEN,OKC,19:38,6,3,4,True
2018-12-16,DEN,TOR,26:37,10,2,7,True
2018-12-18,DEN,DAL,33:56,11,3,9,True
2018-12-22,DEN,LAC,29:59,8,4,9,True
2018-12-26,DEN,SAS,29:10,7,3,6,True
2018-12-28,DEN,SAS,32:04,3,3,12,True
2018-12-29,DEN,PHO,21:35,7,3,8,True
2019-01-01,DEN,NYK,23:47,8,2,7,True
2019-01-03,DEN,SAC,29:49,12,4,10,True
2019-01-05,DEN,CHO,19:17,8,5,3,True
2019-01-07,DEN,HOU,15:20,6,1,3,False
2019-01-08,DEN,MIA,10:55,5,3,3,False
2019-01-10,DEN,LAC,20:12,17,5,12,False
2019-01-12,DEN,PHO,16:19,6,3,4,False
2019-01-13,DEN,POR,20:41,8,1,7,False
2019-01-15,DEN,GSW,20:16,9,6,5,False
2019-01-17,DEN,CHI,19:42,8,4,2,False
2019-01-19,DEN,CLE,20:11,5,3,9,False
2019-01-23,DEN,UTA,3:33,2,0,1,False
2019-01-25,DEN,PHO,24:58,16,6,7,True
2019-01-26,DEN,PHI,22:02,17,4,6,False
2019-01-28,DEN,MEM,18:43,4,2,7,False
2019-01-30,DEN,NOP,14:24,9,1,4,False
2019-02-01,DEN,HOU,19:11,10,2,5,False
2019-02-02,DEN,MIN,26:00,4,5,5,False
2019-02-04,DEN,DET,32:38,15,6,11,True
2019-02-06,DEN,BRK,28:23,24,0,6,True
2019-02-08,DEN,PHI,36:24,10,6,8,True
2019-02-11,DEN,MIA,30:59,11,3,8,True
2019-02-13,DEN,SAC,21:33,8,3,7,False
2019-02-22,DEN,DAL,21:37,12,3,13,False
2019-02-24,DEN,LAC,15:25,9,4,6,False
2019-02-26,DEN,OKC,20:54,2,1,6,False
2019-02-28,DEN,UTA,21:36,11,6,9,False
2019-03-02,DEN,NOP,24:48,14,3,9,False
2019-03-04,DEN,SAS,14:16,0,3,4,False
2019-03-06,DEN,LAL,15:21,9,3,4,False
2019-03-08,DEN,GSW,23:08,8,2,12,False
2019-03-12,DEN,MIN,20:41,7,8,3,False
2019-03-14,DEN,DAL,23:35,3,2,11,False
2019-03-16,DEN,IND,23:12,4,5,2,False
2019-03-18,DEN,BOS,20:45,3,4,2,False
2019-03-21,DEN,WAS,25:47,4,4,11,False
2019-03-22,DEN,NYK,23:32,11,4,9,False
2019-03-24,DEN,IND,16:46,4,2,3,False
2019-03-26,DEN,DET,22:31,10,3,12,False
2019-03-28,DEN,HOU,23:06,4,2,8,False
2019-03-29,DEN,OKC,22:40,11,3,5,False
2019-03-31,DEN,WAS,25:05,9,2,11,False
2019-04-02,DEN,GSW,22:43,3,3,5,False
2019-04-03,DEN,SAS,18:35,9,4,6,False
2019-04-05,DEN,POR,28:20,4,4,6,False
2019-04-07,DEN,POR,31:55,10,6,11,True
2019-04-09,DEN,UTA,34:06,10,8,8,False
2019-04-10,DEN,MIN,14:22,2,2,6,False
