Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2018-10-17,SAS,MIN,7:52,4,2,4,True
2018-10-20,SAS,POR,13:06,0,2,2,True
2018-10-22,SAS,LAL,N/A,N/A,N/A,N/A,False
2018-10-24,SAS,IND,12:49,2,0,5,True
2018-10-27,SAS,LAL,N/A,N/A,N/A,N/A,False
2018-10-29,SAS,DAL,N/A,N/A,N/A,N/A,False
2018-10-31,SAS,PHO,8:08,2,1,4,False
2018-11-03,SAS,NOP,0:54,0,0,0,False
2018-11-04,SAS,ORL,14:18,2,1,5,False
2018-11-07,SAS,MIA,12:23,3,0,4,False
2018-11-10,SAS,HOU,N/A,N/A,N/A,N/A,False
2018-11-12,SAS,SAC,13:00,1,1,4,False
2018-11-14,SAS,PHO,19:25,7,1,9,False
2018-11-15,SAS,LAC,9:58,6,0,4,False
2018-11-18,SAS,GSW,7:54,4,0,5,False
2018-11-19,SAS,NOP,15:01,11,0,4,False
2018-11-21,SAS,MEM,5:49,2,0,1,False
2018-11-23,SAS,IND,15:26,6,1,4,False
2018-11-24,SAS,MIL,14:03,7,2,5,False
2018-11-26,SAS,CHI,17:40,10,4,4,False
2018-11-28,SAS,MIN,20:43,14,0,8,False
2018-11-30,SAS,HOU,13:01,4,1,3,False
2018-12-02,SAS,POR,13:19,6,2,3,False
2018-12-04,SAS,UTA,19:28,20,1,7,False
2018-12-05,SAS,LAL,15:11,6,0,8,False
2018-12-07,SAS,LAL,23:52,14,2,8,False
2018-12-09,SAS,UTA,18:40,2,2,6,False
2018-12-11,SAS,PHO,20:43,8,1,11,False
2018-12-13,SAS,LAC,21:00,3,2,6,False
2018-12-15,SAS,CHI,15:48,5,0,4,False
2018-12-17,SAS,PHI,20:55,8,0,5,False
2018-12-19,SAS,ORL,21:48,4,3,4,False
2018-12-21,SAS,MIN,27:09,12,1,6,False
2018-12-22,SAS,HOU,16:35,6,1,4,False
2018-12-26,SAS,DEN,18:46,6,2,11,False
2018-12-28,SAS,DEN,17:51,7,2,5,False
2018-12-29,SAS,LAC,10:26,3,1,4,False
2018-12-31,SAS,BOS,20:07,2,5,6,True
2019-01-03,SAS,TOR,13:11,2,1,7,False
2019-01-05,SAS,MEM,17:02,11,2,6,False
2019-01-07,SAS,DET,27:04,7,2,6,True
2019-01-09,SAS,MEM,13:39,1,1,3,True
2019-01-10,SAS,OKC,7:54,0,1,1,False
2019-01-12,SAS,OKC,18:33,6,1,10,False
2019-01-14,SAS,CHO,11:03,2,0,0,False
2019-01-16,SAS,DAL,19:43,6,4,7,False
2019-01-18,SAS,MIN,11:34,4,0,1,False
2019-01-20,SAS,LAC,12:51,2,2,4,False
2019-01-23,SAS,PHI,13:15,2,0,4,False
2019-01-26,SAS,NOP,5:44,3,1,1,False
2019-01-27,SAS,WAS,15:03,4,1,5,False
2019-01-29,SAS,PHO,8:18,4,1,1,False
2019-01-31,SAS,BRK,4:02,0,1,1,False
2019-02-02,SAS,NOP,6:48,2,2,2,False
2019-02-04,SAS,SAC,15:47,8,0,6,False
2019-02-06,SAS,GSW,20:01,7,6,3,True
2019-02-07,SAS,POR,12:52,8,0,6,False
2019-02-09,SAS,UTA,23:54,8,1,7,True
2019-02-12,SAS,MEM,12:53,0,0,5,False
2019-02-22,SAS,TOR,17:01,8,1,9,False
2019-02-24,SAS,NYK,19:42,12,2,9,False
2019-02-25,SAS,BRK,11:26,0,0,7,False
2019-02-27,SAS,DET,34:04,11,1,14,True
2019-03-02,SAS,OKC,26:02,5,1,7,True
2019-03-04,SAS,DEN,18:21,6,1,3,True
2019-03-06,SAS,ATL,N/A,N/A,N/A,N/A,False
2019-03-10,SAS,MIL,26:36,8,3,8,True
2019-03-12,SAS,DAL,28:55,4,3,7,True
2019-03-15,SAS,NYK,26:40,12,2,9,True
2019-03-16,SAS,POR,24:31,8,1,6,True
2019-03-18,SAS,GSW,24:32,6,0,7,True
2019-03-20,SAS,MIA,13:50,2,2,8,True
2019-03-22,SAS,HOU,14:40,8,0,8,False
2019-03-24,SAS,BOS,24:58,6,0,10,True
2019-03-26,SAS,CHO,20:05,7,0,6,True
2019-03-28,SAS,CLE,18:43,4,1,2,True
2019-03-31,SAS,SAC,12:03,2,0,3,False
2019-04-02,SAS,ATL,9:37,2,1,2,False
2019-04-03,SAS,DEN,17:04,3,1,7,True
2019-04-05,SAS,WAS,23:38,13,3,7,True
2019-04-07,SAS,CLE,26:00,8,0,10,True
2019-04-10,SAS,DAL,19:50,4,2,2,True
