Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2018-10-17,DAL,PHO,17:29,16,0,5,False
2018-10-20,DAL,MIN,16:51,19,2,6,False
2018-10-22,DAL,CHI,16:24,12,4,4,False
2018-10-24,DAL,ATL,12:29,8,2,4,False
2018-10-26,DAL,TOR,14:30,4,0,2,False
2018-10-28,DAL,UTA,11:23,4,0,2,False
2018-10-29,DAL,SAS,11:45,0,0,1,False
2018-10-31,DAL,LAL,17:15,12,1,8,False
2018-11-02,DAL,NYK,15:14,8,0,2,False
2018-11-06,DAL,WAS,15:09,7,1,4,False
2018-11-07,DAL,UTA,10:57,6,1,2,False
2018-11-10,DAL,OKC,20:01,7,0,3,False
2018-11-12,DAL,CHI,16:49,11,0,4,False
2018-11-14,DAL,UTA,25:37,13,4,5,False
2018-11-17,DAL,GSW,17:04,7,0,4,False
2018-11-19,DAL,MEM,N/A,N/A,N/A,N/A,False
2018-11-21,DAL,BRK,N/A,N/A,N/A,N/A,False
2018-11-24,DAL,BOS,N/A,N/A,N/A,N/A,False
2018-11-28,DAL,HOU,18:36,6,0,3,False
2018-11-30,DAL,LAL,16:56,17,2,7,False
2018-12-02,DAL,LAC,16:27,8,2,7,False
2018-12-04,DAL,POR,15:58,7,1,4,False
2018-12-05,DAL,NOP,23:38,12,0,10,False
2018-12-08,DAL,HOU,16:00,2,3,3,False
2018-12-10,DAL,ORL,20:45,16,1,4,False
2018-12-12,DAL,ATL,14:43,5,0,1,False
2018-12-13,DAL,PHO,15:43,6,1,8,False
2018-12-16,DAL,SAC,18:24,8,2,3,False
2018-12-18,DAL,DEN,16:55,8,1,2,False
2018-12-20,DAL,LAC,6:30,4,0,3,False
2018-12-22,DAL,GSW,N/A,N/A,N/A,N/A,False
2018-12-23,DAL,POR,18:41,14,0,2,False
2018-12-26,DAL,NOP,17:48,5,0,3,False
2018-12-28,DAL,NOP,13:14,10,1,8,False
2018-12-30,DAL,OKC,14:33,6,0,2,False
2018-12-31,DAL,OKC,15:30,3,0,3,False
2019-01-02,DAL,CHO,23:45,15,2,8,False
2019-01-04,DAL,BOS,17:22,6,0,8,False
2019-01-05,DAL,PHI,17:15,13,1,3,False
2019-01-07,DAL,LAL,14:33,8,2,7,False
2019-01-09,DAL,PHO,16:21,2,2,4,False
2019-01-11,DAL,MIN,18:16,15,0,3,False
2019-01-13,DAL,GSW,17:02,8,1,3,False
2019-01-16,DAL,SAS,20:31,9,2,4,False
2019-01-19,DAL,IND,14:07,11,2,5,False
2019-01-21,DAL,MIL,16:13,4,1,2,False
2019-01-22,DAL,LAC,2:41,2,0,0,False
2019-01-25,DAL,DET,20:41,9,1,6,False
2019-01-27,DAL,TOR,12:13,8,0,2,False
2019-01-30,DAL,NYK,19:33,7,1,4,False
2019-01-31,DAL,DET,24:13,10,1,5,False
2019-02-02,DAL,CLE,24:10,8,1,3,False
2019-02-06,DAL,CHO,26:57,11,2,12,False
2019-02-08,DAL,MIL,20:17,12,2,8,False
2019-02-10,DAL,POR,26:54,13,2,8,False
2019-02-11,DAL,HOU,28:16,12,0,4,False
2019-02-13,DAL,MIA,26:02,6,1,4,False
2019-02-22,DAL,DEN,25:18,20,1,6,False
2019-02-23,DAL,UTA,29:41,12,5,6,False
2019-02-25,DAL,LAC,36:44,24,4,8,True
2019-02-27,DAL,IND,37:06,12,2,7,True
2019-03-02,DAL,MEM,31:54,13,4,8,True
2019-03-04,DAL,BRK,32:29,20,6,6,True
2019-03-06,DAL,WAS,36:00,26,2,10,True
2019-03-08,DAL,ORL,32:28,13,2,6,True
2019-03-10,DAL,HOU,26:07,9,3,6,True
2019-03-12,DAL,SAS,39:13,20,1,7,True
2019-03-14,DAL,DEN,36:05,16,0,10,True
2019-03-16,DAL,CLE,29:22,16,2,3,True
2019-03-18,DAL,NOP,34:48,16,1,8,True
2019-03-20,DAL,POR,25:45,5,0,9,True
2019-03-21,DAL,SAC,29:57,14,5,4,True
2019-03-23,DAL,GSW,25:53,4,5,6,True
2019-03-26,DAL,SAC,32:08,21,3,13,True
2019-03-28,DAL,MIA,31:49,11,2,9,True
2019-03-31,DAL,OKC,28:21,11,0,9,True
2019-04-01,DAL,PHI,22:24,14,3,4,True
2019-04-03,DAL,MIN,30:35,25,2,8,True
2019-04-05,DAL,MEM,N/A,N/A,N/A,N/A,False
2019-04-07,DAL,MEM,21:09,15,1,4,True
2019-04-09,DAL,PHO,27:21,11,3,11,True
2019-04-10,DAL,SAS,33:12,7,2,11,True
