Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2020-12-23,NYK,IND,12:26,5,1,1,False
2020-12-26,NYK,PHI,N/A,N/A,N/A,N/A,False
2020-12-27,NYK,MIL,N/A,N/A,N/A,N/A,False
2020-12-29,NYK,CLE,N/A,N/A,N/A,N/A,False
2020-12-31,NYK,TOR,N/A,N/A,N/A,N/A,False
2021-01-02,NYK,IND,14:44,9,2,1,False
2021-01-04,NYK,ATL,18:47,16,1,2,False
2021-01-06,NYK,UTA,5:44,0,2,0,False
2021-01-08,NYK,OKC,17:22,3,2,1,False
2021-01-10,NYK,DEN,13:11,4,1,1,False
2021-01-11,NYK,CHO,28:59,3,3,4,False
2021-01-13,NYK,BRK,22:18,19,3,2,False
2021-01-15,NYK,CLE,27:33,23,4,5,False
2021-01-17,NYK,BOS,21:06,17,8,0,False
2021-01-18,NYK,ORL,14:49,11,2,1,False
2021-01-21,NYK,GSW,10:45,5,1,3,False
2021-01-22,NYK,SAC,16:57,8,2,1,False
2021-01-24,NYK,POR,24:00,31,4,3,False
2021-01-26,NYK,UTA,22:52,6,1,4,False
2021-01-29,NYK,CLE,24:52,25,3,5,False
2021-01-31,NYK,LAC,27:16,25,3,3,False
2021-02-01,NYK,CHI,30:19,16,7,6,False
2021-02-03,NYK,CHI,13:17,9,1,1,False
2021-02-06,NYK,POR,12:42,12,3,2,False
2021-02-07,NYK,MIA,17:20,5,3,3,False
2021-02-09,NYK,MIA,21:24,7,3,2,False
2021-02-12,NYK,WAS,21:32,16,1,2,False
2021-02-13,NYK,HOU,21:19,22,2,4,False
2021-02-15,NYK,ATL,21:51,16,5,2,False
2021-02-17,NYK,ORL,21:24,9,1,2,False
2021-02-21,NYK,MIN,9:25,5,0,1,False
2021-02-23,NYK,GSW,13:06,3,1,2,False
2021-02-25,NYK,SAC,20:25,25,3,1,False
2021-02-27,NYK,IND,13:14,10,0,4,False
2021-02-28,NYK,DET,15:51,12,0,2,False
2021-03-02,NYK,SAS,29:12,26,4,4,False
2021-03-04,NYK,DET,12:35,0,2,2,False
2021-03-11,NYK,MIL,23:50,15,0,1,False
2021-03-13,NYK,OKC,33:06,21,4,3,False
2021-03-15,NYK,BRK,33:34,21,2,2,True
2021-03-16,NYK,PHI,26:02,13,3,1,True
2021-03-18,NYK,ORL,N/A,N/A,N/A,N/A,False
2021-03-21,NYK,PHI,25:31,10,0,3,True
2021-03-23,NYK,WAS,12:03,14,0,0,False
2021-03-25,NYK,WAS,25:55,16,3,6,False
2021-03-27,NYK,MIL,26:02,13,5,3,False
2021-03-29,NYK,MIA,17:07,12,1,0,False
2021-03-31,NYK,MIN,13:02,0,2,3,False
2021-04-02,NYK,DAL,22:28,6,0,5,False
2021-04-03,NYK,DET,17:31,12,3,3,False
2021-04-05,NYK,BRK,13:15,3,1,0,False
2021-04-07,NYK,BOS,13:02,5,2,1,False
2021-04-09,NYK,MEM,30:34,20,2,4,False
2021-04-11,NYK,TOR,17:35,3,0,5,False
2021-04-12,NYK,LAL,15:15,5,0,0,False
2021-04-14,NYK,NOP,10:48,7,0,0,False
2021-04-16,NYK,DAL,5:33,3,0,0,False
2021-04-18,NYK,NOP,21:43,8,3,4,False
2021-04-20,NYK,CHO,19:44,17,1,1,False
2021-04-21,NYK,ATL,29:53,20,4,0,False
2021-04-24,NYK,TOR,20:53,6,2,1,False
2021-04-26,NYK,PHO,21:29,11,4,3,False
2021-04-28,NYK,CHI,16:23,13,1,2,False
2021-05-02,NYK,HOU,22:31,13,4,2,False
2021-05-03,NYK,MEM,16:09,8,0,1,False
2021-05-05,NYK,DEN,24:25,18,0,3,False
2021-05-07,NYK,PHO,N/A,N/A,N/A,N/A,False
2021-05-09,NYK,LAC,N/A,N/A,N/A,N/A,False
2021-05-11,NYK,LAL,N/A,N/A,N/A,N/A,False
2021-05-13,NYK,SAS,11:20,0,0,0,False
2021-05-15,NYK,CHO,23:59,13,1,2,False
2021-05-16,NYK,BOS,14:02,2,0,1,False
