Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2019-10-23,NYK,SAS,35:24,25,6,11,True
2019-10-25,NYK,BRK,38:34,14,4,11,True
2019-10-26,NYK,BOS,29:52,10,3,10,True
2019-10-28,NYK,CHI,32:44,13,5,14,True
2019-10-30,NYK,ORL,36:40,16,7,10,True
2019-11-01,NYK,BOS,33:38,8,5,10,True
2019-11-03,NYK,SAC,26:56,8,2,7,True
2019-11-06,NYK,DET,32:20,20,2,3,True
2019-11-08,NYK,DAL,36:11,21,4,8,True
2019-11-10,NYK,CLE,31:29,20,1,16,True
2019-11-12,NYK,CHI,36:43,17,3,6,True
2019-11-14,NYK,DAL,36:15,17,3,10,True
2019-11-16,NYK,CHO,25:36,12,6,7,True
2019-11-18,NYK,CLE,31:52,30,4,7,True
2019-11-20,NYK,PHI,35:30,17,2,8,True
2019-11-23,NYK,SAS,31:21,14,3,8,True
2019-11-24,NYK,BRK,31:48,15,4,8,True
2019-11-27,NYK,TOR,23:45,19,1,8,True
2019-11-29,NYK,PHI,35:11,22,4,10,True
2019-12-01,NYK,BOS,33:41,26,2,5,True
2019-12-02,NYK,MIL,25:19,19,1,5,True
2019-12-05,NYK,DEN,21:26,6,4,4,True
2019-12-07,NYK,IND,35:25,16,3,12,True
2019-12-10,NYK,POR,25:41,15,3,7,True
2019-12-11,NYK,GSW,38:08,24,5,13,True
2019-12-13,NYK,SAC,30:38,26,4,9,True
2019-12-15,NYK,DEN,36:20,20,2,9,True
2019-12-17,NYK,ATL,22:46,17,2,11,True
2019-12-20,NYK,MIA,23:19,13,1,8,True
2019-12-21,NYK,MIL,31:35,20,2,8,True
2019-12-23,NYK,WAS,37:08,35,2,5,True
2019-12-26,NYK,BRK,35:03,33,2,8,True
2019-12-28,NYK,WAS,38:36,30,6,16,True
2020-01-01,NYK,POR,29:52,22,3,13,True
2020-01-03,NYK,PHO,34:37,13,3,13,True
2020-01-05,NYK,LAC,35:04,16,4,8,True
2020-01-07,NYK,LAL,31:29,15,2,10,True
2020-01-08,NYK,UTA,N/A,N/A,N/A,N/A,False
2020-01-10,NYK,NOP,N/A,N/A,N/A,N/A,False
2020-01-12,NYK,MIA,32:47,26,4,8,True
2020-01-14,NYK,MIL,26:49,25,3,15,True
2020-01-16,NYK,PHO,35:33,26,3,6,True
2020-01-18,NYK,PHI,34:17,14,5,12,True
2020-01-20,NYK,CLE,27:20,19,1,9,True
2020-01-22,NYK,LAL,34:58,16,6,8,True
2020-01-24,NYK,TOR,34:03,20,2,11,True
2020-01-26,NYK,BRK,33:24,22,1,15,True
2020-01-28,NYK,CHO,36:39,24,2,5,True
2020-01-29,NYK,MEM,35:36,16,6,14,True
2020-02-01,NYK,IND,34:49,16,3,18,True
2020-02-03,NYK,CLE,38:18,20,3,8,True
2020-02-06,NYK,ORL,30:15,22,4,8,True
2020-02-08,NYK,DET,34:09,17,3,7,True
2020-02-09,NYK,ATL,46:12,35,3,18,True
2020-02-12,NYK,WAS,37:33,21,1,13,True
2020-02-21,NYK,IND,29:32,7,4,7,True
2020-02-24,NYK,HOU,27:42,17,3,12,True
2020-02-26,NYK,CHO,25:14,18,3,9,True
2020-02-27,NYK,PHI,38:03,30,5,10,True
2020-02-29,NYK,CHI,31:39,22,3,10,True
2020-03-02,NYK,HOU,29:55,16,4,16,True
2020-03-04,NYK,UTA,32:11,32,0,11,True
2020-03-06,NYK,OKC,28:29,12,0,8,True
2020-03-08,NYK,DET,32:35,22,1,12,True
2020-03-10,NYK,WAS,26:07,16,2,5,True
2020-03-11,NYK,ATL,38:23,33,3,11,True
