Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2019-10-24,ATL,DET,21:27,1,1,7,True
2019-10-26,ATL,ORL,22:59,6,0,3,True
2019-10-28,ATL,PHI,26:44,4,0,4,True
2019-10-29,ATL,MIA,26:00,6,6,3,True
2019-10-31,ATL,MIA,28:32,9,4,6,True
2019-11-05,ATL,SAS,28:42,12,1,3,True
2019-11-06,ATL,CHI,23:04,5,1,3,True
2019-11-08,ATL,SAC,21:44,7,1,1,True
2019-11-10,ATL,POR,15:53,0,0,5,False
2019-11-12,ATL,DEN,20:01,5,4,2,False
2019-11-14,ATL,PHO,20:57,9,1,5,True
2019-11-16,ATL,LAC,32:18,12,3,4,True
2019-11-17,ATL,LAL,27:02,13,1,4,True
2019-11-20,ATL,MIL,28:17,17,1,3,True
2019-11-22,ATL,DET,N/A,N/A,N/A,N/A,False
2019-11-23,ATL,TOR,N/A,N/A,N/A,N/A,False
2019-11-25,ATL,MIN,28:53,7,3,3,True
2019-11-27,ATL,MIL,22:11,6,1,1,True
2019-11-29,ATL,IND,11:26,2,1,3,True
2019-11-30,ATL,HOU,N/A,N/A,N/A,N/A,False
2019-12-02,ATL,GSW,23:35,8,1,4,False
2019-12-04,ATL,BRK,36:54,25,0,6,True
2019-12-08,ATL,CHO,29:30,5,2,3,True
2019-12-10,ATL,MIA,23:18,14,1,7,False
2019-12-11,ATL,CHI,29:00,16,1,5,False
2019-12-13,ATL,IND,30:29,4,3,5,False
2019-12-15,ATL,LAL,29:17,10,0,5,False
2019-12-17,ATL,NYK,26:49,9,0,4,False
2019-12-19,ATL,UTA,34:41,14,1,4,True
2019-12-21,ATL,BRK,26:43,4,0,2,True
2019-12-23,ATL,CLE,23:03,7,3,1,False
2019-12-27,ATL,MIL,30:06,11,1,5,False
2019-12-28,ATL,CHI,27:40,2,6,5,True
2019-12-30,ATL,ORL,25:31,2,3,3,True
2020-01-03,ATL,BOS,24:24,5,0,3,True
2020-01-04,ATL,IND,N/A,N/A,N/A,N/A,False
2020-01-06,ATL,DEN,18:46,7,1,3,False
2020-01-08,ATL,HOU,18:07,7,0,2,True
2020-01-10,ATL,WAS,35:12,9,3,8,True
2020-01-12,ATL,BRK,29:14,20,2,0,True
2020-01-14,ATL,PHO,23:03,4,2,0,True
2020-01-17,ATL,SAS,36:28,22,4,5,True
2020-01-18,ATL,DET,29:35,7,0,1,True
2020-01-20,ATL,TOR,34:32,13,1,8,True
2020-01-22,ATL,LAC,27:11,10,1,8,False
2020-01-24,ATL,OKC,28:03,20,0,6,False
2020-01-26,ATL,WAS,22:34,13,2,2,False
2020-01-28,ATL,TOR,29:33,18,1,6,True
2020-01-30,ATL,PHI,29:55,12,2,2,False
2020-02-01,ATL,DAL,7:10,0,1,0,True
2020-02-03,ATL,BOS,N/A,N/A,N/A,N/A,False
2020-02-05,ATL,MIN,N/A,N/A,N/A,N/A,False
2020-02-07,ATL,BOS,N/A,N/A,N/A,N/A,False
2020-02-09,ATL,NYK,N/A,N/A,N/A,N/A,False
2020-02-10,ATL,ORL,24:16,11,1,2,False
2020-02-12,ATL,CLE,26:10,16,2,4,False
2020-02-20,ATL,MIA,36:56,16,1,4,False
2020-02-22,ATL,DAL,39:12,20,3,6,True
2020-02-24,ATL,PHI,22:29,10,0,1,False
2020-02-26,ATL,ORL,31:15,14,1,3,False
2020-02-28,ATL,BRK,34:17,26,1,4,True
2020-02-29,ATL,POR,24:16,8,2,3,True
2020-03-02,ATL,MEM,N/A,N/A,N/A,N/A,False
2020-03-06,ATL,WAS,28:47,28,2,1,False
2020-03-07,ATL,MEM,12:01,9,1,2,False
2020-03-09,ATL,CHO,40:10,22,2,7,False
2020-03-11,ATL,NYK,34:19,11,0,6,False
