Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2019-10-23,PHI,BOS,33:06,17,2,6,True
2019-10-26,PHI,DET,37:03,10,6,1,True
2019-10-28,PHI,ATL,30:49,14,3,5,True
2019-10-30,PHI,MIN,31:31,12,1,4,True
2019-11-02,PHI,POR,35:51,17,6,4,True
2019-11-04,PHI,PHO,38:25,8,5,3,True
2019-11-06,PHI,UTA,34:41,24,4,4,True
2019-11-08,PHI,DEN,32:10,7,5,0,True
2019-11-10,PHI,CHO,32:29,11,6,7,True
2019-11-12,PHI,CLE,34:11,17,5,1,True
2019-11-13,PHI,ORL,29:49,19,5,6,True
2019-11-15,PHI,OKC,33:50,28,2,3,True
2019-11-17,PHI,CLE,28:36,8,0,4,True
2019-11-20,PHI,NYK,N/A,N/A,N/A,N/A,False
2019-11-22,PHI,SAS,N/A,N/A,N/A,N/A,False
2019-11-23,PHI,MIA,25:32,32,4,1,True
2019-11-25,PHI,TOR,36:43,25,1,6,True
2019-11-27,PHI,SAC,17:14,9,3,0,True
2019-11-29,PHI,NYK,N/A,N/A,N/A,N/A,False
2019-11-30,PHI,IND,N/A,N/A,N/A,N/A,False
2019-12-02,PHI,UTA,N/A,N/A,N/A,N/A,False
2019-12-05,PHI,WAS,N/A,N/A,N/A,N/A,False
2019-12-07,PHI,CLE,N/A,N/A,N/A,N/A,False
2019-12-08,PHI,TOR,N/A,N/A,N/A,N/A,False
2019-12-10,PHI,DEN,19:07,3,0,1,True
2019-12-12,PHI,BOS,25:51,14,2,2,True
2019-12-13,PHI,NOP,26:06,8,0,5,True
2019-12-15,PHI,BRK,24:09,11,0,4,True
2019-12-18,PHI,MIA,36:39,17,6,5,True
2019-12-20,PHI,DAL,32:31,10,4,6,True
2019-12-21,PHI,WAS,32:00,21,3,2,True
2019-12-23,PHI,DET,33:00,9,3,2,True
2019-12-25,PHI,MIL,36:52,18,4,5,True
2019-12-27,PHI,ORL,36:12,15,6,3,True
2019-12-28,PHI,MIA,40:28,17,2,5,True
2019-12-31,PHI,IND,29:57,20,5,2,True
2020-01-03,PHI,HOU,38:32,7,8,0,True
2020-01-06,PHI,OKC,36:53,23,4,2,True
2020-01-09,PHI,BOS,33:50,29,7,3,True
2020-01-11,PHI,DAL,34:11,16,0,2,True
2020-01-13,PHI,IND,35:30,23,3,4,True
2020-01-15,PHI,BRK,36:41,15,2,5,True
2020-01-17,PHI,CHI,27:18,2,4,7,True
2020-01-18,PHI,NYK,34:11,18,4,3,True
2020-01-20,PHI,BRK,32:09,15,4,2,True
2020-01-22,PHI,TOR,3:52,0,0,0,True
2020-01-25,PHI,LAL,N/A,N/A,N/A,N/A,False
2020-01-28,PHI,GSW,N/A,N/A,N/A,N/A,False
2020-01-30,PHI,ATL,N/A,N/A,N/A,N/A,False
2020-02-01,PHI,BOS,N/A,N/A,N/A,N/A,False
2020-02-03,PHI,MIA,N/A,N/A,N/A,N/A,False
2020-02-06,PHI,MIL,N/A,N/A,N/A,N/A,False
2020-02-07,PHI,MEM,14:57,4,0,2,False
2020-02-09,PHI,CHI,19:08,3,2,0,False
2020-02-11,PHI,LAC,31:32,21,1,5,True
2020-02-20,PHI,BRK,38:56,7,3,7,True
2020-02-22,PHI,MIL,26:36,9,1,1,True
2020-02-24,PHI,ATL,38:55,13,3,6,True
2020-02-26,PHI,CLE,32:12,9,4,7,True
2020-02-27,PHI,NYK,34:10,11,3,7,True
2020-03-01,PHI,LAC,10:17,9,1,1,True
2020-03-03,PHI,LAL,N/A,N/A,N/A,N/A,False
2020-03-05,PHI,SAC,N/A,N/A,N/A,N/A,False
2020-03-07,PHI,GSW,N/A,N/A,N/A,N/A,False
2020-03-11,PHI,DET,29:43,8,1,1,True
2020-08-01,PHI,IND,29:53,4,1,0,True
2020-08-03,PHI,SAS,33:58,19,2,1,True
2020-08-05,PHI,WAS,35:21,15,3,0,True
2020-08-07,PHI,ORL,34:02,5,1,0,True
2020-08-09,PHI,POR,38:03,34,6,5,True
2020-08-11,PHI,PHO,N/A,N/A,N/A,N/A,False
2020-08-12,PHI,TOR,24:11,10,0,5,True
2020-08-14,PHI,HOU,23:18,5,1,1,True
