Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2020-12-23,CHO,CLE,N/A,N/A,N/A,N/A,False
2020-12-26,CHO,OKC,N/A,N/A,N/A,N/A,False
2020-12-27,CHO,BRK,N/A,N/A,N/A,N/A,False
2020-12-30,CHO,DAL,1:07,0,0,0,False
2021-01-01,CHO,MEM,3:26,2,0,1,False
2021-01-02,CHO,PHI,N/A,N/A,N/A,N/A,False
2021-01-04,CHO,PHI,6:02,3,0,3,False
2021-01-06,CHO,ATL,N/A,N/A,N/A,N/A,False
2021-01-08,CHO,NOP,N/A,N/A,N/A,N/A,False
2021-01-09,CHO,ATL,N/A,N/A,N/A,N/A,False
2021-01-11,CHO,NYK,1:21,0,0,0,False
2021-01-13,CHO,DAL,N/A,N/A,N/A,N/A,False
2021-01-14,CHO,TOR,N/A,N/A,N/A,N/A,False
2021-01-16,CHO,TOR,N/A,N/A,N/A,N/A,False
2021-01-22,CHO,CHI,N/A,N/A,N/A,N/A,False
2021-01-24,CHO,ORL,N/A,N/A,N/A,N/A,False
2021-01-25,CHO,ORL,N/A,N/A,N/A,N/A,False
2021-01-27,CHO,IND,N/A,N/A,N/A,N/A,False
2021-01-29,CHO,IND,N/A,N/A,N/A,N/A,False
2021-01-30,CHO,MIL,0:21,0,0,0,False
2021-02-01,CHO,MIA,N/A,N/A,N/A,N/A,False
2021-02-03,CHO,PHI,N/A,N/A,N/A,N/A,False
2021-02-05,CHO,UTA,0:48,2,0,0,False
2021-02-07,CHO,WAS,6:30,2,0,2,False
2021-02-08,CHO,HOU,3:23,2,0,0,False
2021-02-10,CHO,MEM,N/A,N/A,N/A,N/A,False
2021-02-12,CHO,MIN,N/A,N/A,N/A,N/A,False
2021-02-14,CHO,SAS,N/A,N/A,N/A,N/A,False
2021-02-20,CHO,GSW,N/A,N/A,N/A,N/A,False
2021-02-22,CHO,UTA,N/A,N/A,N/A,N/A,False
2021-02-24,CHO,PHO,N/A,N/A,N/A,N/A,False
2021-02-26,CHO,GSW,N/A,N/A,N/A,N/A,False
2021-02-28,CHO,SAC,N/A,N/A,N/A,N/A,False
2021-03-01,CHO,POR,N/A,N/A,N/A,N/A,False
2021-03-03,CHO,MIN,N/A,N/A,N/A,N/A,False
2021-03-11,CHO,DET,N/A,N/A,N/A,N/A,False
2021-03-13,CHO,TOR,5:04,1,0,1,False
2021-03-15,CHO,SAC,N/A,N/A,N/A,N/A,False
2021-03-17,CHO,DEN,5:20,1,0,1,False
2021-03-18,CHO,LAL,N/A,N/A,N/A,N/A,False
2021-03-20,CHO,LAC,N/A,N/A,N/A,N/A,False
2021-03-22,CHO,SAS,N/A,N/A,N/A,N/A,False
2021-03-24,CHO,HOU,4:08,0,0,0,False
2021-03-26,CHO,MIA,N/A,N/A,N/A,N/A,False
2021-03-28,CHO,PHO,N/A,N/A,N/A,N/A,False
2021-03-30,CHO,WAS,N/A,N/A,N/A,N/A,False
2021-04-01,CHO,BRK,4:15,0,0,0,False
2021-04-02,CHO,IND,N/A,N/A,N/A,N/A,False
2021-04-04,CHO,BOS,8:54,2,1,1,False
2021-04-07,CHO,OKC,N/A,N/A,N/A,N/A,False
2021-04-09,CHO,MIL,2:28,0,0,0,False
2021-04-11,CHO,ATL,N/A,N/A,N/A,N/A,False
2021-04-13,CHO,LAL,N/A,N/A,N/A,N/A,False
2021-04-14,CHO,CLE,N/A,N/A,N/A,N/A,False
2021-04-16,CHO,BRK,2:20,0,0,0,False
2021-04-18,CHO,POR,N/A,N/A,N/A,N/A,False
2021-04-20,CHO,NYK,N/A,N/A,N/A,N/A,False
2021-04-22,CHO,CHI,3:26,0,1,0,False
2021-04-23,CHO,CLE,N/A,N/A,N/A,N/A,False
2021-04-25,CHO,BOS,1:46,0,0,0,False
2021-04-27,CHO,MIL,N/A,N/A,N/A,N/A,False
2021-04-28,CHO,BOS,N/A,N/A,N/A,N/A,False
2021-05-01,CHO,DET,N/A,N/A,N/A,N/A,False
2021-05-02,CHO,MIA,N/A,N/A,N/A,N/A,False
2021-05-04,CHO,DET,N/A,N/A,N/A,N/A,False
2021-05-06,CHO,CHI,1:57,0,0,2,False
2021-05-07,CHO,ORL,N/A,N/A,N/A,N/A,False
2021-05-09,CHO,NOP,N/A,N/A,N/A,N/A,False
2021-05-11,CHO,DEN,N/A,N/A,N/A,N/A,False
2021-05-13,CHO,LAC,N/A,N/A,N/A,N/A,False
2021-05-15,CHO,NYK,N/A,N/A,N/A,N/A,False
2021-05-16,CHO,WAS,N/A,N/A,N/A,N/A,False
