Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2018-10-17,NYK,ATL,1:18,2,0,0,False
2018-10-19,NYK,BRK,N/A,N/A,N/A,N/A,False
2018-10-20,NYK,BOS,9:25,1,0,2,False
2018-10-22,NYK,MIL,N/A,N/A,N/A,N/A,False
2018-10-24,NYK,MIA,12:00,4,0,3,False
2018-10-26,NYK,GSW,29:25,7,0,6,True
2018-10-29,NYK,BRK,15:07,11,1,3,True
2018-10-31,NYK,IND,17:41,0,0,4,True
2018-11-02,NYK,DAL,34:01,13,3,10,True
2018-11-04,NYK,WAS,26:18,10,0,6,True
2018-11-05,NYK,CHI,11:03,0,0,3,True
2018-11-07,NYK,ATL,14:53,5,0,6,True
2018-11-10,NYK,TOR,28:25,4,0,5,True
2018-11-11,NYK,ORL,22:13,4,0,4,True
2018-11-14,NYK,OKC,17:45,6,1,1,True
2018-11-16,NYK,NOP,24:19,7,1,7,True
2018-11-18,NYK,ORL,8:42,0,0,2,True
2018-11-20,NYK,POR,18:03,6,1,5,False
2018-11-21,NYK,BOS,16:25,8,0,4,False
2018-11-23,NYK,NOP,9:16,5,1,1,False
2018-11-25,NYK,MEM,13:18,0,0,2,False
2018-11-27,NYK,DET,16:44,2,0,5,False
2018-11-28,NYK,PHI,17:24,5,1,6,False
2018-12-01,NYK,MIL,19:42,6,0,5,False
2018-12-03,NYK,WAS,14:12,4,2,1,False
2018-12-06,NYK,BOS,20:37,7,1,8,False
2018-12-08,NYK,BRK,20:59,4,3,6,False
2018-12-09,NYK,CHO,18:45,6,1,2,False
2018-12-12,NYK,CLE,15:30,2,1,1,False
2018-12-14,NYK,CHO,7:46,2,1,1,False
2018-12-16,NYK,IND,N/A,N/A,N/A,N/A,False
2018-12-17,NYK,PHO,N/A,N/A,N/A,N/A,False
2018-12-19,NYK,PHI,N/A,N/A,N/A,N/A,False
2018-12-21,NYK,ATL,N/A,N/A,N/A,N/A,False
2018-12-25,NYK,MIL,N/A,N/A,N/A,N/A,False
2018-12-27,NYK,MIL,N/A,N/A,N/A,N/A,False
2018-12-29,NYK,UTA,N/A,N/A,N/A,N/A,False
2019-01-01,NYK,DEN,N/A,N/A,N/A,N/A,False
2019-01-04,NYK,LAL,N/A,N/A,N/A,N/A,False
2019-01-07,NYK,POR,N/A,N/A,N/A,N/A,False
2019-01-08,NYK,GSW,N/A,N/A,N/A,N/A,False
2019-01-11,NYK,IND,N/A,N/A,N/A,N/A,False
2019-01-13,NYK,PHI,N/A,N/A,N/A,N/A,False
2019-01-17,NYK,WAS,9:57,4,0,2,False
2019-01-21,NYK,OKC,15:32,8,1,6,False
2019-01-23,NYK,HOU,17:23,12,0,1,False
2019-01-25,NYK,BRK,15:45,6,0,4,False
2019-01-27,NYK,MIA,22:49,6,1,7,False
2019-01-28,NYK,CHO,12:52,10,0,2,False
2019-01-30,NYK,DAL,24:11,4,0,7,False
2019-02-01,NYK,BOS,18:10,8,0,8,False
2019-02-03,NYK,MEM,N/A,N/A,N/A,N/A,False
2019-02-05,NYK,DET,23:33,13,0,10,False
2019-02-08,NYK,DET,15:04,11,1,6,False
2019-02-09,NYK,TOR,22:29,15,0,7,False
2019-02-11,NYK,CLE,23:41,10,1,8,False
2019-02-13,NYK,PHI,28:25,14,1,13,False
2019-02-14,NYK,ATL,19:08,6,0,7,False
2019-02-22,NYK,MIN,13:00,0,1,2,False
2019-02-24,NYK,SAS,30:03,15,1,14,False
2019-02-26,NYK,ORL,32:31,17,0,14,False
2019-02-28,NYK,CLE,28:24,12,0,7,False
2019-03-03,NYK,LAC,22:43,16,1,13,False
2019-03-04,NYK,SAC,18:36,4,0,7,False
2019-03-06,NYK,PHO,22:11,8,1,8,False
2019-03-09,NYK,SAC,21:57,8,0,9,False
2019-03-10,NYK,MIN,32:51,8,1,10,False
2019-03-12,NYK,IND,12:53,7,0,2,False
2019-03-15,NYK,SAS,20:36,2,1,10,False
2019-03-17,NYK,LAL,15:12,2,0,3,False
2019-03-18,NYK,TOR,14:29,0,0,5,False
2019-03-20,NYK,UTA,29:49,14,1,12,False
2019-03-22,NYK,DEN,22:37,16,0,10,False
2019-03-24,NYK,LAC,13:49,2,2,7,False
2019-03-28,NYK,TOR,30:59,19,0,21,False
2019-03-30,NYK,MIA,36:49,9,0,14,True
2019-04-01,NYK,CHI,33:02,14,4,10,True
2019-04-03,NYK,ORL,33:49,12,0,9,True
2019-04-05,NYK,HOU,27:53,12,1,9,True
2019-04-07,NYK,WAS,37:32,11,0,11,True
2019-04-09,NYK,CHI,35:01,8,0,17,True
2019-04-10,NYK,DET,22:30,11,0,2,True
