Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2022-10-18,LAL,GSW,17:49,3,0,1,False
2022-10-20,LAL,LAC,12:37,5,0,1,False
2022-10-23,LAL,POR,N/A,N/A,N/A,N/A,False
2022-10-26,LAL,DEN,8:30,6,0,1,False
2022-10-28,LAL,MIN,N/A,N/A,N/A,N/A,False
2022-10-30,LAL,DEN,12:20,6,0,0,False
2022-11-02,LAL,NOP,18:18,11,1,2,False
2022-11-04,LAL,UTA,10:01,3,0,4,False
2022-11-06,LAL,CLE,17:02,8,2,2,False
2022-11-07,LAL,UTA,17:48,2,0,1,False
2022-11-09,LAL,LAC,0:43,0,0,0,False
2022-11-11,LAL,SAC,N/A,N/A,N/A,N/A,False
2022-11-13,LAL,BRK,6:29,3,0,1,False
2022-11-18,LAL,DET,N/A,N/A,N/A,N/A,False
2022-11-20,LAL,SAS,5:39,0,1,1,False
2022-11-22,LAL,PHO,N/A,N/A,N/A,N/A,False
2022-11-25,LAL,SAS,N/A,N/A,N/A,N/A,False
2022-11-26,LAL,SAS,N/A,N/A,N/A,N/A,False
2022-11-28,LAL,IND,N/A,N/A,N/A,N/A,False
2022-11-30,LAL,POR,1:55,0,0,0,False
2022-12-09,MIN,UTA,N/A,N/A,N/A,N/A,False
2022-12-10,MIN,POR,N/A,N/A,N/A,N/A,False
2022-12-12,MIN,POR,4:03,3,0,0,False
2022-12-14,MIN,LAC,2:36,0,0,0,False
2022-12-16,MIN,OKC,6:56,0,1,0,False
2022-12-18,MIN,CHI,1:45,0,1,0,False
2022-12-19,MIN,DAL,0:53,0,0,0,False
2022-12-21,MIN,DAL,N/A,N/A,N/A,N/A,False
2022-12-23,MIN,BOS,1:12,0,1,0,False
2022-12-26,MIN,MIA,13:57,6,1,3,False
2022-12-28,MIN,NOP,N/A,N/A,N/A,N/A,False
2022-12-30,MIN,MIL,17:18,10,0,4,False
2022-12-31,MIN,DET,11:23,2,0,0,False
2023-01-02,MIN,DEN,21:04,5,0,0,False
2023-01-04,MIN,POR,N/A,N/A,N/A,N/A,False
2023-01-06,MIN,LAC,2:30,3,0,0,False
2023-01-08,MIN,HOU,N/A,N/A,N/A,N/A,False
2023-01-11,MIN,DET,9:53,8,0,0,False
2023-01-13,MIN,PHO,N/A,N/A,N/A,N/A,False
2023-01-14,MIN,CLE,N/A,N/A,N/A,N/A,False
2023-01-16,MIN,UTA,N/A,N/A,N/A,N/A,False
2023-01-18,MIN,DEN,N/A,N/A,N/A,N/A,False
2023-01-19,MIN,TOR,5:49,3,2,1,False
2023-01-21,MIN,HOU,N/A,N/A,N/A,N/A,False
2023-01-23,MIN,HOU,6:42,3,0,1,False
2023-01-25,MIN,NOP,9:00,3,0,0,False
2023-01-27,MIN,MEM,N/A,N/A,N/A,N/A,False
2023-01-28,MIN,SAC,N/A,N/A,N/A,N/A,False
2023-01-30,MIN,SAC,3:21,0,0,0,False
2023-02-01,MIN,GSW,N/A,N/A,N/A,N/A,False
2023-02-03,MIN,ORL,15:07,8,0,0,False
2023-02-05,MIN,DEN,13:43,10,1,0,False
2023-02-07,MIN,DEN,22:25,11,4,2,False
2023-02-08,MIN,UTA,4:24,0,0,0,False
2023-02-10,MIN,MEM,N/A,N/A,N/A,N/A,False
2023-02-13,MIN,DAL,N/A,N/A,N/A,N/A,False
2023-02-16,MIN,WAS,N/A,N/A,N/A,N/A,False
2023-02-24,MIN,CHO,N/A,N/A,N/A,N/A,False
2023-02-26,MIN,GSW,N/A,N/A,N/A,N/A,False
2023-02-28,MIN,LAC,N/A,N/A,N/A,N/A,False
2023-03-03,MIN,LAL,N/A,N/A,N/A,N/A,False
2023-03-04,MIN,SAC,N/A,N/A,N/A,N/A,False
2023-03-07,MIN,PHI,N/A,N/A,N/A,N/A,False
2023-03-10,MIN,BRK,N/A,N/A,N/A,N/A,False
2023-03-13,MIN,ATL,N/A,N/A,N/A,N/A,False
2023-03-15,MIN,BOS,N/A,N/A,N/A,N/A,False
2023-03-17,MIN,CHI,N/A,N/A,N/A,N/A,False
2023-03-18,MIN,TOR,3:01,0,0,1,False
2023-03-20,MIN,NYK,N/A,N/A,N/A,N/A,False
2023-03-22,MIN,ATL,N/A,N/A,N/A,N/A,False
2023-03-26,MIN,GSW,N/A,N/A,N/A,N/A,False
2023-03-27,MIN,SAC,N/A,N/A,N/A,N/A,False
2023-03-29,MIN,PHO,N/A,N/A,N/A,N/A,False
2023-03-31,MIN,LAL,N/A,N/A,N/A,N/A,False
2023-04-02,MIN,POR,N/A,N/A,N/A,N/A,False
2023-04-04,MIN,BRK,N/A,N/A,N/A,N/A,False
2023-04-08,MIN,SAS,3:59,0,1,0,False
2023-04-09,MIN,NOP,N/A,N/A,N/A,N/A,False
