Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2023-10-24,GSW,PHO,20:02,7,1,7,False
2023-10-27,GSW,SAC,14:17,5,1,4,False
2023-10-29,GSW,HOU,21:10,4,5,8,False
2023-10-30,GSW,NOP,20:35,6,2,10,False
2023-11-01,GSW,SAC,19:44,15,2,6,False
2023-11-03,GSW,OKC,19:48,20,3,6,False
2023-11-05,GSW,CLE,13:25,0,0,5,False
2023-11-06,GSW,DET,20:54,12,1,6,False
2023-11-08,GSW,DEN,26:14,4,2,8,True
2023-11-11,GSW,CLE,16:26,5,1,5,False
2023-11-12,GSW,MIN,27:16,11,1,10,False
2023-11-14,GSW,MIN,32:12,21,4,4,True
2023-11-16,GSW,OKC,24:04,12,4,3,True
2023-11-18,GSW,OKC,18:22,6,1,8,False
2023-11-20,GSW,HOU,26:09,18,2,5,False
2023-11-22,GSW,PHO,22:09,17,4,6,False
2023-11-24,GSW,SAS,26:17,20,4,7,False
2023-11-28,GSW,SAC,17:07,10,3,2,False
2023-11-30,GSW,LAC,26:44,13,5,5,False
2023-12-02,GSW,LAC,19:48,6,3,2,True
2023-12-06,GSW,POR,19:51,13,0,6,False
2023-12-08,GSW,OKC,22:34,11,3,12,False
2023-12-12,GSW,PHO,19:50,15,1,4,False
2023-12-14,GSW,LAC,17:16,5,1,6,False
2023-12-16,GSW,BRK,20:53,12,2,6,False
2023-12-17,GSW,POR,15:18,8,1,1,False
2023-12-19,GSW,BOS,14:39,11,0,6,False
2023-12-22,GSW,WAS,20:12,13,1,3,False
2023-12-23,GSW,POR,19:26,8,1,5,False
2023-12-25,GSW,DEN,19:55,14,2,5,False
2023-12-28,GSW,MIA,19:32,10,1,6,False
2023-12-30,GSW,DAL,15:16,3,4,9,False
2024-01-02,GSW,ORL,14:13,2,1,3,False
2024-01-04,GSW,DEN,22:43,13,6,7,False
2024-01-05,GSW,DET,22:29,17,1,3,False
2024-01-07,GSW,TOR,18:20,11,4,5,False
2024-01-10,GSW,NOP,13:30,4,3,3,False
2024-01-12,GSW,CHI,28:10,12,6,7,True
2024-01-13,GSW,MIL,34:04,12,6,6,True
2024-01-15,GSW,MEM,23:29,13,3,7,True
2024-01-24,GSW,ATL,16:15,10,3,3,True
2024-01-25,GSW,SAC,19:48,14,5,4,True
2024-01-27,GSW,LAL,15:27,5,2,4,False
2024-01-30,GSW,PHI,16:46,2,7,2,False
2024-02-02,GSW,MEM,N/A,N/A,N/A,N/A,False
2024-02-03,GSW,ATL,N/A,N/A,N/A,N/A,False
2024-02-05,GSW,BRK,4:29,3,0,0,False
2024-02-07,GSW,PHI,13:44,9,2,3,False
2024-02-08,GSW,IND,17:37,11,3,7,False
2024-02-10,GSW,PHO,10:33,0,2,1,False
2024-02-12,GSW,UTA,11:36,0,1,3,False
2024-02-14,GSW,LAC,5:36,0,1,1,False
2024-02-15,GSW,UTA,10:04,7,2,3,False
2024-02-22,GSW,LAL,15:03,4,4,4,False
2024-02-23,GSW,CHO,15:47,2,3,4,False
2024-02-25,GSW,DEN,9:18,4,2,4,False
2024-02-27,GSW,WAS,13:40,5,1,0,False
2024-02-29,GSW,NYK,10:41,0,3,3,False
2024-03-01,GSW,TOR,5:43,2,2,0,False
2024-03-03,GSW,BOS,12:42,4,0,2,False
2024-03-06,GSW,MIL,4:15,0,2,1,False
2024-03-07,GSW,CHI,N/A,N/A,N/A,N/A,False
2024-03-09,GSW,SAS,3:13,2,0,0,False
2024-03-11,GSW,SAS,N/A,N/A,N/A,N/A,False
2024-03-13,GSW,DAL,7:37,0,1,0,False
2024-03-16,GSW,LAL,N/A,N/A,N/A,N/A,False
2024-03-18,GSW,NYK,N/A,N/A,N/A,N/A,False
2024-03-20,GSW,MEM,5:13,0,0,1,False
2024-03-22,GSW,IND,N/A,N/A,N/A,N/A,False
2024-03-24,GSW,MIN,N/A,N/A,N/A,N/A,False
2024-03-26,GSW,MIA,N/A,N/A,N/A,N/A,False
2024-03-27,GSW,ORL,N/A,N/A,N/A,N/A,False
2024-03-29,GSW,CHO,N/A,N/A,N/A,N/A,False
2024-03-31,GSW,SAS,N/A,N/A,N/A,N/A,False
2024-04-02,GSW,DAL,N/A,N/A,N/A,N/A,False
2024-04-04,GSW,HOU,N/A,N/A,N/A,N/A,False
2024-04-05,GSW,DAL,N/A,N/A,N/A,N/A,False
2024-04-07,GSW,UTA,N/A,N/A,N/A,N/A,False
2024-04-09,GSW,LAL,N/A,N/A,N/A,N/A,False
2024-04-11,GSW,POR,5:35,0,1,1,False
2024-04-12,GSW,NOP,N/A,N/A,N/A,N/A,False
2024-04-14,GSW,UTA,12:39,12,1,5,False
