Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2019-10-23,CLE,ORL,29:54,16,2,2,True
2019-10-26,CLE,IND,30:23,18,3,5,True
2019-10-28,CLE,MIL,30:17,18,1,3,True
2019-10-30,CLE,CHI,28:16,18,2,2,True
2019-11-01,CLE,IND,37:22,21,2,3,True
2019-11-03,CLE,DAL,25:21,10,2,6,True
2019-11-05,CLE,BOS,35:26,21,3,1,True
2019-11-08,CLE,WAS,31:27,16,1,2,True
2019-11-10,CLE,NYK,30:27,31,3,2,True
2019-11-12,CLE,PHI,33:18,18,4,5,True
2019-11-14,CLE,MIA,27:13,15,3,4,True
2019-11-17,CLE,PHI,28:13,17,1,4,True
2019-11-18,CLE,NYK,25:45,14,1,3,True
2019-11-20,CLE,MIA,27:05,19,0,2,True
2019-11-22,CLE,DAL,31:37,14,5,2,True
2019-11-23,CLE,POR,31:45,19,0,4,True
2019-11-25,CLE,BRK,32:59,18,2,3,True
2019-11-27,CLE,ORL,32:12,20,6,7,True
2019-11-29,CLE,MIL,31:43,16,5,1,True
2019-12-03,CLE,DET,33:23,22,3,4,True
2019-12-06,CLE,ORL,30:13,19,1,3,True
2019-12-07,CLE,PHI,24:57,10,2,0,True
2019-12-09,CLE,BOS,29:35,8,3,4,True
2019-12-11,CLE,HOU,28:37,18,3,1,True
2019-12-12,CLE,SAS,35:07,28,2,2,True
2019-12-14,CLE,MIL,28:15,8,1,2,True
2019-12-16,CLE,TOR,31:22,25,4,5,True
2019-12-18,CLE,CHO,30:57,23,2,2,True
2019-12-20,CLE,MEM,24:55,9,3,3,True
2019-12-23,CLE,ATL,35:48,25,3,6,True
2019-12-27,CLE,BOS,31:14,21,2,4,True
2019-12-28,CLE,MIN,34:05,18,1,7,True
2019-12-31,CLE,TOR,31:33,22,1,1,True
2020-01-02,CLE,CHO,36:29,21,2,1,True
2020-01-04,CLE,OKC,35:46,30,2,5,True
2020-01-05,CLE,MIN,35:28,19,2,3,True
2020-01-07,CLE,DET,34:44,20,2,2,True
2020-01-09,CLE,DET,39:31,19,1,6,True
2020-01-11,CLE,DEN,34:18,25,1,3,True
2020-01-13,CLE,LAL,34:40,16,4,3,True
2020-01-14,CLE,LAC,28:29,25,1,1,True
2020-01-17,CLE,MEM,37:03,28,6,4,True
2020-01-18,CLE,CHI,33:39,26,2,7,True
2020-01-20,CLE,NYK,35:07,17,4,5,True
2020-01-23,CLE,WAS,36:56,29,4,4,True
2020-01-25,CLE,CHI,33:43,18,3,2,True
2020-01-27,CLE,DET,38:29,23,5,3,True
2020-01-28,CLE,NOP,31:47,24,4,3,True
2020-01-30,CLE,TOR,32:52,23,4,4,True
2020-02-01,CLE,GSW,33:00,23,4,2,True
2020-02-03,CLE,NYK,39:31,29,7,2,True
2020-02-05,CLE,OKC,34:38,23,2,3,True
2020-02-09,CLE,LAC,27:51,13,3,2,True
2020-02-12,CLE,ATL,32:11,23,6,2,True
2020-02-21,CLE,WAS,34:20,25,2,2,True
2020-02-22,CLE,MIA,33:24,17,9,2,True
2020-02-24,CLE,MIA,27:53,13,3,2,True
2020-02-26,CLE,PHI,35:30,28,2,1,True
2020-02-28,CLE,NOP,37:02,31,3,4,True
2020-02-29,CLE,IND,37:03,16,4,3,True
2020-03-02,CLE,UTA,39:28,32,3,5,True
2020-03-04,CLE,BOS,44:50,41,6,3,True
2020-03-07,CLE,DEN,40:19,25,5,6,True
2020-03-08,CLE,SAS,39:25,26,4,1,True
2020-03-10,CLE,CHI,36:27,26,5,3,True
