Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2019-10-23,PHI,BOS,34:59,24,9,8,True
2019-10-26,PHI,DET,35:14,13,10,4,True
2019-10-28,PHI,ATL,37:49,13,6,6,True
2019-10-30,PHI,MIN,32:43,16,7,3,True
2019-11-02,PHI,POR,36:26,18,8,11,True
2019-11-04,PHI,PHO,35:37,6,6,5,True
2019-11-06,PHI,UTA,10:05,2,2,1,True
2019-11-08,PHI,DEN,N/A,N/A,N/A,N/A,False
2019-11-10,PHI,CHO,N/A,N/A,N/A,N/A,False
2019-11-12,PHI,CLE,34:59,15,6,5,True
2019-11-13,PHI,ORL,35:17,18,5,8,True
2019-11-15,PHI,OKC,45:33,16,8,11,True
2019-11-17,PHI,CLE,25:50,10,11,4,True
2019-11-20,PHI,NYK,41:46,18,13,7,True
2019-11-22,PHI,SAS,31:57,10,13,10,True
2019-11-23,PHI,MIA,26:33,4,7,8,True
2019-11-25,PHI,TOR,40:42,10,14,9,True
2019-11-27,PHI,SAC,36:54,10,5,13,True
2019-11-29,PHI,NYK,37:41,15,8,5,True
2019-11-30,PHI,IND,37:46,15,13,6,True
2019-12-02,PHI,UTA,33:50,14,9,8,True
2019-12-05,PHI,WAS,35:59,17,10,5,True
2019-12-07,PHI,CLE,25:39,34,7,3,True
2019-12-08,PHI,TOR,39:10,16,9,11,True
2019-12-10,PHI,DEN,37:12,7,7,9,True
2019-12-12,PHI,BOS,36:29,7,6,8,True
2019-12-13,PHI,NOP,37:30,24,11,3,True
2019-12-15,PHI,BRK,28:47,20,3,5,True
2019-12-18,PHI,MIA,42:28,17,6,6,True
2019-12-20,PHI,DAL,35:42,12,8,6,True
2019-12-21,PHI,WAS,32:52,14,11,8,True
2019-12-23,PHI,DET,37:15,16,17,13,True
2019-12-25,PHI,MIL,38:03,15,14,7,True
2019-12-27,PHI,ORL,39:06,13,7,9,True
2019-12-28,PHI,MIA,43:29,15,11,7,True
2019-12-31,PHI,IND,31:58,18,3,10,True
2020-01-03,PHI,HOU,42:12,29,11,13,True
2020-01-06,PHI,OKC,37:54,17,8,15,True
2020-01-09,PHI,BOS,38:42,19,3,9,True
2020-01-11,PHI,DAL,37:00,11,11,5,True
2020-01-13,PHI,IND,40:18,24,3,14,True
2020-01-15,PHI,BRK,41:07,20,11,6,True
2020-01-17,PHI,CHI,37:09,20,7,11,True
2020-01-18,PHI,NYK,39:43,21,8,7,True
2020-01-20,PHI,BRK,42:20,34,12,12,True
2020-01-22,PHI,TOR,37:58,17,8,10,True
2020-01-25,PHI,LAL,41:14,28,8,10,True
2020-01-28,PHI,GSW,27:16,17,5,4,True
2020-01-30,PHI,ATL,42:20,31,5,6,True
2020-02-01,PHI,BOS,37:26,23,5,9,True
2020-02-03,PHI,MIA,34:03,16,7,8,True
2020-02-06,PHI,MIL,41:32,11,9,14,True
2020-02-07,PHI,MEM,34:51,22,10,4,True
2020-02-09,PHI,CHI,36:35,19,10,10,True
2020-02-11,PHI,LAC,42:43,26,10,12,True
2020-02-20,PHI,BRK,N/A,N/A,N/A,N/A,False
2020-02-22,PHI,MIL,4:44,5,1,2,True
2020-02-24,PHI,ATL,N/A,N/A,N/A,N/A,False
2020-02-26,PHI,CLE,N/A,N/A,N/A,N/A,False
2020-02-27,PHI,NYK,N/A,N/A,N/A,N/A,False
2020-03-01,PHI,LAC,N/A,N/A,N/A,N/A,False
2020-03-03,PHI,LAL,N/A,N/A,N/A,N/A,False
2020-03-05,PHI,SAC,N/A,N/A,N/A,N/A,False
2020-03-07,PHI,GSW,N/A,N/A,N/A,N/A,False
2020-03-11,PHI,DET,N/A,N/A,N/A,N/A,False
2020-08-01,PHI,IND,38:22,19,4,13,True
2020-08-03,PHI,SAS,25:07,8,5,2,True
2020-08-05,PHI,WAS,22:55,8,4,6,True
2020-08-07,PHI,ORL,N/A,N/A,N/A,N/A,False
2020-08-09,PHI,POR,N/A,N/A,N/A,N/A,False
2020-08-11,PHI,PHO,N/A,N/A,N/A,N/A,False
2020-08-12,PHI,TOR,N/A,N/A,N/A,N/A,False
2020-08-14,PHI,HOU,N/A,N/A,N/A,N/A,False
