Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2018-10-16,BOS,PHI,25:01,7,3,3,False
2018-10-19,BOS,TOR,21:52,2,6,2,False
2018-10-20,BOS,NYK,28:01,8,5,4,False
2018-10-22,BOS,ORL,19:20,9,0,2,False
2018-10-25,BOS,OKC,21:23,2,3,0,False
2018-10-27,BOS,DET,23:20,5,9,4,False
2018-10-30,BOS,DET,19:02,3,2,4,False
2018-11-01,BOS,MIL,27:56,2,0,4,False
2018-11-03,BOS,IND,23:08,3,9,0,False
2018-11-05,BOS,DEN,25:05,9,3,3,False
2018-11-08,BOS,PHO,26:59,7,2,4,False
2018-11-09,BOS,UTA,33:13,13,10,3,False
2018-11-11,BOS,POR,21:46,0,4,4,False
2018-11-14,BOS,CHI,18:04,8,2,1,False
2018-11-16,BOS,TOR,18:38,5,1,5,False
2018-11-17,BOS,UTA,16:38,5,3,2,False
2018-11-19,BOS,CHO,26:19,14,2,1,False
2018-11-21,BOS,NYK,19:56,2,4,5,False
2018-11-23,BOS,ATL,23:13,4,7,1,False
2018-11-24,BOS,DAL,25:11,19,2,2,False
2018-11-26,BOS,NOP,39:40,8,5,2,True
2018-11-30,BOS,CLE,29:15,12,7,3,True
2018-12-01,BOS,MIN,27:31,6,3,2,True
2018-12-06,BOS,NYK,23:39,4,7,2,True
2018-12-08,BOS,CHI,21:17,6,3,3,True
2018-12-10,BOS,NOP,29:07,4,5,2,True
2018-12-12,BOS,WAS,39:12,18,3,5,True
2018-12-14,BOS,ATL,27:28,0,7,1,True
2018-12-15,BOS,DET,29:47,21,3,8,True
2018-12-19,BOS,PHO,32:08,12,5,4,True
2018-12-21,BOS,MIL,29:09,8,4,3,True
2018-12-23,BOS,CHO,28:34,6,5,2,True
2018-12-25,BOS,PHI,29:36,6,3,4,True
2018-12-27,BOS,HOU,31:22,11,3,2,True
2018-12-29,BOS,MEM,28:10,8,1,1,True
2018-12-31,BOS,SAS,26:58,7,4,3,True
2019-01-02,BOS,MIN,22:15,2,8,3,True
2019-01-04,BOS,DAL,32:03,17,3,4,True
2019-01-07,BOS,BRK,27:13,12,7,4,True
2019-01-09,BOS,IND,22:15,2,3,2,True
2019-01-10,BOS,MIA,33:06,18,2,1,True
2019-01-12,BOS,ORL,33:20,10,1,3,True
2019-01-14,BOS,BRK,N/A,N/A,N/A,N/A,False
2019-01-16,BOS,TOR,31:29,5,3,4,True
2019-01-18,BOS,MEM,29:02,20,3,6,True
2019-01-19,BOS,ATL,17:15,4,4,0,True
2019-01-21,BOS,MIA,34:14,6,4,3,True
2019-01-23,BOS,CLE,25:07,9,4,1,True
2019-01-26,BOS,GSW,28:48,12,2,3,True
2019-01-28,BOS,BRK,32:58,21,7,2,True
2019-01-30,BOS,CHO,29:00,3,7,2,True
2019-02-01,BOS,NYK,28:31,3,2,2,True
2019-02-03,BOS,OKC,27:56,18,7,4,True
2019-02-05,BOS,CLE,31:34,17,4,5,True
2019-02-07,BOS,LAL,24:27,6,5,2,True
2019-02-09,BOS,LAC,27:10,2,5,3,True
2019-02-12,BOS,PHI,33:28,8,3,4,True
2019-02-13,BOS,DET,31:33,16,5,3,True
2019-02-21,BOS,MIL,30:55,5,1,5,True
2019-02-23,BOS,CHI,30:07,6,5,6,True
2019-02-26,BOS,TOR,23:37,5,2,4,True
2019-02-27,BOS,POR,36:11,13,5,6,True
2019-03-01,BOS,WAS,30:28,16,0,2,True
2019-03-03,BOS,HOU,35:49,18,6,4,True
2019-03-05,BOS,GSW,25:06,9,4,2,True
2019-03-06,BOS,SAC,30:50,9,5,3,True
2019-03-09,BOS,LAL,29:02,16,5,2,True
2019-03-11,BOS,LAC,26:30,8,2,1,True
2019-03-14,BOS,SAC,29:16,7,4,6,True
2019-03-16,BOS,ATL,34:14,16,9,1,True
2019-03-18,BOS,DEN,33:05,10,3,4,True
2019-03-20,BOS,PHI,19:12,3,4,1,True
2019-03-23,BOS,CHO,25:17,6,8,2,True
2019-03-24,BOS,SAS,33:36,14,1,4,True
2019-03-26,BOS,CLE,33:07,21,4,6,True
2019-03-29,BOS,IND,28:32,6,6,1,True
2019-03-30,BOS,BRK,21:59,9,1,3,True
2019-04-01,BOS,MIA,26:21,16,1,1,True
2019-04-03,BOS,MIA,29:14,8,4,3,True
2019-04-05,BOS,IND,27:53,6,5,3,True
2019-04-07,BOS,ORL,19:42,6,2,2,True
2019-04-09,BOS,WAS,N/A,N/A,N/A,N/A,False
