Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2019-10-23,CHI,CHO,N/A,N/A,N/A,N/A,False
2019-10-25,CHI,MEM,N/A,N/A,N/A,N/A,False
2019-10-26,CHI,TOR,N/A,N/A,N/A,N/A,False
2019-10-28,CHI,NYK,N/A,N/A,N/A,N/A,False
2019-10-30,CHI,CLE,N/A,N/A,N/A,N/A,False
2019-11-01,CHI,DET,N/A,N/A,N/A,N/A,False
2019-11-03,CHI,IND,N/A,N/A,N/A,N/A,False
2019-11-05,CHI,LAL,N/A,N/A,N/A,N/A,False
2019-11-06,CHI,ATL,N/A,N/A,N/A,N/A,False
2019-11-09,CHI,HOU,N/A,N/A,N/A,N/A,False
2019-11-12,CHI,NYK,N/A,N/A,N/A,N/A,False
2019-11-14,CHI,MIL,N/A,N/A,N/A,N/A,False
2019-11-16,CHI,BRK,N/A,N/A,N/A,N/A,False
2019-11-18,CHI,MIL,N/A,N/A,N/A,N/A,False
2019-11-20,CHI,DET,N/A,N/A,N/A,N/A,False
2019-11-22,CHI,MIA,4:55,5,0,1,False
2019-11-23,CHI,CHO,N/A,N/A,N/A,N/A,False
2019-11-25,CHI,POR,N/A,N/A,N/A,N/A,False
2019-11-27,CHI,GSW,N/A,N/A,N/A,N/A,False
2019-11-29,CHI,POR,1:19,0,0,0,False
2019-12-02,CHI,SAC,N/A,N/A,N/A,N/A,False
2019-12-04,CHI,MEM,N/A,N/A,N/A,N/A,False
2019-12-06,CHI,GSW,N/A,N/A,N/A,N/A,False
2019-12-08,CHI,MIA,N/A,N/A,N/A,N/A,False
2019-12-09,CHI,TOR,N/A,N/A,N/A,N/A,False
2019-12-11,CHI,ATL,N/A,N/A,N/A,N/A,False
2019-12-13,CHI,CHO,N/A,N/A,N/A,N/A,False
2019-12-14,CHI,LAC,N/A,N/A,N/A,N/A,False
2019-12-16,CHI,OKC,N/A,N/A,N/A,N/A,False
2019-12-18,CHI,WAS,N/A,N/A,N/A,N/A,False
2019-12-21,CHI,DET,N/A,N/A,N/A,N/A,False
2019-12-23,CHI,ORL,N/A,N/A,N/A,N/A,False
2019-12-28,CHI,ATL,N/A,N/A,N/A,N/A,False
2019-12-30,CHI,MIL,N/A,N/A,N/A,N/A,False
2020-01-02,CHI,UTA,N/A,N/A,N/A,N/A,False
2020-01-04,CHI,BOS,N/A,N/A,N/A,N/A,False
2020-01-06,CHI,DAL,N/A,N/A,N/A,N/A,False
2020-01-08,CHI,NOP,N/A,N/A,N/A,N/A,False
2020-01-10,CHI,IND,N/A,N/A,N/A,N/A,False
2020-01-11,CHI,DET,N/A,N/A,N/A,N/A,False
2020-01-13,CHI,BOS,N/A,N/A,N/A,N/A,False
2020-01-15,CHI,WAS,N/A,N/A,N/A,N/A,False
2020-01-17,CHI,PHI,N/A,N/A,N/A,N/A,False
2020-01-18,CHI,CLE,N/A,N/A,N/A,N/A,False
2020-01-20,CHI,MIL,N/A,N/A,N/A,N/A,False
2020-01-22,CHI,MIN,N/A,N/A,N/A,N/A,False
2020-01-24,CHI,SAC,N/A,N/A,N/A,N/A,False
2020-01-25,CHI,CLE,N/A,N/A,N/A,N/A,False
2020-01-27,CHI,SAS,N/A,N/A,N/A,N/A,False
2020-01-29,CHI,IND,N/A,N/A,N/A,N/A,False
2020-01-31,CHI,BRK,N/A,N/A,N/A,N/A,False
2020-02-02,CHI,TOR,N/A,N/A,N/A,N/A,False
2020-02-06,CHI,NOP,N/A,N/A,N/A,N/A,False
2020-02-09,CHI,PHI,N/A,N/A,N/A,N/A,False
2020-02-11,CHI,WAS,N/A,N/A,N/A,N/A,False
2020-02-20,CHI,CHO,N/A,N/A,N/A,N/A,False
2020-02-22,CHI,PHO,N/A,N/A,N/A,N/A,False
2020-02-23,CHI,WAS,N/A,N/A,N/A,N/A,False
2020-02-25,CHI,OKC,N/A,N/A,N/A,N/A,False
2020-02-29,CHI,NYK,N/A,N/A,N/A,N/A,False
2020-03-02,CHI,DAL,N/A,N/A,N/A,N/A,False
2020-03-04,CHI,MIN,N/A,N/A,N/A,N/A,False
2020-03-06,CHI,IND,N/A,N/A,N/A,N/A,False
2020-03-08,CHI,BRK,N/A,N/A,N/A,N/A,False
2020-03-10,CHI,CLE,N/A,N/A,N/A,N/A,False
