Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2020-12-26,HOU,POR,37:14,13,2,4,False
2020-12-28,HOU,DEN,25:27,5,2,7,False
2020-12-31,HOU,SAC,20:39,4,1,6,False
2021-01-02,HOU,SAC,20:28,5,1,2,False
2021-01-04,HOU,DAL,24:50,8,0,6,False
2021-01-06,HOU,IND,23:35,8,2,2,False
2021-01-08,HOU,ORL,15:29,10,2,1,False
2021-01-10,HOU,LAL,20:10,9,1,6,False
2021-01-12,HOU,LAL,25:07,9,0,3,False
2021-01-14,HOU,SAS,33:04,13,10,5,True
2021-01-16,HOU,SAS,25:55,7,5,5,True
2021-01-18,HOU,CHI,30:25,11,0,6,False
2021-01-20,HOU,PHO,37:14,9,0,6,True
2021-01-22,HOU,DET,32:24,13,1,3,True
2021-01-23,HOU,DAL,19:41,6,0,4,True
2021-01-26,HOU,WAS,28:16,3,0,7,True
2021-01-28,HOU,POR,16:43,2,1,3,True
2021-01-30,HOU,NOP,23:56,13,0,9,True
2021-02-01,HOU,OKC,22:59,11,4,7,True
2021-02-03,HOU,OKC,31:20,6,0,4,True
2021-02-04,HOU,MEM,31:09,19,2,7,True
2021-02-06,HOU,SAS,24:15,4,1,5,True
2021-02-08,HOU,CHO,29:14,13,1,4,True
2021-02-09,HOU,NOP,28:39,13,2,7,True
2021-02-11,HOU,MIA,34:48,16,2,7,True
2021-02-13,HOU,NYK,27:25,9,2,4,True
2021-02-15,HOU,WAS,39:49,18,4,6,True
2021-02-17,HOU,PHI,32:57,19,4,6,True
2021-02-22,HOU,CHI,31:27,12,2,8,True
2021-02-24,HOU,CLE,29:54,8,1,7,True
2021-02-26,HOU,TOR,23:15,8,1,4,True
2021-02-28,HOU,MEM,24:02,14,0,4,False
2021-03-01,HOU,CLE,29:59,5,2,4,False
2021-03-03,HOU,BRK,31:35,12,1,10,True
2021-03-11,HOU,SAC,29:43,16,1,4,True
2021-03-12,HOU,UTA,31:54,7,0,6,True
2021-03-14,HOU,BOS,25:10,9,0,6,True
2021-03-16,HOU,ATL,34:35,25,6,6,True
2021-03-17,HOU,GSW,27:15,2,2,5,True
2021-03-19,HOU,DET,32:14,12,3,3,True
2021-03-21,HOU,OKC,33:09,8,0,9,True
2021-03-22,HOU,TOR,40:18,22,5,6,True
2021-03-24,HOU,CHO,24:27,9,5,4,True
2021-03-26,HOU,MIN,38:38,10,2,7,True
2021-03-27,HOU,MIN,32:51,10,3,9,True
2021-03-29,HOU,MEM,33:16,24,1,7,True
2021-03-31,HOU,BRK,32:55,8,3,2,True
2021-04-02,HOU,BOS,22:16,9,4,5,True
2021-04-04,HOU,NOP,26:14,19,3,5,True
2021-04-05,HOU,PHO,31:25,18,5,7,True
2021-04-07,HOU,DAL,36:20,8,2,3,True
2021-04-09,HOU,LAC,31:20,18,1,2,True
2021-04-10,HOU,GSW,32:12,7,1,11,True
2021-04-12,HOU,PHO,21:32,10,4,5,True
2021-04-14,HOU,IND,35:05,11,5,6,True
2021-04-16,HOU,DEN,31:52,21,5,5,True
2021-04-18,HOU,ORL,32:34,14,6,7,True
2021-04-19,HOU,MIA,28:44,10,3,5,True
2021-04-21,HOU,UTA,34:32,8,3,5,True
2021-04-23,HOU,LAC,35:59,8,7,2,True
2021-04-24,HOU,DEN,21:17,14,4,3,True
2021-04-27,HOU,MIN,40:04,20,4,7,True
2021-04-29,HOU,MIL,37:38,12,3,6,True
2021-05-01,HOU,GSW,30:48,14,3,4,True
2021-05-02,HOU,NYK,29:29,8,1,7,True
2021-05-05,HOU,PHI,N/A,N/A,N/A,N/A,False
2021-05-07,HOU,MIL,N/A,N/A,N/A,N/A,False
2021-05-08,HOU,UTA,29:20,13,10,8,True
2021-05-10,HOU,POR,30:53,12,8,7,True
2021-05-12,HOU,LAL,22:59,16,2,5,True
2021-05-14,HOU,LAC,29:11,20,1,3,True
2021-05-16,HOU,ATL,21:08,7,5,3,True
