Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2020-12-23,CHI,ATL,N/A,N/A,N/A,N/A,False
2020-12-26,CHI,IND,19:51,6,2,2,False
2020-12-27,CHI,GSW,19:28,2,2,1,False
2020-12-29,CHI,WAS,28:36,12,2,1,False
2020-12-31,CHI,WAS,28:24,8,4,2,False
2021-01-01,CHI,MIL,19:32,4,2,2,False
2021-01-03,CHI,DAL,25:20,3,0,5,False
2021-01-05,CHI,POR,28:25,14,0,1,False
2021-01-06,CHI,SAC,32:35,11,4,2,False
2021-01-08,CHI,LAL,27:09,9,1,3,False
2021-01-10,CHI,LAC,36:07,18,1,6,True
2021-01-15,CHI,OKC,20:12,8,2,3,False
2021-01-17,CHI,DAL,28:46,21,3,3,False
2021-01-18,CHI,HOU,32:15,13,2,2,True
2021-01-22,CHI,CHO,30:38,15,1,5,False
2021-01-23,CHI,LAL,21:53,2,1,2,False
2021-01-25,CHI,BOS,26:03,8,2,5,False
2021-01-30,CHI,POR,24:51,9,0,1,False
2021-02-01,CHI,NYK,24:38,6,4,1,False
2021-02-03,CHI,NYK,23:27,3,2,3,False
2021-02-05,CHI,ORL,30:22,5,5,3,False
2021-02-06,CHI,ORL,20:11,6,1,3,False
2021-02-08,CHI,WAS,27:51,2,1,9,False
2021-02-10,CHI,NOP,35:30,10,7,3,False
2021-02-12,CHI,LAC,30:08,10,1,5,True
2021-02-15,CHI,IND,38:43,16,1,4,True
2021-02-17,CHI,DET,34:29,9,0,3,True
2021-02-19,CHI,PHI,33:29,10,2,5,True
2021-02-20,CHI,SAC,29:50,14,1,4,True
2021-02-22,CHI,HOU,28:35,9,4,4,True
2021-02-24,CHI,MIN,37:29,5,2,4,True
2021-02-26,CHI,PHO,31:44,5,2,2,True
2021-03-01,CHI,DEN,23:08,9,2,3,True
2021-03-03,CHI,NOP,36:33,8,4,5,True
2021-03-11,CHI,PHI,19:50,2,1,2,False
2021-03-12,CHI,MIA,21:23,5,0,1,False
2021-03-14,CHI,TOR,N/A,N/A,N/A,N/A,False
2021-03-16,CHI,OKC,N/A,N/A,N/A,N/A,False
2021-03-17,CHI,SAS,N/A,N/A,N/A,N/A,False
2021-03-19,CHI,DEN,N/A,N/A,N/A,N/A,False
2021-03-21,CHI,DET,N/A,N/A,N/A,N/A,False
2021-03-22,CHI,UTA,N/A,N/A,N/A,N/A,False
2021-03-24,CHI,CLE,N/A,N/A,N/A,N/A,False
2021-03-27,CHI,SAS,22:27,4,4,3,False
2021-03-29,CHI,GSW,2:09,0,0,0,False
2021-03-31,CHI,PHO,N/A,N/A,N/A,N/A,False
2021-04-02,CHI,UTA,N/A,N/A,N/A,N/A,False
2021-04-04,CHI,BRK,N/A,N/A,N/A,N/A,False
2021-04-06,CHI,IND,N/A,N/A,N/A,N/A,False
2021-04-08,CHI,TOR,N/A,N/A,N/A,N/A,False
2021-04-09,CHI,ATL,N/A,N/A,N/A,N/A,False
2021-04-11,CHI,MIN,N/A,N/A,N/A,N/A,False
2021-04-12,CHI,MEM,N/A,N/A,N/A,N/A,False
2021-04-14,CHI,ORL,9:58,0,1,0,False
2021-04-16,CHI,MEM,24:55,5,4,1,True
2021-04-17,CHI,CLE,27:56,8,3,3,True
2021-04-19,CHI,BOS,31:02,13,4,4,True
2021-04-21,CHI,CLE,26:06,4,2,2,True
2021-04-22,CHI,CHO,24:20,9,4,3,True
2021-04-24,CHI,MIA,32:58,2,4,0,True
2021-04-26,CHI,MIA,30:45,10,2,1,True
2021-04-28,CHI,NYK,34:50,12,5,3,True
2021-04-30,CHI,MIL,32:29,6,3,1,True
2021-05-01,CHI,ATL,27:52,5,4,1,True
2021-05-03,CHI,PHI,27:30,7,0,1,True
2021-05-06,CHI,CHO,23:38,12,2,3,False
2021-05-07,CHI,BOS,28:46,4,0,6,False
2021-05-09,CHI,DET,30:46,1,4,5,False
2021-05-11,CHI,BRK,29:00,7,4,6,False
2021-05-13,CHI,TOR,27:20,2,1,2,False
2021-05-15,CHI,BRK,27:24,8,1,2,True
2021-05-16,CHI,MIL,28:38,7,3,3,True
