Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2018-10-17,CLE,TOR,27:05,3,1,13,True
2018-10-19,CLE,MIN,35:56,14,2,10,True
2018-10-21,CLE,ATL,27:17,11,1,9,True
2018-10-24,CLE,BRK,23:36,2,4,11,True
2018-10-25,CLE,DET,20:42,6,1,3,True
2018-10-27,CLE,IND,21:51,6,0,6,True
2018-10-30,CLE,ATL,29:17,11,3,13,True
2018-11-01,CLE,DEN,28:14,10,4,7,True
2018-11-03,CLE,CHO,27:22,8,1,7,True
2018-11-05,CLE,ORL,34:20,19,4,16,True
2018-11-07,CLE,OKC,31:16,10,0,15,True
2018-11-10,CLE,CHI,33:41,22,1,12,True
2018-11-13,CLE,CHO,28:13,11,5,21,True
2018-11-14,CLE,WAS,19:21,9,2,8,True
2018-11-19,CLE,DET,30:23,10,2,7,True
2018-11-21,CLE,LAL,29:54,14,0,15,True
2018-11-23,CLE,PHI,35:15,18,0,13,True
2018-11-24,CLE,HOU,39:09,16,2,20,True
2018-11-26,CLE,MIN,39:50,16,3,11,True
2018-11-28,CLE,OKC,34:58,4,2,2,True
2018-11-30,CLE,BOS,28:02,13,4,12,True
2018-12-01,CLE,TOR,39:45,18,3,19,True
2018-12-03,CLE,BRK,34:13,19,2,14,True
2018-12-05,CLE,GSW,29:56,14,3,19,True
2018-12-07,CLE,SAC,29:31,4,2,6,True
2018-12-08,CLE,WAS,41:44,23,5,19,True
2018-12-10,CLE,MIL,17:47,12,0,6,True
2018-12-12,CLE,NYK,N/A,N/A,N/A,N/A,False
2018-12-14,CLE,MIL,N/A,N/A,N/A,N/A,False
2018-12-16,CLE,PHI,N/A,N/A,N/A,N/A,False
2018-12-18,CLE,IND,N/A,N/A,N/A,N/A,False
2018-12-19,CLE,CHO,N/A,N/A,N/A,N/A,False
2018-12-21,CLE,TOR,N/A,N/A,N/A,N/A,False
2018-12-23,CLE,CHI,N/A,N/A,N/A,N/A,False
2018-12-26,CLE,MEM,N/A,N/A,N/A,N/A,False
2018-12-28,CLE,MIA,N/A,N/A,N/A,N/A,False
2018-12-29,CLE,ATL,N/A,N/A,N/A,N/A,False
2019-01-02,CLE,MIA,23:26,14,1,2,True
2019-01-04,CLE,UTA,27:29,8,1,12,True
2019-01-05,CLE,NOP,26:10,10,2,11,True
2019-01-08,CLE,IND,34:53,15,5,13,True
2019-01-09,CLE,NOP,28:51,6,5,10,True
2019-01-11,CLE,HOU,24:16,6,2,5,True
2019-01-13,CLE,LAL,37:26,15,1,14,True
2019-01-16,CLE,POR,21:28,4,1,8,True
2019-01-18,CLE,UTA,N/A,N/A,N/A,N/A,False
2019-01-19,CLE,DEN,N/A,N/A,N/A,N/A,False
2019-01-21,CLE,CHI,N/A,N/A,N/A,N/A,False
2019-01-23,CLE,BOS,N/A,N/A,N/A,N/A,False
2019-01-25,CLE,MIA,N/A,N/A,N/A,N/A,False
2019-01-27,CLE,CHI,N/A,N/A,N/A,N/A,False
2019-01-29,CLE,WAS,N/A,N/A,N/A,N/A,False
2019-02-02,CLE,DAL,N/A,N/A,N/A,N/A,False
2019-02-05,CLE,BOS,N/A,N/A,N/A,N/A,False
2019-02-08,CLE,WAS,N/A,N/A,N/A,N/A,False
2019-02-09,CLE,IND,N/A,N/A,N/A,N/A,False
2019-02-11,CLE,NYK,N/A,N/A,N/A,N/A,False
2019-02-13,CLE,BRK,N/A,N/A,N/A,N/A,False
2019-02-21,CLE,PHO,N/A,N/A,N/A,N/A,False
2019-02-23,CLE,MEM,N/A,N/A,N/A,N/A,False
2019-02-25,CLE,POR,N/A,N/A,N/A,N/A,False
2019-02-28,CLE,NYK,N/A,N/A,N/A,N/A,False
2019-03-02,CLE,DET,N/A,N/A,N/A,N/A,False
2019-03-03,CLE,ORL,N/A,N/A,N/A,N/A,False
2019-03-06,CLE,BRK,N/A,N/A,N/A,N/A,False
2019-03-08,CLE,MIA,N/A,N/A,N/A,N/A,False
2019-03-11,CLE,TOR,N/A,N/A,N/A,N/A,False
2019-03-12,CLE,PHI,N/A,N/A,N/A,N/A,False
2019-03-14,CLE,ORL,N/A,N/A,N/A,N/A,False
2019-03-16,CLE,DAL,N/A,N/A,N/A,N/A,False
2019-03-18,CLE,DET,N/A,N/A,N/A,N/A,False
2019-03-20,CLE,MIL,12:13,7,0,6,False
2019-03-22,CLE,LAC,19:11,4,1,6,False
2019-03-24,CLE,MIL,15:26,10,1,6,False
2019-03-26,CLE,BOS,18:09,7,2,3,True
2019-03-28,CLE,SAS,21:31,4,3,7,True
2019-03-30,CLE,LAC,25:59,10,3,10,True
2019-04-01,CLE,PHO,21:19,15,0,5,True
2019-04-04,CLE,SAC,N/A,N/A,N/A,N/A,False
2019-04-05,CLE,GSW,21:19,12,1,6,True
2019-04-07,CLE,SAS,N/A,N/A,N/A,N/A,False
2019-04-09,CLE,CHO,N/A,N/A,N/A,N/A,False
