Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2020-12-23,NYK,IND,23:33,9,1,3,False
2020-12-26,NYK,PHI,N/A,N/A,N/A,N/A,False
2020-12-27,NYK,MIL,N/A,N/A,N/A,N/A,False
2020-12-29,NYK,CLE,N/A,N/A,N/A,N/A,False
2020-12-31,NYK,TOR,N/A,N/A,N/A,N/A,False
2021-01-02,NYK,IND,N/A,N/A,N/A,N/A,False
2021-01-04,NYK,ATL,N/A,N/A,N/A,N/A,False
2021-01-06,NYK,UTA,N/A,N/A,N/A,N/A,False
2021-01-08,NYK,OKC,N/A,N/A,N/A,N/A,False
2021-01-10,NYK,DEN,N/A,N/A,N/A,N/A,False
2021-01-11,NYK,CHO,N/A,N/A,N/A,N/A,False
2021-01-13,NYK,BRK,0:57,0,0,0,False
2021-01-15,NYK,CLE,9:57,2,2,4,False
2021-01-17,NYK,BOS,16:57,12,0,5,False
2021-01-18,NYK,ORL,8:36,2,1,1,False
2021-01-21,NYK,GSW,11:47,5,1,4,False
2021-01-22,NYK,SAC,12:07,6,1,5,False
2021-01-24,NYK,POR,15:03,4,0,3,False
2021-01-26,NYK,UTA,13:00,4,0,2,False
2021-01-29,NYK,CLE,12:51,5,1,3,False
2021-01-31,NYK,LAC,12:52,2,0,1,False
2021-02-01,NYK,CHI,8:46,4,1,0,False
2021-02-03,NYK,CHI,9:40,5,0,1,False
2021-02-06,NYK,POR,9:17,2,0,3,False
2021-02-07,NYK,MIA,9:57,7,0,4,False
2021-02-09,NYK,MIA,11:20,4,0,1,False
2021-02-12,NYK,WAS,15:34,8,1,3,False
2021-02-13,NYK,HOU,14:46,11,0,3,False
2021-02-15,NYK,ATL,11:18,3,0,2,False
2021-02-17,NYK,ORL,11:45,3,0,0,False
2021-02-21,NYK,MIN,8:57,2,2,3,False
2021-02-23,NYK,GSW,13:06,7,0,2,False
2021-02-25,NYK,SAC,17:11,3,0,3,False
2021-02-27,NYK,IND,6:00,2,0,1,False
2021-02-28,NYK,DET,18:38,4,1,4,False
2021-03-02,NYK,SAS,26:17,7,3,4,False
2021-03-04,NYK,DET,11:39,4,0,2,False
2021-03-11,NYK,MIL,19:26,10,0,5,False
2021-03-13,NYK,OKC,8:53,4,1,2,False
2021-03-15,NYK,BRK,3:43,0,0,1,False
2021-03-16,NYK,PHI,7:25,0,0,2,False
2021-03-18,NYK,ORL,8:22,0,0,0,False
2021-03-21,NYK,PHI,6:51,0,0,0,False
2021-03-23,NYK,WAS,8:20,0,0,1,False
2021-03-25,NYK,WAS,11:08,0,1,1,False
2021-03-27,NYK,MIL,7:09,6,0,0,False
2021-03-29,NYK,MIA,12:07,3,1,4,False
2021-03-31,NYK,MIN,8:45,3,2,0,False
2021-04-02,NYK,DAL,10:56,9,0,2,False
2021-04-03,NYK,DET,15:51,8,1,2,False
2021-04-05,NYK,BRK,9:23,5,1,0,False
2021-04-07,NYK,BOS,10:37,2,0,1,False
2021-04-09,NYK,MEM,14:49,8,1,6,False
2021-04-11,NYK,TOR,5:00,2,0,3,False
2021-04-12,NYK,LAL,9:21,3,0,2,False
2021-04-14,NYK,NOP,5:45,0,0,1,False
2021-04-16,NYK,DAL,7:22,0,0,4,False
2021-04-18,NYK,NOP,5:46,0,0,2,False
2021-04-20,NYK,CHO,5:04,2,0,1,False
2021-04-21,NYK,ATL,12:11,2,1,6,False
2021-04-24,NYK,TOR,8:38,9,0,2,False
2021-04-26,NYK,PHO,9:57,6,0,3,False
2021-04-28,NYK,CHI,10:47,4,0,1,False
2021-05-02,NYK,HOU,16:36,5,1,3,False
2021-05-03,NYK,MEM,9:46,2,0,3,False
2021-05-05,NYK,DEN,16:40,4,0,6,False
2021-05-07,NYK,PHO,14:34,8,1,1,False
2021-05-09,NYK,LAC,10:12,7,0,1,False
2021-05-11,NYK,LAL,9:19,5,2,3,False
2021-05-13,NYK,SAS,3:07,0,1,0,False
2021-05-15,NYK,CHO,6:54,3,0,0,False
2021-05-16,NYK,BOS,10:25,6,0,2,False
