Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2019-10-24,HOU,MIL,38:21,17,0,7,True
2019-10-26,HOU,NOP,38:16,16,3,5,True
2019-10-28,HOU,OKC,33:24,17,1,9,True
2019-10-30,HOU,WAS,33:11,9,4,5,True
2019-11-01,HOU,BRK,34:51,9,1,8,True
2019-11-03,HOU,MIA,24:48,2,1,6,True
2019-11-04,HOU,MEM,34:04,0,3,6,True
2019-11-06,HOU,GSW,37:59,22,4,11,True
2019-11-09,HOU,CHI,32:05,4,1,5,True
2019-11-11,HOU,NOP,33:28,10,0,7,True
2019-11-13,HOU,LAC,38:36,6,0,3,True
2019-11-15,HOU,IND,39:44,5,0,12,True
2019-11-16,HOU,MIN,37:57,9,0,6,True
2019-11-18,HOU,POR,31:25,13,1,2,True
2019-11-20,HOU,DEN,31:25,5,0,1,True
2019-11-22,HOU,LAC,37:12,8,2,4,True
2019-11-24,HOU,DAL,35:58,16,2,5,True
2019-11-27,HOU,MIA,36:46,7,1,7,True
2019-11-30,HOU,ATL,29:44,10,3,7,True
2019-12-03,HOU,SAS,51:33,10,2,9,True
2019-12-05,HOU,TOR,38:32,18,2,11,True
2019-12-07,HOU,PHO,39:09,2,1,9,True
2019-12-09,HOU,SAC,35:13,10,1,19,True
2019-12-11,HOU,CLE,34:38,8,1,5,True
2019-12-13,HOU,ORL,34:33,12,1,11,True
2019-12-14,HOU,DET,40:52,3,3,4,True
2019-12-16,HOU,SAS,38:05,9,0,11,True
2019-12-19,HOU,LAC,36:35,10,1,12,True
2019-12-21,HOU,PHO,33:23,8,0,3,True
2019-12-23,HOU,SAC,39:48,5,4,10,True
2019-12-25,HOU,GSW,38:11,7,2,8,True
2019-12-28,HOU,BRK,37:17,4,0,7,True
2019-12-29,HOU,NOP,33:06,8,2,6,True
2019-12-31,HOU,DEN,33:53,0,2,8,True
2020-01-03,HOU,PHI,36:53,0,0,5,True
2020-01-08,HOU,ATL,33:44,8,2,17,True
2020-01-09,HOU,OKC,32:25,3,2,6,True
2020-01-11,HOU,MIN,1:53,0,0,1,True
2020-01-14,HOU,MEM,38:21,0,3,7,True
2020-01-15,HOU,POR,30:05,3,1,4,True
2020-01-18,HOU,LAL,34:36,6,1,8,True
2020-01-20,HOU,OKC,41:14,5,1,3,True
2020-01-22,HOU,DEN,31:29,8,4,9,True
2020-01-24,HOU,MIN,36:02,2,5,3,True
2020-01-26,HOU,DEN,38:26,5,2,8,True
2020-01-27,HOU,UTA,32:04,9,5,10,True
2020-01-29,HOU,POR,34:41,5,4,9,True
2020-01-31,HOU,DAL,36:15,6,1,1,True
2020-02-02,HOU,NOP,38:42,0,0,9,True
2020-02-04,HOU,CHO,40:46,13,3,10,True
2020-02-06,HOU,LAL,31:01,11,0,6,True
2020-02-07,HOU,PHO,22:34,2,1,2,True
2020-02-09,HOU,UTA,35:54,9,4,3,True
2020-02-11,HOU,BOS,35:53,4,0,6,True
2020-02-20,HOU,GSW,30:22,15,1,5,True
2020-02-22,HOU,UTA,34:47,5,0,5,True
2020-02-24,HOU,NYK,24:51,2,1,5,True
2020-02-26,HOU,MEM,24:33,11,2,3,True
2020-02-29,HOU,BOS,39:20,9,1,13,True
2020-03-02,HOU,NYK,33:38,0,3,5,True
2020-03-05,HOU,LAC,27:50,3,1,6,True
2020-03-07,HOU,CHO,35:40,3,1,8,True
2020-03-08,HOU,ORL,28:41,7,1,4,True
2020-03-10,HOU,MIN,35:51,3,2,11,True
2020-07-31,HOU,DAL,39:41,7,3,4,True
2020-08-02,HOU,MIL,38:09,11,3,4,True
2020-08-04,HOU,POR,33:40,6,0,8,True
2020-08-06,HOU,LAL,36:15,6,2,6,True
2020-08-09,HOU,SAC,33:06,1,1,7,True
2020-08-11,HOU,SAS,26:35,3,1,1,True
2020-08-12,HOU,IND,28:11,3,2,4,True
2020-08-14,HOU,PHI,29:03,7,2,1,True
