Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2020-12-23,MEM,SAS,29:33,15,2,13,True
2020-12-26,MEM,ATL,28:56,13,4,12,True
2020-12-28,MEM,BRK,39:07,14,2,14,True
2020-12-30,MEM,BOS,24:10,20,1,11,True
2021-01-01,MEM,CHO,25:47,14,1,10,True
2021-01-03,MEM,LAL,26:13,14,1,10,True
2021-01-05,MEM,LAL,25:42,13,2,11,True
2021-01-07,MEM,CLE,27:32,17,3,10,True
2021-01-08,MEM,BRK,13:34,8,0,4,True
2021-01-11,MEM,CLE,29:49,12,3,7,True
2021-01-13,MEM,MIN,30:13,24,1,16,True
2021-01-16,MEM,PHI,20:09,9,1,7,True
2021-01-18,MEM,PHO,N/A,N/A,N/A,N/A,False
2021-01-30,MEM,SAS,N/A,N/A,N/A,N/A,False
2021-02-01,MEM,SAS,N/A,N/A,N/A,N/A,False
2021-02-02,MEM,IND,N/A,N/A,N/A,N/A,False
2021-02-04,MEM,HOU,N/A,N/A,N/A,N/A,False
2021-02-06,MEM,NOP,24:20,23,2,7,False
2021-02-08,MEM,TOR,33:35,27,3,20,True
2021-02-10,MEM,CHO,28:52,12,3,15,True
2021-02-12,MEM,LAL,32:15,22,5,8,True
2021-02-14,MEM,SAC,26:24,25,2,13,True
2021-02-16,MEM,NOP,28:13,10,1,5,True
2021-02-17,MEM,OKC,28:04,22,2,12,True
2021-02-19,MEM,DET,29:37,17,1,15,True
2021-02-20,MEM,PHO,25:02,10,1,11,True
2021-02-22,MEM,DAL,29:33,11,0,15,True
2021-02-25,MEM,LAC,24:54,16,2,15,True
2021-02-26,MEM,LAC,32:51,22,3,11,True
2021-02-28,MEM,HOU,12:37,6,0,6,True
2021-03-02,MEM,WAS,28:53,11,1,16,True
2021-03-04,MEM,MIL,27:20,13,0,12,True
2021-03-10,MEM,WAS,32:28,29,3,20,True
2021-03-12,MEM,DEN,36:33,14,1,11,True
2021-03-14,MEM,OKC,29:47,16,4,14,True
2021-03-15,MEM,PHO,26:46,24,0,17,True
2021-03-17,MEM,MIA,23:38,7,0,12,True
2021-03-19,MEM,GSW,25:03,10,4,16,True
2021-03-20,MEM,GSW,27:15,19,1,15,True
2021-03-22,MEM,BOS,33:35,16,2,19,True
2021-03-24,MEM,OKC,26:30,16,0,15,True
2021-03-26,MEM,UTA,28:12,14,2,18,True
2021-03-27,MEM,UTA,20:41,13,2,11,True
2021-03-29,MEM,HOU,31:59,30,1,15,True
2021-03-31,MEM,UTA,32:11,16,5,14,True
2021-04-02,MEM,MIN,22:16,19,0,11,True
2021-04-04,MEM,PHI,25:50,16,1,12,True
2021-04-06,MEM,MIA,27:18,20,0,10,True
2021-04-07,MEM,ATL,26:29,19,4,11,True
2021-04-09,MEM,NYK,35:45,20,2,14,True
2021-04-11,MEM,IND,32:14,34,2,22,True
2021-04-12,MEM,CHI,34:14,26,2,14,True
2021-04-14,MEM,DAL,32:42,19,2,16,True
2021-04-16,MEM,CHI,31:08,16,5,7,True
2021-04-17,MEM,MIL,25:44,17,2,8,True
2021-04-19,MEM,DEN,N/A,N/A,N/A,N/A,False
2021-04-21,MEM,LAC,N/A,N/A,N/A,N/A,False
2021-04-23,MEM,POR,N/A,N/A,N/A,N/A,False
2021-04-25,MEM,POR,30:12,21,2,10,True
2021-04-26,MEM,DEN,23:10,13,0,3,True
2021-04-28,MEM,POR,24:34,19,1,6,True
2021-04-30,MEM,ORL,26:46,14,2,15,True
2021-05-01,MEM,ORL,30:21,11,3,16,True
2021-05-03,MEM,NYK,34:57,11,1,16,True
2021-05-05,MEM,MIN,19:55,9,2,5,True
2021-05-06,MEM,DET,31:30,19,2,16,True
2021-05-08,MEM,TOR,36:13,18,1,21,True
2021-05-10,MEM,NOP,27:28,20,2,11,True
2021-05-11,MEM,DAL,N/A,N/A,N/A,N/A,False
2021-05-13,MEM,SAC,33:11,24,3,13,True
2021-05-14,MEM,SAC,N/A,N/A,N/A,N/A,False
2021-05-16,MEM,GSW,35:30,29,1,16,True
