Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2020-12-23,SAS,MEM,19:40,3,0,3,False
2020-12-26,SAS,TOR,11:53,7,1,5,False
2020-12-27,SAS,NOP,12:09,0,1,2,False
2020-12-30,SAS,LAL,13:04,3,0,2,False
2021-01-01,SAS,LAL,N/A,N/A,N/A,N/A,False
2021-01-03,SAS,UTA,22:51,4,3,3,False
2021-01-05,SAS,LAC,16:31,12,0,2,False
2021-01-07,SAS,LAL,14:21,6,2,1,False
2021-01-09,SAS,MIN,14:33,0,3,4,False
2021-01-10,SAS,MIN,9:47,0,0,2,False
2021-01-12,SAS,OKC,21:38,2,2,7,False
2021-01-14,SAS,HOU,22:56,12,1,3,False
2021-01-16,SAS,HOU,19:43,9,0,7,False
2021-01-18,SAS,POR,26:22,6,4,7,False
2021-01-20,SAS,GSW,26:54,8,2,3,False
2021-01-22,SAS,DAL,20:53,5,2,3,False
2021-01-24,SAS,WAS,24:03,14,1,4,False
2021-01-27,SAS,BOS,15:07,3,0,3,False
2021-01-29,SAS,DEN,17:39,9,0,2,False
2021-01-30,SAS,MEM,9:31,2,0,2,False
2021-02-01,SAS,MEM,11:44,3,1,2,False
2021-02-03,SAS,MIN,19:44,7,1,4,False
2021-02-06,SAS,HOU,15:28,9,1,2,False
2021-02-08,SAS,GSW,20:53,10,0,2,False
2021-02-09,SAS,GSW,24:17,6,0,6,True
2021-02-12,SAS,ATL,12:16,3,2,1,False
2021-02-14,SAS,CHO,7:00,0,1,1,False
2021-02-24,SAS,OKC,N/A,N/A,N/A,N/A,False
2021-02-27,SAS,NOP,N/A,N/A,N/A,N/A,False
2021-03-01,SAS,BRK,N/A,N/A,N/A,N/A,False
2021-03-02,SAS,NYK,N/A,N/A,N/A,N/A,False
2021-03-04,SAS,OKC,N/A,N/A,N/A,N/A,False
2021-03-10,SAS,DAL,N/A,N/A,N/A,N/A,False
2021-03-12,SAS,ORL,17:55,8,2,3,False
2021-03-14,SAS,PHI,11:47,0,0,1,False
2021-03-15,SAS,DET,21:19,13,3,3,False
2021-03-17,SAS,CHI,20:38,4,2,6,False
2021-03-19,SAS,CLE,11:45,0,0,2,False
2021-03-20,SAS,MIL,24:04,7,0,2,False
2021-03-22,SAS,CHO,10:07,2,1,4,False
2021-03-24,SAS,LAC,21:31,8,1,2,False
2021-03-25,SAS,LAC,21:03,7,0,4,False
2021-03-27,SAS,CHI,6:29,2,0,0,False
2021-03-29,SAS,SAC,15:21,3,0,3,False
2021-03-31,SAS,SAC,15:49,2,0,2,False
2021-04-01,SAS,ATL,11:33,6,0,1,False
2021-04-03,SAS,IND,18:57,3,0,3,False
2021-04-05,SAS,CLE,17:27,6,2,0,False
2021-04-07,SAS,DEN,15:53,3,0,1,False
2021-04-09,SAS,DEN,3:37,0,1,1,False
2021-04-11,SAS,DAL,N/A,N/A,N/A,N/A,False
2021-04-12,SAS,ORL,10:26,4,0,0,False
2021-04-14,SAS,TOR,N/A,N/A,N/A,N/A,False
2021-04-16,SAS,POR,N/A,N/A,N/A,N/A,False
2021-04-17,SAS,PHO,24:54,18,2,3,False
2021-04-19,SAS,IND,3:36,2,0,1,False
2021-04-21,SAS,MIA,4:06,0,1,0,False
2021-04-22,SAS,DET,23:40,2,1,2,False
2021-04-24,SAS,NOP,5:53,3,0,1,False
2021-04-26,SAS,WAS,0:28,0,0,0,False
2021-04-28,SAS,MIA,25:06,11,1,2,True
2021-04-30,SAS,BOS,15:28,2,1,2,True
2021-05-02,SAS,PHI,22:44,4,0,6,True
2021-05-03,SAS,UTA,24:23,11,0,6,True
2021-05-05,SAS,UTA,30:36,14,2,4,True
2021-05-07,SAS,SAC,15:09,5,0,2,False
2021-05-08,SAS,POR,21:09,9,0,7,False
2021-05-10,SAS,MIL,18:30,10,2,3,False
2021-05-12,SAS,BRK,20:36,8,0,2,False
2021-05-13,SAS,NYK,13:21,2,0,3,False
2021-05-15,SAS,PHO,33:39,14,4,7,True
2021-05-16,SAS,PHO,26:01,5,2,2,False
