Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2023-10-24,LAL,DEN,22:18,6,2,1,False
2023-10-26,LAL,PHO,35:01,7,6,3,False
2023-10-29,LAL,SAC,31:34,2,2,0,False
2023-10-30,LAL,ORL,24:34,9,2,0,False
2023-11-01,LAL,LAC,N/A,N/A,N/A,N/A,False
2023-11-04,LAL,ORL,N/A,N/A,N/A,N/A,False
2023-11-06,LAL,MIA,N/A,N/A,N/A,N/A,False
2023-11-08,LAL,HOU,N/A,N/A,N/A,N/A,False
2023-11-10,LAL,PHO,N/A,N/A,N/A,N/A,False
2023-11-12,LAL,POR,N/A,N/A,N/A,N/A,False
2023-11-14,LAL,MEM,N/A,N/A,N/A,N/A,False
2023-11-15,LAL,SAC,N/A,N/A,N/A,N/A,False
2023-11-17,LAL,POR,N/A,N/A,N/A,N/A,False
2023-11-19,LAL,HOU,N/A,N/A,N/A,N/A,False
2023-11-21,LAL,UTA,N/A,N/A,N/A,N/A,False
2023-11-22,LAL,DAL,N/A,N/A,N/A,N/A,False
2023-11-25,LAL,CLE,N/A,N/A,N/A,N/A,False
2023-11-27,LAL,PHI,N/A,N/A,N/A,N/A,False
2023-11-29,LAL,DET,N/A,N/A,N/A,N/A,False
2023-11-30,LAL,OKC,N/A,N/A,N/A,N/A,False
2023-12-02,LAL,HOU,N/A,N/A,N/A,N/A,False
2023-12-05,LAL,PHO,N/A,N/A,N/A,N/A,False
2023-12-07,LAL,NOP,N/A,N/A,N/A,N/A,False
2023-12-12,LAL,DAL,N/A,N/A,N/A,N/A,False
2023-12-13,LAL,SAS,N/A,N/A,N/A,N/A,False
2023-12-15,LAL,SAS,N/A,N/A,N/A,N/A,False
2023-12-18,LAL,NYK,N/A,N/A,N/A,N/A,False
2023-12-20,LAL,CHI,13:57,3,3,1,False
2023-12-21,LAL,MIN,N/A,N/A,N/A,N/A,False
2023-12-23,LAL,OKC,N/A,N/A,N/A,N/A,False
2023-12-25,LAL,BOS,N/A,N/A,N/A,N/A,False
2023-12-28,LAL,CHO,N/A,N/A,N/A,N/A,False
2023-12-30,LAL,MIN,N/A,N/A,N/A,N/A,False
2023-12-31,LAL,NOP,N/A,N/A,N/A,N/A,False
2024-01-03,LAL,MIA,N/A,N/A,N/A,N/A,False
2024-01-05,LAL,MEM,N/A,N/A,N/A,N/A,False
2024-01-07,LAL,LAC,N/A,N/A,N/A,N/A,False
2024-01-09,LAL,TOR,N/A,N/A,N/A,N/A,False
2024-01-11,LAL,PHO,N/A,N/A,N/A,N/A,False
2024-01-13,LAL,UTA,N/A,N/A,N/A,N/A,False
2024-01-15,LAL,OKC,N/A,N/A,N/A,N/A,False
2024-01-17,LAL,DAL,N/A,N/A,N/A,N/A,False
2024-01-19,LAL,BRK,N/A,N/A,N/A,N/A,False
2024-01-21,LAL,POR,N/A,N/A,N/A,N/A,False
2024-01-23,LAL,LAC,N/A,N/A,N/A,N/A,False
2024-01-25,LAL,CHI,N/A,N/A,N/A,N/A,False
2024-01-27,LAL,GSW,N/A,N/A,N/A,N/A,False
2024-01-29,LAL,HOU,N/A,N/A,N/A,N/A,False
2024-01-30,LAL,ATL,N/A,N/A,N/A,N/A,False
2024-02-01,LAL,BOS,N/A,N/A,N/A,N/A,False
2024-02-03,LAL,NYK,N/A,N/A,N/A,N/A,False
2024-02-05,LAL,CHO,N/A,N/A,N/A,N/A,False
2024-02-08,LAL,DEN,N/A,N/A,N/A,N/A,False
2024-02-09,LAL,NOP,N/A,N/A,N/A,N/A,False
2024-02-13,LAL,DET,N/A,N/A,N/A,N/A,False
2024-02-14,LAL,UTA,N/A,N/A,N/A,N/A,False
2024-02-22,LAL,GSW,N/A,N/A,N/A,N/A,False
2024-02-23,LAL,SAS,N/A,N/A,N/A,N/A,False
2024-02-25,LAL,PHO,N/A,N/A,N/A,N/A,False
2024-02-28,LAL,LAC,N/A,N/A,N/A,N/A,False
2024-02-29,LAL,WAS,N/A,N/A,N/A,N/A,False
2024-03-02,LAL,DEN,N/A,N/A,N/A,N/A,False
2024-03-04,LAL,OKC,N/A,N/A,N/A,N/A,False
2024-03-06,LAL,SAC,N/A,N/A,N/A,N/A,False
2024-03-08,LAL,MIL,N/A,N/A,N/A,N/A,False
2024-03-10,LAL,MIN,N/A,N/A,N/A,N/A,False
2024-03-13,LAL,SAC,N/A,N/A,N/A,N/A,False
2024-03-16,LAL,GSW,N/A,N/A,N/A,N/A,False
2024-03-18,LAL,ATL,N/A,N/A,N/A,N/A,False
2024-03-22,LAL,PHI,N/A,N/A,N/A,N/A,False
2024-03-24,LAL,IND,N/A,N/A,N/A,N/A,False
2024-03-26,LAL,MIL,N/A,N/A,N/A,N/A,False
2024-03-27,LAL,MEM,N/A,N/A,N/A,N/A,False
2024-03-29,LAL,IND,N/A,N/A,N/A,N/A,False
2024-03-31,LAL,BRK,14:01,2,1,1,False
2024-04-02,LAL,TOR,N/A,N/A,N/A,N/A,False
2024-04-03,LAL,WAS,14:21,0,0,1,False
2024-04-06,LAL,CLE,14:21,0,2,0,False
2024-04-07,LAL,MIN,N/A,N/A,N/A,N/A,False
2024-04-09,LAL,GSW,15:29,0,1,1,False
2024-04-12,LAL,MEM,18:37,5,1,1,False
2024-04-14,LAL,NOP,13:22,0,1,0,False
