Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2023-10-25,CLE,BRK,N/A,N/A,N/A,N/A,False
2023-10-27,CLE,OKC,26:35,8,0,5,True
2023-10-28,CLE,IND,36:49,6,3,3,True
2023-10-31,CLE,NYK,16:10,0,1,3,True
2023-11-01,CLE,NYK,19:51,6,0,3,False
2023-11-03,CLE,IND,2:46,0,0,0,False
2023-11-05,CLE,GSW,12:30,3,0,4,False
2023-11-08,CLE,OKC,10:33,0,0,6,False
2023-11-11,CLE,GSW,16:40,8,0,7,False
2023-11-13,CLE,SAC,12:48,0,1,0,False
2023-11-15,CLE,POR,32:41,0,2,3,True
2023-11-17,CLE,DET,21:48,3,0,1,True
2023-11-19,CLE,DEN,24:18,6,2,10,True
2023-11-21,CLE,PHI,30:48,0,2,8,True
2023-11-22,CLE,MIA,N/A,N/A,N/A,N/A,False
2023-11-25,CLE,LAL,N/A,N/A,N/A,N/A,False
2023-11-26,CLE,TOR,N/A,N/A,N/A,N/A,False
2023-11-28,CLE,ATL,N/A,N/A,N/A,N/A,False
2023-11-30,CLE,POR,N/A,N/A,N/A,N/A,False
2023-12-02,CLE,DET,N/A,N/A,N/A,N/A,False
2023-12-06,CLE,ORL,13:55,8,0,5,False
2023-12-08,CLE,MIA,24:55,5,0,6,True
2023-12-11,CLE,ORL,28:53,9,0,6,True
2023-12-12,CLE,BOS,19:50,8,3,3,True
2023-12-14,CLE,BOS,15:51,5,0,4,True
2023-12-16,CLE,ATL,22:24,16,3,5,True
2023-12-18,CLE,HOU,21:32,12,1,3,True
2023-12-20,CLE,UTA,29:37,3,2,7,True
2023-12-21,CLE,NOP,26:15,20,0,9,True
2023-12-23,CLE,CHI,36:20,11,1,7,True
2023-12-27,CLE,DAL,32:01,3,0,8,True
2023-12-29,CLE,MIL,17:04,0,1,5,True
2024-01-01,CLE,TOR,20:44,2,0,3,True
2024-01-03,CLE,WAS,20:06,2,1,3,True
2024-01-05,CLE,WAS,21:37,6,1,5,True
2024-01-07,CLE,SAS,10:58,0,1,2,True
2024-01-11,CLE,BRK,27:00,4,2,1,True
2024-01-15,CLE,CHI,26:00,12,3,7,True
2024-01-17,CLE,MIL,20:46,5,0,3,True
2024-01-20,CLE,ATL,25:33,17,0,5,True
2024-01-22,CLE,ORL,24:03,9,0,3,True
2024-01-24,CLE,MIL,22:44,6,0,5,True
2024-01-26,CLE,MIL,21:22,9,0,5,True
2024-01-29,CLE,LAC,25:31,6,2,4,False
2024-01-31,CLE,DET,12:13,0,0,1,False
2024-02-01,CLE,MEM,27:50,6,1,5,True
2024-02-03,CLE,SAS,13:41,0,1,2,False
2024-02-05,CLE,SAC,15:25,6,2,5,False
2024-02-07,CLE,WAS,11:51,6,0,2,False
2024-02-08,CLE,BRK,16:27,9,0,1,False
2024-02-10,CLE,TOR,13:35,0,0,4,False
2024-02-12,CLE,PHI,N/A,N/A,N/A,N/A,False
2024-02-14,CLE,CHI,N/A,N/A,N/A,N/A,False
2024-02-22,CLE,ORL,12:42,3,0,2,False
2024-02-23,CLE,PHI,11:01,0,0,3,False
2024-02-25,CLE,WAS,7:52,0,1,1,False
2024-02-27,CLE,DAL,9:15,0,0,2,False
2024-02-28,CLE,CHI,13:52,5,1,2,False
2024-03-01,CLE,DET,18:41,6,0,2,False
2024-03-03,CLE,NYK,20:00,0,2,3,False
2024-03-05,CLE,BOS,21:07,23,1,8,False
2024-03-06,CLE,ATL,30:06,9,0,4,True
2024-03-08,CLE,MIN,32:57,0,2,4,True
2024-03-10,CLE,BRK,N/A,N/A,N/A,N/A,False
2024-03-11,CLE,PHO,N/A,N/A,N/A,N/A,False
2024-03-13,CLE,NOP,N/A,N/A,N/A,N/A,False
2024-03-16,CLE,HOU,N/A,N/A,N/A,N/A,False
2024-03-18,CLE,IND,N/A,N/A,N/A,N/A,False
2024-03-20,CLE,MIA,N/A,N/A,N/A,N/A,False
2024-03-22,CLE,MIN,N/A,N/A,N/A,N/A,False
2024-03-24,CLE,MIA,N/A,N/A,N/A,N/A,False
2024-03-25,CLE,CHO,N/A,N/A,N/A,N/A,False
2024-03-27,CLE,CHO,N/A,N/A,N/A,N/A,False
2024-03-29,CLE,PHI,N/A,N/A,N/A,N/A,False
2024-03-31,CLE,DEN,N/A,N/A,N/A,N/A,False
2024-04-02,CLE,UTA,N/A,N/A,N/A,N/A,False
2024-04-03,CLE,PHO,N/A,N/A,N/A,N/A,False
2024-04-06,CLE,LAL,N/A,N/A,N/A,N/A,False
2024-04-07,CLE,LAC,N/A,N/A,N/A,N/A,False
2024-04-10,CLE,MEM,N/A,N/A,N/A,N/A,False
2024-04-12,CLE,IND,N/A,N/A,N/A,N/A,False
2024-04-14,CLE,CHO,N/A,N/A,N/A,N/A,False
