Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2020-12-23,SAS,MEM,34:23,16,2,6,True
2020-12-26,SAS,TOR,24:53,14,2,4,True
2020-12-27,SAS,NOP,34:08,16,1,2,True
2020-12-30,SAS,LAL,32:48,11,3,4,True
2021-01-01,SAS,LAL,23:44,8,3,1,True
2021-01-03,SAS,UTA,22:03,11,0,2,True
2021-01-05,SAS,LAC,30:04,9,1,1,True
2021-01-07,SAS,LAL,26:35,14,2,6,True
2021-01-09,SAS,MIN,27:48,7,0,2,True
2021-01-10,SAS,MIN,30:22,25,4,3,True
2021-01-12,SAS,OKC,35:35,24,2,3,True
2021-01-14,SAS,HOU,25:22,16,2,3,True
2021-01-16,SAS,HOU,28:59,8,0,3,True
2021-01-18,SAS,POR,27:35,5,2,5,True
2021-01-20,SAS,GSW,24:39,3,0,3,True
2021-01-22,SAS,DAL,29:09,9,3,6,True
2021-01-24,SAS,WAS,29:32,16,1,2,True
2021-01-27,SAS,BOS,31:07,14,1,1,True
2021-01-29,SAS,DEN,28:34,3,3,5,True
2021-01-30,SAS,MEM,25:21,12,5,1,True
2021-02-01,SAS,MEM,15:56,4,0,4,True
2021-02-03,SAS,MIN,21:27,2,1,1,True
2021-02-06,SAS,HOU,N/A,N/A,N/A,N/A,False
2021-02-08,SAS,GSW,N/A,N/A,N/A,N/A,False
2021-02-09,SAS,GSW,17:42,0,2,3,False
2021-02-12,SAS,ATL,19:18,11,0,1,False
2021-02-14,SAS,CHO,19:16,11,2,1,False
2021-02-24,SAS,OKC,33:23,12,2,4,True
2021-02-27,SAS,NOP,28:11,17,2,2,True
2021-03-01,SAS,BRK,37:03,19,4,4,True
2021-03-02,SAS,NYK,30:11,11,3,3,True
2021-03-04,SAS,OKC,23:37,11,0,0,True
2021-03-10,SAS,DAL,17:59,12,1,1,False
2021-03-12,SAS,ORL,25:39,5,1,6,False
2021-03-14,SAS,PHI,15:26,15,0,0,False
2021-03-15,SAS,DET,28:34,11,4,2,True
2021-03-17,SAS,CHI,19:34,11,1,2,True
2021-03-19,SAS,CLE,N/A,N/A,N/A,N/A,False
2021-03-20,SAS,MIL,32:47,31,1,6,True
2021-03-22,SAS,CHO,8:50,3,0,0,False
2021-03-24,SAS,LAC,N/A,N/A,N/A,N/A,False
2021-03-25,SAS,LAC,N/A,N/A,N/A,N/A,False
2021-03-27,SAS,CHI,N/A,N/A,N/A,N/A,False
2021-03-29,SAS,SAC,N/A,N/A,N/A,N/A,False
2021-03-31,SAS,SAC,N/A,N/A,N/A,N/A,False
2021-04-01,SAS,ATL,N/A,N/A,N/A,N/A,False
2021-04-03,SAS,IND,N/A,N/A,N/A,N/A,False
2021-04-05,SAS,CLE,N/A,N/A,N/A,N/A,False
2021-04-07,SAS,DEN,N/A,N/A,N/A,N/A,False
2021-04-09,SAS,DEN,17:16,8,2,0,False
2021-04-11,SAS,DAL,19:47,13,0,3,False
2021-04-12,SAS,ORL,20:42,12,1,0,False
2021-04-14,SAS,TOR,17:05,9,1,3,False
2021-04-16,SAS,POR,21:56,5,2,2,False
2021-04-17,SAS,PHO,26:08,9,3,4,False
2021-04-19,SAS,IND,15:14,0,2,4,False
2021-04-21,SAS,MIA,18:03,7,2,0,False
2021-04-22,SAS,DET,33:28,18,3,1,True
2021-04-24,SAS,NOP,14:05,4,0,1,False
2021-04-26,SAS,WAS,19:48,0,1,1,False
2021-04-28,SAS,MIA,29:21,18,1,3,False
2021-04-30,SAS,BOS,33:53,24,1,4,False
2021-05-02,SAS,PHI,31:27,23,2,0,False
2021-05-03,SAS,UTA,23:11,2,0,1,False
2021-05-05,SAS,UTA,20:55,7,5,2,False
2021-05-07,SAS,SAC,32:51,16,2,1,True
2021-05-08,SAS,POR,28:01,18,1,8,True
2021-05-10,SAS,MIL,26:17,19,0,4,True
2021-05-12,SAS,BRK,25:06,9,2,3,True
2021-05-13,SAS,NYK,29:21,12,2,4,True
2021-05-15,SAS,PHO,23:15,0,5,1,True
2021-05-16,SAS,PHO,27:05,9,2,2,True
