Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2019-10-23,MIN,BRK,36:13,21,0,8,True
2019-10-25,MIN,CHO,32:40,16,2,4,True
2019-10-27,MIN,MIA,35:27,25,0,6,True
2019-10-30,MIN,PHI,33:00,19,2,5,True
2019-11-02,MIN,WAS,26:25,21,6,5,True
2019-11-04,MIN,MIL,30:38,25,0,3,True
2019-11-06,MIN,MEM,34:20,30,6,2,True
2019-11-08,MIN,GSW,44:37,40,7,5,True
2019-11-10,MIN,DEN,40:28,25,5,4,True
2019-11-11,MIN,DET,35:57,33,5,6,True
2019-11-13,MIN,SAS,31:45,30,7,8,True
2019-11-15,MIN,WAS,N/A,N/A,N/A,N/A,False
2019-11-16,MIN,HOU,N/A,N/A,N/A,N/A,False
2019-11-18,MIN,UTA,N/A,N/A,N/A,N/A,False
2019-11-20,MIN,UTA,34:09,22,3,7,True
2019-11-23,MIN,PHO,36:28,21,3,4,True
2019-11-25,MIN,ATL,36:28,25,1,6,True
2019-11-27,MIN,SAS,35:49,26,2,8,True
2019-12-01,MIN,MEM,35:02,18,7,6,True
2019-12-04,MIN,DAL,31:38,26,1,5,True
2019-12-06,MIN,OKC,N/A,N/A,N/A,N/A,False
2019-12-08,MIN,LAL,29:25,19,3,2,True
2019-12-09,MIN,PHO,37:20,23,4,4,True
2019-12-11,MIN,UTA,37:32,26,3,6,True
2019-12-13,MIN,LAC,39:20,34,2,3,True
2019-12-18,MIN,NOP,41:55,27,0,7,True
2019-12-20,MIN,DEN,37:04,19,6,3,True
2019-12-21,MIN,POR,34:56,33,1,6,True
2019-12-23,MIN,GSW,38:36,22,2,7,True
2019-12-26,MIN,SAC,43:37,18,7,10,True
2019-12-28,MIN,CLE,N/A,N/A,N/A,N/A,False
2019-12-30,MIN,BRK,N/A,N/A,N/A,N/A,False
2020-01-01,MIN,MIL,N/A,N/A,N/A,N/A,False
2020-01-02,MIN,GSW,N/A,N/A,N/A,N/A,False
2020-01-05,MIN,CLE,30:54,15,4,7,True
2020-01-07,MIN,MEM,33:29,15,2,4,True
2020-01-09,MIN,POR,25:38,23,8,3,True
2020-01-11,MIN,HOU,24:37,11,1,3,True
2020-01-13,MIN,OKC,31:17,10,3,1,True
2020-01-15,MIN,IND,32:18,10,3,3,True
2020-01-17,MIN,IND,34:08,22,4,2,True
2020-01-18,MIN,TOR,36:05,18,11,10,True
2020-01-20,MIN,DEN,33:19,15,2,6,True
2020-01-22,MIN,CHI,35:09,25,9,5,True
2020-01-24,MIN,HOU,33:09,28,3,5,True
2020-01-25,MIN,OKC,33:45,22,1,3,True
2020-01-27,MIN,SAC,42:47,36,8,9,True
2020-02-01,MIN,LAC,26:32,13,3,5,True
2020-02-03,MIN,SAC,35:29,10,5,6,True
2020-02-05,MIN,ATL,36:03,25,3,7,True
2020-02-08,GSW,LAL,30:54,24,3,2,True
2020-02-10,GSW,MIA,34:04,18,4,2,True
2020-02-12,GSW,PHO,33:47,27,5,4,True
2020-02-20,GSW,HOU,28:57,22,0,3,True
2020-02-23,GSW,NOP,34:20,8,4,10,True
2020-02-25,GSW,SAC,30:31,16,1,0,True
2020-02-27,GSW,LAL,N/A,N/A,N/A,N/A,False
2020-02-29,GSW,PHO,34:48,17,5,7,True
2020-03-01,GSW,WAS,35:22,27,2,6,True
2020-03-03,GSW,DEN,33:53,22,10,5,True
2020-03-05,GSW,TOR,37:25,21,2,10,True
2020-03-07,GSW,PHI,37:04,10,4,4,True
2020-03-10,GSW,LAC,32:21,21,3,2,True
