Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2022-10-19,OKC,MIN,5:54,5,1,0,False
2022-10-22,OKC,DEN,N/A,N/A,N/A,N/A,False
2022-10-23,OKC,MIN,N/A,N/A,N/A,N/A,False
2022-10-25,OKC,LAC,N/A,N/A,N/A,N/A,False
2022-10-27,OKC,LAC,N/A,N/A,N/A,N/A,False
2022-10-29,OKC,DAL,26:49,13,3,3,False
2022-11-01,OKC,ORL,21:46,6,0,1,True
2022-11-03,OKC,DEN,14:19,8,2,0,False
2022-11-05,OKC,MIL,19:55,5,1,5,False
2022-11-07,OKC,DET,30:34,6,2,2,True
2022-11-09,OKC,MIL,22:34,9,2,5,False
2022-11-11,OKC,TOR,30:29,10,11,3,False
2022-11-13,OKC,NYK,19:49,8,0,0,False
2022-11-14,OKC,BOS,36:00,14,2,6,True
2022-11-16,OKC,WAS,27:39,10,6,4,False
2022-11-18,OKC,MEM,33:33,16,7,6,True
2022-11-21,OKC,NYK,26:12,13,0,4,False
2022-11-23,OKC,DEN,29:42,16,1,0,False
2022-11-25,OKC,CHI,19:53,8,1,2,True
2022-11-26,OKC,HOU,29:09,11,4,5,True
2022-11-28,OKC,NOP,24:32,8,1,6,False
2022-11-30,OKC,SAS,33:25,27,2,6,True
2022-12-03,OKC,MIN,27:10,11,3,1,False
2022-12-05,OKC,ATL,31:18,12,1,7,True
2022-12-07,OKC,MEM,25:34,7,3,3,True
2022-12-10,OKC,CLE,29:15,11,3,0,False
2022-12-12,OKC,DAL,38:11,17,4,2,True
2022-12-14,OKC,MIA,30:44,14,2,5,True
2022-12-16,OKC,MIN,32:44,13,3,4,True
2022-12-17,OKC,MEM,29:36,1,6,2,True
2022-12-19,OKC,POR,33:21,13,4,7,True
2022-12-21,OKC,POR,30:26,15,1,4,True
2022-12-23,OKC,NOP,30:06,11,3,7,True
2022-12-27,OKC,SAS,30:54,15,3,9,True
2022-12-29,OKC,CHO,27:01,15,1,5,True
2022-12-31,OKC,PHI,27:53,17,1,3,True
2023-01-03,OKC,BOS,33:13,21,6,3,True
2023-01-04,OKC,ORL,27:59,4,4,3,True
2023-01-06,OKC,WAS,33:31,18,3,8,True
2023-01-08,OKC,DAL,24:55,10,2,4,True
2023-01-10,OKC,MIA,32:13,12,5,0,True
2023-01-12,OKC,PHI,27:26,14,4,5,True
2023-01-13,OKC,CHI,34:04,22,3,8,True
2023-01-15,OKC,BRK,34:55,1,3,6,True
2023-01-18,OKC,IND,34:13,11,6,7,True
2023-01-20,OKC,SAC,31:30,13,2,1,True
2023-01-22,OKC,DEN,28:52,4,2,6,True
2023-01-25,OKC,ATL,37:31,24,2,5,True
2023-01-27,OKC,CLE,32:41,17,0,3,True
2023-01-30,OKC,GSW,30:58,19,2,4,True
2023-02-01,OKC,HOU,29:15,8,3,6,True
2023-02-04,OKC,HOU,30:10,2,7,6,True
2023-02-06,OKC,GSW,25:24,8,1,5,True
2023-02-07,OKC,LAL,39:47,25,2,7,True
2023-02-10,OKC,POR,32:47,13,6,4,True
2023-02-13,OKC,NOP,39:10,22,4,7,True
2023-02-15,OKC,HOU,22:13,13,2,4,True
2023-02-23,OKC,UTA,37:35,9,2,6,True
2023-02-24,OKC,PHO,28:19,22,4,6,True
2023-02-26,OKC,SAC,31:18,15,4,2,True
2023-02-28,OKC,SAC,32:44,27,8,5,True
2023-03-01,OKC,LAL,34:13,24,7,4,True
2023-03-03,OKC,UTA,33:11,20,4,6,True
2023-03-05,OKC,UTA,33:59,32,5,5,True
2023-03-07,OKC,GSW,N/A,N/A,N/A,N/A,False
2023-03-08,OKC,PHO,N/A,N/A,N/A,N/A,False
2023-03-11,OKC,NOP,36:33,17,2,4,True
2023-03-12,OKC,SAS,35:05,21,10,7,True
2023-03-14,OKC,BRK,36:20,23,3,10,True
2023-03-16,OKC,TOR,29:15,15,3,7,True
2023-03-19,OKC,PHO,27:59,5,5,10,True
2023-03-21,OKC,LAC,37:11,20,3,8,True
2023-03-23,OKC,LAC,31:54,16,4,3,True
2023-03-24,OKC,LAL,38:17,9,2,5,True
2023-03-26,OKC,POR,37:05,23,4,5,True
2023-03-28,OKC,CHO,33:31,31,4,3,True
2023-03-29,OKC,DET,37:00,27,6,8,True
2023-03-31,OKC,IND,29:30,14,6,6,True
2023-04-02,OKC,PHO,34:43,12,2,3,True
2023-04-04,OKC,GSW,32:31,19,2,4,True
2023-04-06,OKC,UTA,28:03,9,5,1,True
2023-04-09,OKC,MEM,N/A,N/A,N/A,N/A,False
