Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2020-12-26,OKC,CHO,16:20,5,2,3,False
2020-12-28,OKC,UTA,11:26,4,1,1,False
2020-12-29,OKC,ORL,9:34,0,0,1,False
2020-12-31,OKC,NOP,7:18,0,0,1,False
2021-01-02,OKC,ORL,14:35,2,0,5,False
2021-01-04,OKC,MIA,8:09,2,2,1,False
2021-01-06,OKC,NOP,12:45,2,2,2,False
2021-01-08,OKC,NYK,6:23,5,0,1,False
2021-01-10,OKC,BRK,13:02,0,0,2,False
2021-01-12,OKC,SAS,3:26,0,0,0,False
2021-01-13,OKC,LAL,14:36,9,4,5,False
2021-01-15,OKC,CHI,27:18,14,2,5,False
2021-01-19,OKC,DEN,6:08,0,0,0,False
2021-01-22,OKC,LAC,9:23,0,1,3,False
2021-01-24,OKC,LAC,13:31,7,1,4,False
2021-01-25,OKC,POR,21:34,7,2,7,False
2021-01-27,OKC,PHO,17:34,2,3,4,False
2021-01-29,OKC,BRK,5:26,0,0,0,False
2021-02-01,OKC,HOU,20:17,7,2,4,False
2021-02-03,OKC,HOU,23:08,19,2,6,False
2021-02-05,OKC,MIN,36:26,9,2,4,True
2021-02-06,OKC,MIN,30:26,10,0,9,True
2021-02-08,OKC,LAL,29:30,7,2,8,False
2021-02-10,OKC,LAL,40:15,24,2,6,True
2021-02-12,OKC,DEN,35:49,7,9,11,True
2021-02-14,OKC,MIL,33:58,10,5,4,True
2021-02-16,OKC,POR,19:42,3,1,8,True
2021-02-17,OKC,MEM,24:20,2,3,5,False
2021-02-19,OKC,MIL,18:39,4,2,5,False
2021-02-21,OKC,CLE,18:40,8,1,3,False
2021-02-22,OKC,MIA,23:35,6,1,7,False
2021-02-24,OKC,SAS,18:01,3,1,5,False
2021-02-26,OKC,ATL,25:09,15,2,2,False
2021-02-27,OKC,DEN,17:43,12,1,5,False
2021-03-03,OKC,DAL,21:17,8,1,4,False
2021-03-04,OKC,SAS,25:25,9,2,4,False
2021-03-11,OKC,DAL,17:39,4,1,3,False
2021-03-13,OKC,NYK,28:14,13,3,2,False
2021-03-14,OKC,MEM,25:35,17,3,4,False
2021-03-16,OKC,CHI,23:48,14,4,5,False
2021-03-18,OKC,ATL,23:37,10,2,6,False
2021-03-21,OKC,HOU,21:39,7,4,6,False
2021-03-22,OKC,MIN,20:42,12,3,4,False
2021-03-24,OKC,MEM,19:13,11,4,3,False
2021-03-27,OKC,BOS,29:42,12,2,1,False
2021-03-29,OKC,DAL,20:50,8,3,5,False
2021-03-31,OKC,TOR,28:04,10,1,8,True
2021-04-02,OKC,PHO,22:33,10,3,3,False
2021-04-03,OKC,POR,25:15,18,2,5,False
2021-04-05,OKC,DET,21:38,6,2,4,True
2021-04-07,OKC,CHO,34:22,6,9,9,True
2021-04-08,OKC,CLE,30:59,12,9,7,True
2021-04-10,OKC,PHI,20:38,4,1,1,False
2021-04-13,OKC,UTA,21:15,6,2,4,False
2021-04-14,OKC,GSW,22:56,4,3,2,False
2021-04-16,OKC,DET,25:34,0,4,6,False
2021-04-18,OKC,TOR,21:17,12,2,2,False
2021-04-19,OKC,WAS,35:09,15,3,7,True
2021-04-21,OKC,IND,27:35,15,2,7,False
2021-04-23,OKC,WAS,24:57,6,1,3,False
2021-04-26,OKC,PHI,26:04,8,4,4,True
2021-04-27,OKC,BOS,23:35,8,1,4,False
2021-04-29,OKC,NOP,N/A,N/A,N/A,N/A,False
2021-05-01,OKC,IND,19:09,8,4,1,False
2021-05-02,OKC,PHO,29:46,15,2,5,False
2021-05-04,OKC,SAC,N/A,N/A,N/A,N/A,False
2021-05-06,OKC,GSW,N/A,N/A,N/A,N/A,False
2021-05-08,OKC,GSW,20:25,13,5,5,False
2021-05-09,OKC,SAC,N/A,N/A,N/A,N/A,False
2021-05-11,OKC,SAC,32:57,20,4,2,True
2021-05-14,OKC,UTA,N/A,N/A,N/A,N/A,False
2021-05-16,OKC,LAC,N/A,N/A,N/A,N/A,False
