Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2023-10-25,POR,LAC,23:13,10,0,7,False
2023-10-27,POR,ORL,20:00,6,2,3,False
2023-10-29,POR,PHI,25:42,6,2,7,False
2023-10-30,POR,TOR,N/A,N/A,N/A,N/A,False
2023-11-01,POR,DET,18:56,6,1,8,False
2023-11-03,POR,MEM,19:45,8,0,10,False
2023-11-05,POR,MEM,11:09,5,0,3,False
2023-11-08,POR,SAC,N/A,N/A,N/A,N/A,False
2023-11-12,POR,LAL,N/A,N/A,N/A,N/A,False
2023-11-14,POR,UTA,N/A,N/A,N/A,N/A,False
2023-11-15,POR,CLE,N/A,N/A,N/A,N/A,False
2023-11-17,POR,LAL,N/A,N/A,N/A,N/A,False
2023-11-19,POR,OKC,N/A,N/A,N/A,N/A,False
2023-11-21,POR,PHO,N/A,N/A,N/A,N/A,False
2023-11-22,POR,UTA,N/A,N/A,N/A,N/A,False
2023-11-26,POR,MIL,N/A,N/A,N/A,N/A,False
2023-11-27,POR,IND,N/A,N/A,N/A,N/A,False
2023-11-30,POR,CLE,N/A,N/A,N/A,N/A,False
2023-12-02,POR,UTA,N/A,N/A,N/A,N/A,False
2023-12-06,POR,GSW,N/A,N/A,N/A,N/A,False
2023-12-08,POR,DAL,N/A,N/A,N/A,N/A,False
2023-12-11,POR,LAC,N/A,N/A,N/A,N/A,False
2023-12-14,POR,UTA,N/A,N/A,N/A,N/A,False
2023-12-16,POR,DAL,N/A,N/A,N/A,N/A,False
2023-12-17,POR,GSW,N/A,N/A,N/A,N/A,False
2023-12-19,POR,PHO,N/A,N/A,N/A,N/A,False
2023-12-21,POR,WAS,N/A,N/A,N/A,N/A,False
2023-12-23,POR,GSW,N/A,N/A,N/A,N/A,False
2023-12-26,POR,SAC,N/A,N/A,N/A,N/A,False
2023-12-28,POR,SAS,N/A,N/A,N/A,N/A,False
2023-12-29,POR,SAS,N/A,N/A,N/A,N/A,False
2024-01-01,POR,PHO,N/A,N/A,N/A,N/A,False
2024-01-03,POR,DAL,N/A,N/A,N/A,N/A,False
2024-01-05,POR,DAL,N/A,N/A,N/A,N/A,False
2024-01-07,POR,BRK,N/A,N/A,N/A,N/A,False
2024-01-09,POR,NYK,N/A,N/A,N/A,N/A,False
2024-01-11,POR,OKC,N/A,N/A,N/A,N/A,False
2024-01-12,POR,MIN,N/A,N/A,N/A,N/A,False
2024-01-14,POR,PHO,N/A,N/A,N/A,N/A,False
2024-01-17,POR,BRK,N/A,N/A,N/A,N/A,False
2024-01-19,POR,IND,N/A,N/A,N/A,N/A,False
2024-01-21,POR,LAL,N/A,N/A,N/A,N/A,False
2024-01-23,POR,OKC,N/A,N/A,N/A,N/A,False
2024-01-24,POR,HOU,N/A,N/A,N/A,N/A,False
2024-01-26,POR,SAS,N/A,N/A,N/A,N/A,False
2024-01-28,POR,CHI,N/A,N/A,N/A,N/A,False
2024-01-29,POR,PHI,N/A,N/A,N/A,N/A,False
2024-01-31,POR,MIL,N/A,N/A,N/A,N/A,False
2024-02-02,POR,DEN,N/A,N/A,N/A,N/A,False
2024-02-04,POR,DEN,N/A,N/A,N/A,N/A,False
2024-02-08,POR,DET,N/A,N/A,N/A,N/A,False
2024-02-10,POR,NOP,N/A,N/A,N/A,N/A,False
2024-02-13,POR,MIN,N/A,N/A,N/A,N/A,False
2024-02-15,POR,MIN,N/A,N/A,N/A,N/A,False
2024-02-23,POR,DEN,N/A,N/A,N/A,N/A,False
2024-02-25,POR,CHO,N/A,N/A,N/A,N/A,False
2024-02-27,POR,MIA,N/A,N/A,N/A,N/A,False
2024-03-01,POR,MEM,N/A,N/A,N/A,N/A,False
2024-03-02,POR,MEM,N/A,N/A,N/A,N/A,False
2024-03-04,POR,MIN,N/A,N/A,N/A,N/A,False
2024-03-06,POR,OKC,N/A,N/A,N/A,N/A,False
2024-03-08,POR,HOU,N/A,N/A,N/A,N/A,False
2024-03-09,POR,TOR,N/A,N/A,N/A,N/A,False
2024-03-11,POR,BOS,N/A,N/A,N/A,N/A,False
2024-03-13,POR,ATL,N/A,N/A,N/A,N/A,False
2024-03-14,POR,NYK,N/A,N/A,N/A,N/A,False
2024-03-16,POR,NOP,N/A,N/A,N/A,N/A,False
2024-03-18,POR,CHI,N/A,N/A,N/A,N/A,False
2024-03-20,POR,LAC,N/A,N/A,N/A,N/A,False
2024-03-22,POR,LAC,N/A,N/A,N/A,N/A,False
2024-03-23,POR,DEN,N/A,N/A,N/A,N/A,False
2024-03-25,POR,HOU,N/A,N/A,N/A,N/A,False
2024-03-27,POR,ATL,N/A,N/A,N/A,N/A,False
2024-03-29,POR,MIA,N/A,N/A,N/A,N/A,False
2024-04-01,POR,ORL,N/A,N/A,N/A,N/A,False
2024-04-03,POR,CHO,N/A,N/A,N/A,N/A,False
2024-04-05,POR,WAS,N/A,N/A,N/A,N/A,False
2024-04-07,POR,BOS,N/A,N/A,N/A,N/A,False
2024-04-09,POR,NOP,N/A,N/A,N/A,N/A,False
2024-04-11,POR,GSW,N/A,N/A,N/A,N/A,False
2024-04-12,POR,HOU,N/A,N/A,N/A,N/A,False
2024-04-14,POR,SAC,N/A,N/A,N/A,N/A,False
