Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2020-12-26,HOU,POR,43:37,31,3,13,True
2020-12-28,HOU,DEN,36:49,23,1,3,True
2020-12-31,HOU,SAC,31:52,21,3,12,True
2021-01-02,HOU,SAC,33:23,20,1,15,True
2021-01-04,HOU,DAL,32:44,23,0,7,True
2021-01-06,HOU,IND,N/A,N/A,N/A,N/A,False
2021-01-08,HOU,ORL,26:32,22,0,15,True
2021-01-10,HOU,LAL,31:49,23,1,3,True
2021-01-12,HOU,LAL,25:54,18,1,8,True
2021-01-14,HOU,SAS,34:51,27,1,15,True
2021-01-16,HOU,SAS,40:46,24,3,18,True
2021-01-18,HOU,CHI,30:41,30,1,9,True
2021-01-20,HOU,PHO,33:51,20,2,11,True
2021-01-22,HOU,DET,N/A,N/A,N/A,N/A,False
2021-01-23,HOU,DAL,N/A,N/A,N/A,N/A,False
2021-01-26,HOU,WAS,N/A,N/A,N/A,N/A,False
2021-01-28,HOU,POR,32:10,22,0,12,True
2021-01-30,HOU,NOP,27:02,27,0,9,True
2021-02-01,HOU,OKC,26:02,18,1,11,True
2021-02-03,HOU,OKC,22:08,8,3,6,True
2021-02-04,HOU,MEM,20:11,17,1,7,True
2021-02-06,HOU,SAS,N/A,N/A,N/A,N/A,False
2021-02-08,HOU,CHO,N/A,N/A,N/A,N/A,False
2021-02-09,HOU,NOP,N/A,N/A,N/A,N/A,False
2021-02-11,HOU,MIA,N/A,N/A,N/A,N/A,False
2021-02-13,HOU,NYK,N/A,N/A,N/A,N/A,False
2021-02-15,HOU,WAS,N/A,N/A,N/A,N/A,False
2021-02-17,HOU,PHI,N/A,N/A,N/A,N/A,False
2021-02-22,HOU,CHI,N/A,N/A,N/A,N/A,False
2021-02-24,HOU,CLE,N/A,N/A,N/A,N/A,False
2021-02-26,HOU,TOR,N/A,N/A,N/A,N/A,False
2021-02-28,HOU,MEM,N/A,N/A,N/A,N/A,False
2021-03-01,HOU,CLE,N/A,N/A,N/A,N/A,False
2021-03-03,HOU,BRK,N/A,N/A,N/A,N/A,False
2021-03-11,HOU,SAC,N/A,N/A,N/A,N/A,False
2021-03-12,HOU,UTA,N/A,N/A,N/A,N/A,False
2021-03-14,HOU,BOS,N/A,N/A,N/A,N/A,False
2021-03-16,HOU,ATL,N/A,N/A,N/A,N/A,False
2021-03-17,HOU,GSW,26:18,21,2,9,True
2021-03-19,HOU,DET,27:36,18,2,11,True
2021-03-21,HOU,OKC,36:06,27,2,8,True
2021-03-22,HOU,TOR,28:16,19,1,4,True
2021-03-24,HOU,CHO,29:16,11,0,10,True
2021-03-26,HOU,MIN,36:03,24,1,9,True
2021-03-27,HOU,MIN,N/A,N/A,N/A,N/A,False
2021-03-29,HOU,MEM,N/A,N/A,N/A,N/A,False
2021-03-31,HOU,BRK,35:02,14,3,8,True
2021-04-02,HOU,BOS,32:13,19,3,10,True
2021-04-04,HOU,NOP,33:22,15,3,12,True
2021-04-05,HOU,PHO,33:25,23,0,3,True
2021-04-07,HOU,DAL,36:50,22,1,10,True
2021-04-09,HOU,LAC,30:37,23,2,3,True
2021-04-10,HOU,GSW,35:06,18,3,7,True
2021-04-12,HOU,PHO,34:28,25,3,15,True
2021-04-14,HOU,IND,36:40,25,2,13,True
2021-04-16,HOU,DEN,24:21,15,1,3,True
2021-04-18,HOU,ORL,39:44,25,3,10,True
2021-04-19,HOU,MIA,31:50,18,0,7,True
2021-04-21,HOU,UTA,30:08,16,0,8,True
2021-04-23,HOU,LAC,37:00,24,2,19,True
2021-04-24,HOU,DEN,N/A,N/A,N/A,N/A,False
2021-04-27,HOU,MIN,37:54,24,5,18,True
2021-04-29,HOU,MIL,39:28,31,4,9,True
2021-05-01,HOU,GSW,28:39,10,3,7,True
2021-05-02,HOU,NYK,35:13,19,3,8,True
2021-05-05,HOU,PHI,N/A,N/A,N/A,N/A,False
2021-05-07,HOU,MIL,N/A,N/A,N/A,N/A,False
2021-05-08,HOU,UTA,N/A,N/A,N/A,N/A,False
2021-05-10,HOU,POR,N/A,N/A,N/A,N/A,False
2021-05-12,HOU,LAL,N/A,N/A,N/A,N/A,False
2021-05-14,HOU,LAC,N/A,N/A,N/A,N/A,False
2021-05-16,HOU,ATL,N/A,N/A,N/A,N/A,False
