Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2018-10-17,ATL,NYK,33:08,14,5,6,True
2018-10-19,ATL,MEM,33:05,20,9,2,True
2018-10-21,ATL,CLE,37:40,35,11,2,True
2018-10-24,ATL,DAL,25:35,17,5,4,True
2018-10-27,ATL,CHI,30:26,13,4,3,True
2018-10-29,ATL,PHI,29:13,11,8,2,True
2018-10-30,ATL,CLE,31:23,24,4,1,True
2018-11-01,ATL,SAC,27:02,14,10,3,True
2018-11-03,ATL,MIA,31:26,24,15,6,True
2018-11-06,ATL,CHO,29:49,18,10,3,True
2018-11-07,ATL,NYK,30:38,15,8,5,True
2018-11-09,ATL,DET,23:13,16,5,4,True
2018-11-11,ATL,LAL,35:08,20,12,2,True
2018-11-13,ATL,GSW,27:30,4,9,5,True
2018-11-15,ATL,DEN,26:36,6,5,2,True
2018-11-17,ATL,IND,23:43,9,4,1,True
2018-11-19,ATL,LAC,36:58,25,17,3,True
2018-11-21,ATL,TOR,22:17,6,5,1,True
2018-11-23,ATL,BOS,19:26,5,2,0,True
2018-11-25,ATL,CHO,29:48,18,5,2,True
2018-11-27,ATL,MIA,31:20,17,10,5,True
2018-11-28,ATL,CHO,28:27,18,4,3,True
2018-11-30,ATL,OKC,28:29,9,8,4,True
2018-12-03,ATL,GSW,25:22,20,3,0,True
2018-12-05,ATL,WAS,33:07,14,5,2,True
2018-12-08,ATL,DEN,32:10,9,4,2,True
2018-12-12,ATL,DAL,35:13,24,10,0,True
2018-12-14,ATL,BOS,22:37,9,3,3,True
2018-12-16,ATL,BRK,29:04,13,10,2,True
2018-12-18,ATL,WAS,26:26,19,4,3,True
2018-12-21,ATL,NYK,28:09,15,10,3,True
2018-12-23,ATL,DET,30:58,12,6,7,True
2018-12-26,ATL,IND,27:51,17,9,2,True
2018-12-28,ATL,MIN,30:15,16,11,4,True
2018-12-29,ATL,CLE,33:42,21,9,3,True
2018-12-31,ATL,IND,29:56,16,7,4,True
2019-01-02,ATL,WAS,27:38,5,9,3,True
2019-01-04,ATL,MIL,31:31,13,10,2,True
2019-01-06,ATL,MIA,30:22,19,2,2,True
2019-01-08,ATL,TOR,30:09,19,4,5,True
2019-01-09,ATL,BRK,28:59,17,7,2,True
2019-01-11,ATL,PHI,32:22,18,5,4,True
2019-01-13,ATL,MIL,33:36,26,4,10,True
2019-01-15,ATL,OKC,32:38,24,11,6,True
2019-01-19,ATL,BOS,33:57,16,7,1,True
2019-01-21,ATL,ORL,29:14,21,6,3,True
2019-01-23,ATL,CHI,32:45,5,12,7,True
2019-01-26,ATL,POR,31:58,30,8,2,True
2019-01-28,ATL,LAC,31:11,26,8,4,True
2019-01-30,ATL,SAC,28:50,23,8,1,True
2019-02-01,ATL,UTA,37:11,28,9,3,True
2019-02-02,ATL,PHO,34:20,27,8,7,True
2019-02-04,ATL,WAS,26:53,10,10,4,True
2019-02-07,ATL,TOR,28:40,19,5,5,True
2019-02-09,ATL,CHO,28:12,20,11,1,True
2019-02-10,ATL,ORL,26:05,13,7,5,True
2019-02-12,ATL,LAL,38:02,22,14,6,True
2019-02-14,ATL,NYK,31:06,16,11,6,True
2019-02-22,ATL,DET,36:41,30,10,3,True
2019-02-23,ATL,PHO,33:37,23,8,2,True
2019-02-25,ATL,HOU,40:41,36,8,1,True
2019-02-27,ATL,MIN,43:17,36,10,8,True
2019-03-01,ATL,CHI,55:50,49,16,8,True
2019-03-03,ATL,CHI,18:03,18,5,2,True
2019-03-04,ATL,MIA,29:35,14,8,3,True
2019-03-06,ATL,SAS,32:17,22,4,6,True
2019-03-09,ATL,BRK,28:39,23,11,10,True
2019-03-10,ATL,NOP,31:06,10,10,5,True
2019-03-13,ATL,MEM,24:49,22,8,3,True
2019-03-16,ATL,BOS,31:16,26,4,4,True
2019-03-17,ATL,ORL,32:03,20,5,6,True
2019-03-19,ATL,HOU,33:33,21,12,4,True
2019-03-21,ATL,UTA,34:15,23,11,2,True
2019-03-23,ATL,PHI,32:44,32,11,6,True
2019-03-26,ATL,NOP,31:10,33,12,1,True
2019-03-29,ATL,POR,31:39,26,7,9,True
2019-03-31,ATL,MIL,35:27,12,16,5,True
2019-04-02,ATL,SAS,29:56,15,6,1,True
2019-04-03,ATL,PHI,32:49,33,12,7,True
2019-04-05,ATL,ORL,27:20,22,6,7,True
2019-04-07,ATL,MIL,N/A,N/A,N/A,N/A,False
2019-04-10,ATL,IND,33:42,23,11,5,True
