Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2019-10-23,CHO,CHI,35:06,15,1,12,True
2019-10-25,CHO,MIN,N/A,N/A,N/A,N/A,False
2019-10-27,CHO,LAL,28:40,19,1,14,True
2019-10-28,CHO,LAC,26:52,14,1,13,True
2019-10-30,CHO,SAC,34:53,12,5,15,True
2019-11-02,CHO,GSW,19:39,10,0,8,True
2019-11-05,CHO,IND,17:03,7,1,1,True
2019-11-07,CHO,BOS,19:02,5,1,10,True
2019-11-09,CHO,NOP,27:52,10,2,8,True
2019-11-10,CHO,PHI,26:58,24,0,7,True
2019-11-13,CHO,MEM,33:34,16,2,8,True
2019-11-15,CHO,DET,28:00,10,1,7,True
2019-11-16,CHO,NYK,25:24,7,1,6,True
2019-11-18,CHO,TOR,15:39,8,0,5,True
2019-11-20,CHO,BRK,15:17,5,2,7,True
2019-11-22,CHO,WAS,21:54,4,1,6,True
2019-11-23,CHO,CHI,24:47,14,2,9,True
2019-11-25,CHO,MIA,16:46,10,1,2,True
2019-11-27,CHO,DET,N/A,N/A,N/A,N/A,False
2019-11-29,CHO,DET,N/A,N/A,N/A,N/A,False
2019-11-30,CHO,MIL,19:58,11,0,5,False
2019-12-02,CHO,PHO,18:25,11,1,8,False
2019-12-04,CHO,GSW,17:38,8,0,5,False
2019-12-06,CHO,BRK,22:54,17,2,6,False
2019-12-08,CHO,ATL,20:58,11,2,6,False
2019-12-10,CHO,WAS,22:23,14,0,10,False
2019-12-11,CHO,BRK,20:07,10,1,6,False
2019-12-13,CHO,CHI,23:59,11,2,10,False
2019-12-15,CHO,IND,29:18,19,2,12,True
2019-12-17,CHO,SAC,31:25,17,4,9,True
2019-12-18,CHO,CLE,31:03,15,1,9,True
2019-12-21,CHO,UTA,23:02,13,1,8,False
2019-12-22,CHO,BOS,16:47,6,0,1,False
2019-12-27,CHO,OKC,23:49,8,1,8,False
2019-12-29,CHO,MEM,19:12,14,1,3,False
2019-12-31,CHO,BOS,17:44,10,1,4,False
2020-01-02,CHO,CLE,19:46,11,2,7,False
2020-01-04,CHO,DAL,14:37,10,0,5,False
2020-01-06,CHO,IND,23:26,14,0,4,False
2020-01-08,CHO,TOR,20:51,14,2,8,False
2020-01-10,CHO,UTA,16:00,6,0,1,False
2020-01-12,CHO,PHO,29:37,15,5,8,False
2020-01-13,CHO,POR,22:54,6,0,5,True
2020-01-15,CHO,DEN,21:31,11,1,1,True
2020-01-20,CHO,ORL,22:43,4,1,9,True
2020-01-24,CHO,MIL,20:15,8,0,2,True
2020-01-28,CHO,NYK,28:51,10,0,10,True
2020-01-30,CHO,WAS,24:19,9,7,7,True
2020-02-01,CHO,SAS,29:58,14,8,12,True
2020-02-03,CHO,ORL,26:37,17,2,7,True
2020-02-04,CHO,HOU,13:05,3,2,3,True
2020-02-08,CHO,DAL,21:02,5,0,8,True
2020-02-10,CHO,DET,22:16,6,2,10,True
2020-02-12,CHO,MIN,N/A,N/A,N/A,N/A,False
2020-02-20,CHO,CHI,25:02,16,2,8,True
2020-02-22,CHO,BRK,21:29,14,0,9,True
2020-02-25,CHO,IND,23:32,9,2,4,True
2020-02-26,CHO,NYK,N/A,N/A,N/A,N/A,False
2020-02-28,CHO,TOR,N/A,N/A,N/A,N/A,False
2020-03-01,CHO,MIL,N/A,N/A,N/A,N/A,False
2020-03-03,CHO,SAS,19:17,8,3,6,True
2020-03-05,CHO,DEN,24:34,10,2,6,True
2020-03-07,CHO,HOU,27:33,13,1,5,True
2020-03-09,CHO,ATL,22:49,10,2,7,True
2020-03-11,CHO,MIA,22:29,14,3,11,True
