Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2022-10-20,LAC,LAL,35:22,14,1,17,True
2022-10-22,LAC,SAC,24:10,10,1,8,True
2022-10-23,LAC,PHO,21:20,2,2,8,True
2022-10-25,LAC,OKC,34:42,10,2,14,True
2022-10-27,LAC,OKC,34:21,12,2,18,True
2022-10-30,LAC,NOP,23:26,4,1,6,True
2022-10-31,LAC,HOU,31:40,16,0,12,True
2022-11-02,LAC,HOU,24:45,5,2,6,True
2022-11-04,LAC,SAS,36:05,17,2,15,True
2022-11-06,LAC,UTA,34:47,12,2,9,True
2022-11-07,LAC,CLE,33:02,10,0,9,True
2022-11-09,LAC,LAL,36:13,10,2,8,True
2022-11-12,LAC,BRK,27:42,16,0,15,True
2022-11-14,LAC,HOU,26:26,9,1,7,True
2022-11-15,LAC,DAL,32:38,3,4,7,True
2022-11-17,LAC,DET,39:32,9,1,18,True
2022-11-19,LAC,SAS,23:59,3,1,11,True
2022-11-21,LAC,UTA,35:14,14,2,14,True
2022-11-23,LAC,GSW,25:57,8,1,4,True
2022-11-25,LAC,DEN,29:21,6,0,9,True
2022-11-27,LAC,IND,35:40,31,3,29,True
2022-11-29,LAC,POR,27:51,12,0,13,True
2022-11-30,LAC,UTA,30:25,12,0,7,True
2022-12-03,LAC,SAC,27:05,13,1,15,True
2022-12-05,LAC,CHO,29:13,9,0,8,True
2022-12-07,LAC,ORL,37:08,16,1,13,True
2022-12-08,LAC,MIA,33:45,9,0,8,True
2022-12-10,LAC,WAS,19:57,4,0,5,True
2022-12-12,LAC,BOS,17:06,4,1,3,True
2022-12-14,LAC,MIN,17:15,2,0,8,True
2022-12-15,LAC,PHO,N/A,N/A,N/A,N/A,False
2022-12-17,LAC,WAS,N/A,N/A,N/A,N/A,False
2022-12-21,LAC,CHO,22:36,4,1,8,True
2022-12-23,LAC,PHI,33:33,7,2,12,True
2022-12-26,LAC,DET,41:02,12,1,15,True
2022-12-27,LAC,TOR,31:16,23,1,16,True
2022-12-29,LAC,BOS,29:58,13,0,11,True
2022-12-31,LAC,IND,26:55,6,0,7,True
2023-01-02,LAC,MIA,34:08,10,0,7,True
2023-01-05,LAC,DEN,15:32,8,0,5,True
2023-01-06,LAC,MIN,21:06,9,1,2,True
2023-01-08,LAC,ATL,37:39,17,3,18,True
2023-01-10,LAC,DAL,15:40,8,2,7,True
2023-01-13,LAC,DEN,27:57,6,1,7,True
2023-01-15,LAC,HOU,29:46,10,0,5,True
2023-01-17,LAC,PHI,35:02,12,1,9,True
2023-01-18,LAC,UTA,26:00,15,1,12,True
2023-01-20,LAC,SAS,35:32,12,1,16,True
2023-01-22,LAC,DAL,22:54,6,1,9,True
2023-01-24,LAC,LAL,34:27,6,0,8,True
2023-01-26,LAC,SAS,20:55,11,0,5,True
2023-01-28,LAC,ATL,36:35,18,3,6,True
2023-01-29,LAC,CLE,21:50,2,0,7,True
2023-01-31,LAC,CHI,28:00,14,1,12,True
2023-02-02,LAC,MIL,29:14,12,1,13,True
2023-02-04,LAC,NYK,39:32,2,1,13,True
2023-02-06,LAC,BRK,30:00,19,2,12,True
2023-02-08,LAC,DAL,28:41,9,0,10,True
2023-02-10,LAC,MIL,34:06,6,1,8,True
2023-02-14,LAC,GSW,28:10,10,3,2,True
2023-02-16,LAC,PHO,29:20,13,1,12,True
2023-02-24,LAC,SAC,N/A,N/A,N/A,N/A,False
2023-02-26,LAC,DEN,N/A,N/A,N/A,N/A,False
2023-02-28,LAC,MIN,28:27,12,1,9,True
2023-03-02,LAC,GSW,N/A,N/A,N/A,N/A,False
2023-03-03,LAC,SAC,N/A,N/A,N/A,N/A,False
2023-03-05,LAC,MEM,17:34,6,2,9,True
2023-03-08,LAC,TOR,27:21,17,1,8,True
2023-03-11,LAC,NYK,27:20,8,0,6,True
2023-03-15,LAC,GSW,30:26,19,2,16,True
2023-03-18,LAC,ORL,27:14,16,0,16,True
2023-03-19,LAC,POR,33:53,14,2,10,True
2023-03-21,LAC,OKC,19:18,13,1,3,True
2023-03-23,LAC,OKC,23:45,6,1,10,True
2023-03-25,LAC,NOP,17:30,13,2,5,True
2023-03-27,LAC,CHI,24:27,11,1,7,True
2023-03-29,LAC,MEM,22:54,10,0,7,True
2023-03-31,LAC,MEM,25:38,15,0,15,True
2023-04-01,LAC,NOP,29:35,15,0,6,True
2023-04-05,LAC,LAL,33:00,17,1,13,True
2023-04-08,LAC,POR,22:34,14,1,10,True
2023-04-09,LAC,PHO,25:02,10,0,8,True
