Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2021-10-19,MIL,BRK,29:58,20,2,3,False
2021-10-21,MIL,MIA,27:14,6,4,4,True
2021-10-23,MIL,SAS,36:57,16,0,7,True
2021-10-25,MIL,IND,31:55,13,2,7,False
2021-10-27,MIL,MIN,30:29,6,0,2,True
2021-10-30,MIL,SAS,28:33,6,3,10,False
2021-10-31,MIL,UTA,28:40,5,1,5,True
2021-11-02,MIL,DET,25:28,16,2,3,True
2021-11-05,MIL,NYK,27:38,5,1,2,True
2021-11-07,MIL,WAS,28:41,7,1,5,False
2021-11-09,MIL,PHI,24:01,8,1,3,False
2021-11-10,MIL,NYK,31:19,23,5,9,False
2021-11-12,MIL,BOS,34:51,15,1,5,True
2021-11-14,MIL,ATL,31:51,11,3,5,True
2021-11-17,MIL,LAL,31:38,16,0,4,False
2021-11-19,MIL,OKC,29:57,9,1,7,False
2021-11-20,MIL,ORL,24:13,11,0,3,False
2021-11-22,MIL,ORL,22:26,17,2,6,False
2021-11-24,MIL,DET,23:47,11,1,7,False
2021-11-26,MIL,DEN,27:08,20,0,4,False
2021-11-28,MIL,IND,29:28,14,2,7,False
2021-12-01,MIL,CHO,26:32,11,3,2,False
2021-12-02,MIL,TOR,30:44,7,0,3,True
2021-12-04,MIL,MIA,28:41,23,1,4,True
2021-12-06,MIL,CLE,28:24,12,0,4,False
2021-12-08,MIL,MIA,31:10,6,0,2,False
2021-12-10,MIL,HOU,31:19,16,0,6,False
2021-12-12,MIL,NYK,23:53,10,0,1,False
2021-12-13,MIL,BOS,30:25,15,2,9,False
2021-12-15,MIL,IND,30:51,20,0,2,True
2021-12-17,MIL,NOP,41:21,9,4,8,True
2021-12-18,MIL,CLE,19:23,3,2,2,False
2021-12-22,MIL,HOU,30:50,9,1,4,True
2021-12-23,MIL,DAL,30:11,9,2,8,True
2021-12-25,MIL,BOS,17:41,3,1,3,False
2021-12-28,MIL,ORL,21:52,10,1,5,False
2021-12-30,MIL,ORL,21:32,2,2,2,False
2022-01-01,MIL,NOP,28:45,9,3,6,True
2022-01-03,MIL,DET,22:06,3,1,3,False
2022-01-05,MIL,TOR,N/A,N/A,N/A,N/A,False
2022-01-07,MIL,BRK,N/A,N/A,N/A,N/A,False
2022-01-08,MIL,CHO,N/A,N/A,N/A,N/A,False
2022-01-10,MIL,CHO,23:14,0,0,2,False
2022-01-13,MIL,GSW,16:20,3,3,5,False
2022-01-15,MIL,TOR,20:01,5,0,3,False
2022-01-17,MIL,ATL,26:48,14,2,6,False
2022-01-19,MIL,MEM,25:44,13,1,4,False
2022-01-21,MIL,CHI,26:52,2,2,2,False
2022-01-22,MIL,SAC,29:14,15,1,5,True
2022-01-26,MIL,CLE,32:18,11,1,5,True
2022-01-28,MIL,NYK,24:13,5,1,5,False
2022-01-30,MIL,DEN,19:53,5,0,0,False
2022-02-01,MIL,WAS,24:43,6,0,2,False
2022-02-05,MIL,POR,17:24,3,0,6,False
2022-02-06,MIL,LAC,28:26,18,0,5,True
2022-02-08,MIL,LAL,23:42,8,0,2,False
2022-02-10,MIL,PHO,16:38,3,0,2,False
2022-02-14,MIL,POR,N/A,N/A,N/A,N/A,False
2022-02-15,MIL,IND,N/A,N/A,N/A,N/A,False
2022-02-17,MIL,PHI,N/A,N/A,N/A,N/A,False
2022-02-26,MIL,BRK,N/A,N/A,N/A,N/A,False
2022-02-28,MIL,CHO,N/A,N/A,N/A,N/A,False
2022-03-02,MIL,MIA,N/A,N/A,N/A,N/A,False
2022-03-04,MIL,CHI,N/A,N/A,N/A,N/A,False
2022-03-06,MIL,PHO,N/A,N/A,N/A,N/A,False
2022-03-08,MIL,OKC,N/A,N/A,N/A,N/A,False
2022-03-09,MIL,ATL,N/A,N/A,N/A,N/A,False
2022-03-12,MIL,GSW,N/A,N/A,N/A,N/A,False
2022-03-14,MIL,UTA,N/A,N/A,N/A,N/A,False
2022-03-16,MIL,SAC,N/A,N/A,N/A,N/A,False
2022-03-19,MIL,MIN,20:19,15,2,3,False
2022-03-22,MIL,CHI,23:02,14,3,5,False
2022-03-24,MIL,WAS,22:35,16,0,5,False
2022-03-26,MIL,MEM,21:59,9,1,4,False
2022-03-29,MIL,PHI,18:15,2,0,1,False
2022-03-31,MIL,BRK,20:32,11,1,5,False
2022-04-01,MIL,LAC,22:35,5,5,1,True
2022-04-03,MIL,DAL,22:28,12,0,2,False
2022-04-05,MIL,CHI,17:27,2,1,4,False
2022-04-07,MIL,BOS,20:38,6,1,3,False
2022-04-08,MIL,DET,23:32,10,2,4,False
2022-04-10,MIL,CLE,N/A,N/A,N/A,N/A,False
