Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2023-10-26,PHI,MIL,N/A,N/A,N/A,N/A,False
2023-10-28,PHI,TOR,N/A,N/A,N/A,N/A,False
2023-10-29,PHI,POR,N/A,N/A,N/A,N/A,False
2023-11-02,PHI,TOR,N/A,N/A,N/A,N/A,False
2023-11-04,PHI,PHO,N/A,N/A,N/A,N/A,False
2023-11-06,PHI,WAS,N/A,N/A,N/A,N/A,False
2023-11-08,PHI,BOS,N/A,N/A,N/A,N/A,False
2023-11-10,PHI,DET,N/A,N/A,N/A,N/A,False
2023-11-12,PHI,IND,N/A,N/A,N/A,N/A,False
2023-11-14,PHI,IND,N/A,N/A,N/A,N/A,False
2023-11-15,PHI,BOS,N/A,N/A,N/A,N/A,False
2023-11-17,PHI,ATL,N/A,N/A,N/A,N/A,False
2023-11-19,PHI,BRK,N/A,N/A,N/A,N/A,False
2023-11-21,PHI,CLE,N/A,N/A,N/A,N/A,False
2023-11-22,PHI,MIN,N/A,N/A,N/A,N/A,False
2023-11-25,PHI,OKC,N/A,N/A,N/A,N/A,False
2023-11-27,PHI,LAL,N/A,N/A,N/A,N/A,False
2023-11-29,PHI,NOP,N/A,N/A,N/A,N/A,False
2023-12-01,PHI,BOS,N/A,N/A,N/A,N/A,False
2023-12-06,PHI,WAS,N/A,N/A,N/A,N/A,False
2023-12-08,PHI,ATL,N/A,N/A,N/A,N/A,False
2023-12-11,PHI,WAS,N/A,N/A,N/A,N/A,False
2023-12-13,PHI,DET,N/A,N/A,N/A,N/A,False
2023-12-15,PHI,DET,N/A,N/A,N/A,N/A,False
2023-12-16,PHI,CHO,N/A,N/A,N/A,N/A,False
2023-12-18,PHI,CHI,N/A,N/A,N/A,N/A,False
2023-12-20,PHI,MIN,N/A,N/A,N/A,N/A,False
2023-12-22,PHI,TOR,N/A,N/A,N/A,N/A,False
2023-12-25,PHI,MIA,N/A,N/A,N/A,N/A,False
2023-12-27,PHI,ORL,N/A,N/A,N/A,N/A,False
2023-12-29,PHI,HOU,N/A,N/A,N/A,N/A,False
2023-12-30,PHI,CHI,N/A,N/A,N/A,N/A,False
2024-01-02,PHI,CHI,6:01,0,0,0,False
2024-01-05,PHI,NYK,N/A,N/A,N/A,N/A,False
2024-01-06,PHI,UTA,N/A,N/A,N/A,N/A,False
2024-01-10,PHI,ATL,N/A,N/A,N/A,N/A,False
2024-01-12,PHI,SAC,N/A,N/A,N/A,N/A,False
2024-01-15,PHI,HOU,N/A,N/A,N/A,N/A,False
2024-01-16,PHI,DEN,N/A,N/A,N/A,N/A,False
2024-01-19,PHI,ORL,1:49,1,0,0,False
2024-01-20,PHI,CHO,0:18,0,0,0,False
2024-01-22,PHI,SAS,1:04,0,0,0,False
2024-01-25,PHI,IND,12:00,11,0,1,False
2024-01-27,PHI,DEN,N/A,N/A,N/A,N/A,False
2024-01-29,PHI,POR,9:06,8,0,2,False
2024-01-30,PHI,GSW,1:32,2,0,0,False
2024-02-01,PHI,UTA,N/A,N/A,N/A,N/A,False
2024-02-03,PHI,BRK,11:46,5,1,5,False
2024-02-05,PHI,DAL,5:41,7,0,0,False
2024-02-07,PHI,GSW,10:02,17,0,0,False
2024-02-09,PHI,ATL,6:35,4,0,2,False
2024-02-10,PHI,WAS,29:11,19,1,10,False
2024-02-12,PHI,CLE,20:38,8,0,5,False
2024-02-14,PHI,MIA,22:40,13,2,4,False
2024-02-22,PHI,NYK,4:09,0,1,2,False
2024-02-23,PHI,CLE,6:21,3,0,1,False
2024-02-25,PHI,MIL,6:44,2,1,1,False
2024-02-27,PHI,BOS,19:05,16,1,4,False
2024-03-01,PHI,CHO,5:25,3,0,1,False
2024-03-03,PHI,DAL,N/A,N/A,N/A,N/A,False
2024-03-05,PHI,BRK,N/A,N/A,N/A,N/A,False
2024-03-06,PHI,MEM,8:59,1,0,1,False
2024-03-08,PHI,NOP,6:21,2,0,0,False
2024-03-10,PHI,NYK,N/A,N/A,N/A,N/A,False
2024-03-12,PHI,NYK,6:29,4,0,0,False
2024-03-14,PHI,MIL,N/A,N/A,N/A,N/A,False
2024-03-16,PHI,CHO,N/A,N/A,N/A,N/A,False
2024-03-18,PHI,MIA,N/A,N/A,N/A,N/A,False
2024-03-20,PHI,PHO,12:00,10,2,0,False
2024-03-22,PHI,LAL,N/A,N/A,N/A,N/A,False
2024-03-24,PHI,LAC,2:24,3,0,0,False
2024-03-25,PHI,SAC,9:00,10,1,2,False
2024-03-27,PHI,LAC,N/A,N/A,N/A,N/A,False
2024-03-29,PHI,CLE,8:59,4,1,0,False
2024-03-31,PHI,TOR,1:14,0,0,0,False
2024-04-02,PHI,OKC,N/A,N/A,N/A,N/A,False
2024-04-04,PHI,MIA,N/A,N/A,N/A,N/A,False
2024-04-06,PHI,MEM,12:00,3,1,0,False
2024-04-07,PHI,SAS,22:00,11,3,2,False
2024-04-09,PHI,DET,10:28,3,1,1,False
2024-04-12,PHI,ORL,1:03,0,0,0,False
2024-04-14,PHI,BRK,7:34,3,0,2,False
