Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2022-10-20,LAC,LAL,14:29,2,2,4,False
2022-10-22,LAC,SAC,22:04,8,2,7,False
2022-10-23,LAC,PHO,14:15,3,0,4,False
2022-10-25,LAC,OKC,20:53,10,2,4,False
2022-10-27,LAC,OKC,15:00,3,1,4,False
2022-10-30,LAC,NOP,N/A,N/A,N/A,N/A,False
2022-10-31,LAC,HOU,N/A,N/A,N/A,N/A,False
2022-11-02,LAC,HOU,N/A,N/A,N/A,N/A,False
2022-11-04,LAC,SAS,N/A,N/A,N/A,N/A,False
2022-11-06,LAC,UTA,6:25,0,1,0,False
2022-11-07,LAC,CLE,7:20,3,0,0,False
2022-11-09,LAC,LAL,N/A,N/A,N/A,N/A,False
2022-11-12,LAC,BRK,N/A,N/A,N/A,N/A,False
2022-11-14,LAC,HOU,18:34,4,1,4,False
2022-11-15,LAC,DAL,5:26,3,0,2,False
2022-11-17,LAC,DET,N/A,N/A,N/A,N/A,False
2022-11-19,LAC,SAS,6:49,0,0,3,False
2022-11-21,LAC,UTA,N/A,N/A,N/A,N/A,False
2022-11-23,LAC,GSW,21:13,3,1,6,False
2022-11-25,LAC,DEN,19:48,12,2,6,False
2022-11-27,LAC,IND,N/A,N/A,N/A,N/A,False
2022-11-29,LAC,POR,17:50,15,0,4,False
2022-11-30,LAC,UTA,23:08,8,2,6,False
2022-12-03,LAC,SAC,20:45,7,4,4,False
2022-12-05,LAC,CHO,N/A,N/A,N/A,N/A,False
2022-12-07,LAC,ORL,24:43,10,2,2,False
2022-12-08,LAC,MIA,7:11,5,0,1,False
2022-12-10,LAC,WAS,N/A,N/A,N/A,N/A,False
2022-12-12,LAC,BOS,N/A,N/A,N/A,N/A,False
2022-12-14,LAC,MIN,19:15,5,2,3,False
2022-12-15,LAC,PHO,23:04,4,1,5,False
2022-12-17,LAC,WAS,N/A,N/A,N/A,N/A,False
2022-12-21,LAC,CHO,3:21,2,1,2,False
2022-12-23,LAC,PHI,N/A,N/A,N/A,N/A,False
2022-12-26,LAC,DET,N/A,N/A,N/A,N/A,False
2022-12-27,LAC,TOR,N/A,N/A,N/A,N/A,False
2022-12-29,LAC,BOS,N/A,N/A,N/A,N/A,False
2022-12-31,LAC,IND,8:45,2,0,2,False
2023-01-02,LAC,MIA,N/A,N/A,N/A,N/A,False
2023-01-05,LAC,DEN,23:04,8,2,5,False
2023-01-06,LAC,MIN,24:32,12,1,6,False
2023-01-08,LAC,ATL,N/A,N/A,N/A,N/A,False
2023-01-10,LAC,DAL,30:57,9,3,8,False
2023-01-13,LAC,DEN,15:53,8,1,5,False
2023-01-15,LAC,HOU,23:27,8,1,5,False
2023-01-17,LAC,PHI,7:00,0,1,2,False
2023-01-18,LAC,UTA,18:43,4,2,5,False
2023-01-20,LAC,SAS,6:53,0,0,2,False
2023-01-22,LAC,DAL,20:58,3,6,5,False
2023-01-24,LAC,LAL,19:08,8,1,4,False
2023-01-26,LAC,SAS,21:06,13,1,7,False
2023-01-28,LAC,ATL,N/A,N/A,N/A,N/A,False
2023-01-29,LAC,CLE,N/A,N/A,N/A,N/A,False
2023-01-31,LAC,CHI,7:33,5,0,1,False
2023-02-02,LAC,MIL,6:12,2,0,2,False
2023-02-04,LAC,NYK,N/A,N/A,N/A,N/A,False
2023-02-06,LAC,BRK,N/A,N/A,N/A,N/A,False
2023-02-08,LAC,DAL,11:44,3,1,1,False
2023-02-10,LAC,MIL,26:22,6,2,2,False
2023-02-14,LAC,GSW,N/A,N/A,N/A,N/A,False
2023-02-16,LAC,PHO,N/A,N/A,N/A,N/A,False
2023-02-24,LAC,SAC,N/A,N/A,N/A,N/A,False
2023-02-26,LAC,DEN,N/A,N/A,N/A,N/A,False
2023-02-28,LAC,MIN,N/A,N/A,N/A,N/A,False
2023-03-02,LAC,GSW,7:28,3,0,1,False
2023-03-03,LAC,SAC,30:59,15,1,4,False
2023-03-05,LAC,MEM,N/A,N/A,N/A,N/A,False
2023-03-08,LAC,TOR,N/A,N/A,N/A,N/A,False
2023-03-11,LAC,NYK,N/A,N/A,N/A,N/A,False
2023-03-15,LAC,GSW,N/A,N/A,N/A,N/A,False
2023-03-18,LAC,ORL,22:32,11,1,1,False
2023-03-19,LAC,POR,N/A,N/A,N/A,N/A,False
2023-03-21,LAC,OKC,7:22,2,0,2,False
2023-03-23,LAC,OKC,4:32,7,1,0,False
2023-03-25,LAC,NOP,16:05,11,1,2,False
2023-03-27,LAC,CHI,11:06,0,1,2,False
2023-03-29,LAC,MEM,31:46,27,2,4,False
2023-03-31,LAC,MEM,20:24,2,1,6,False
2023-04-01,LAC,NOP,15:53,4,1,2,False
2023-04-05,LAC,LAL,N/A,N/A,N/A,N/A,False
2023-04-08,LAC,POR,21:29,8,1,7,False
2023-04-09,LAC,PHO,5:07,0,1,2,False
