Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2023-10-25,HOU,ORL,29:49,10,0,1,True
2023-10-27,HOU,SAS,37:49,22,4,5,True
2023-10-29,HOU,GSW,38:05,21,1,9,True
2023-11-01,HOU,CHO,30:53,23,3,4,True
2023-11-04,HOU,SAC,35:31,10,5,2,True
2023-11-06,HOU,SAC,25:36,23,2,2,True
2023-11-08,HOU,LAL,21:28,28,3,7,True
2023-11-10,HOU,NOP,34:43,25,1,4,True
2023-11-12,HOU,DEN,34:44,9,5,8,True
2023-11-17,HOU,LAC,33:26,20,5,4,True
2023-11-19,HOU,LAL,31:27,9,3,6,True
2023-11-20,HOU,GSW,23:25,16,2,3,True
2023-11-22,HOU,MEM,29:41,34,4,2,True
2023-11-24,HOU,DEN,35:58,25,2,5,True
2023-11-28,HOU,DAL,33:30,12,5,3,True
2023-11-29,HOU,DEN,34:14,26,9,6,True
2023-12-02,HOU,LAL,32:12,10,2,7,True
2023-12-06,HOU,OKC,25:11,15,1,7,True
2023-12-08,HOU,DEN,35:09,25,1,3,True
2023-12-11,HOU,SAS,24:26,7,1,3,True
2023-12-13,HOU,MEM,23:58,8,4,4,True
2023-12-15,HOU,MEM,28:13,14,4,4,True
2023-12-17,HOU,MIL,28:50,16,7,2,True
2023-12-18,HOU,CLE,34:15,12,3,6,True
2023-12-20,HOU,ATL,32:26,16,2,4,True
2023-12-22,HOU,DAL,26:53,17,4,6,True
2023-12-23,HOU,NOP,22:29,9,2,4,True
2023-12-26,HOU,IND,19:33,5,2,1,True
2023-12-27,HOU,PHO,25:38,23,3,5,True
2023-12-29,HOU,PHI,36:27,31,4,6,True
2024-01-01,HOU,DET,27:28,22,1,5,True
2024-01-03,HOU,BRK,31:20,14,4,8,True
2024-01-05,HOU,MIN,30:42,20,2,5,True
2024-01-06,HOU,MIL,28:16,16,2,4,True
2024-01-08,HOU,MIA,31:27,11,6,5,True
2024-01-10,HOU,CHI,39:33,18,8,6,True
2024-01-12,HOU,DET,39:02,28,3,4,True
2024-01-13,HOU,BOS,20:15,10,1,3,True
2024-01-15,HOU,PHI,27:17,20,3,5,True
2024-01-17,HOU,NYK,29:12,15,1,7,True
2024-01-20,HOU,UTA,28:20,7,4,3,True
2024-01-21,HOU,BOS,32:02,16,5,4,True
2024-01-24,HOU,POR,38:49,29,3,0,True
2024-01-26,HOU,CHO,28:18,36,4,10,True
2024-01-27,HOU,BRK,33:18,19,1,10,True
2024-01-29,HOU,LAL,40:41,34,7,12,True
2024-01-31,HOU,NOP,38:14,31,4,4,True
2024-02-02,HOU,TOR,27:27,14,3,4,True
2024-02-04,HOU,MIN,29:53,8,7,2,True
2024-02-06,HOU,IND,32:51,30,1,3,True
2024-02-09,HOU,TOR,22:24,7,1,2,True
2024-02-10,HOU,ATL,37:14,26,10,14,True
2024-02-12,HOU,NYK,29:48,16,4,5,True
2024-02-14,HOU,MEM,22:42,4,3,3,True
2024-02-22,HOU,NOP,23:38,10,2,4,True
2024-02-23,HOU,PHO,21:24,14,4,3,True
2024-02-25,HOU,OKC,31:52,11,4,7,True
2024-02-27,HOU,OKC,27:56,16,3,6,True
2024-02-29,HOU,PHO,39:08,34,2,5,True
2024-03-02,HOU,PHO,37:43,34,4,9,True
2024-03-05,HOU,SAS,38:47,23,3,2,True
2024-03-06,HOU,LAC,31:41,15,2,3,True
2024-03-08,HOU,POR,34:06,27,5,3,True
2024-03-10,HOU,SAC,34:34,19,3,2,True
2024-03-12,HOU,SAS,37:10,16,5,7,True
2024-03-14,HOU,WAS,36:48,37,2,8,True
2024-03-16,HOU,CLE,33:18,26,4,11,True
2024-03-19,HOU,WAS,35:42,42,3,10,True
2024-03-21,HOU,CHI,40:01,26,3,4,True
2024-03-23,HOU,UTA,32:55,41,4,4,True
2024-03-25,HOU,POR,40:09,27,3,6,True
2024-03-27,HOU,OKC,46:22,37,7,10,True
2024-03-29,HOU,UTA,38:35,34,6,9,True
2024-03-31,HOU,DAL,31:09,12,5,6,True
2024-04-02,HOU,MIN,38:15,26,6,5,True
2024-04-04,HOU,GSW,29:47,13,7,4,True
2024-04-05,HOU,MIA,37:57,21,4,7,True
2024-04-07,HOU,DAL,39:49,21,8,6,True
2024-04-09,HOU,ORL,33:50,14,5,5,True
2024-04-11,HOU,UTA,18:42,3,1,1,True
2024-04-12,HOU,POR,34:56,26,1,9,True
2024-04-14,HOU,LAC,22:40,13,3,6,True
