Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2021-10-21,LAC,GSW,N/A,N/A,N/A,N/A,False
2021-10-23,LAC,MEM,15:50,11,1,4,False
2021-10-25,LAC,POR,17:23,9,2,5,False
2021-10-27,LAC,CLE,13:06,2,1,4,False
2021-10-29,LAC,POR,19:37,4,1,3,False
2021-11-01,LAC,OKC,18:01,2,2,12,False
2021-11-03,LAC,MIN,12:43,5,1,4,False
2021-11-05,LAC,MIN,15:06,7,0,7,False
2021-11-07,LAC,CHO,11:06,9,0,3,False
2021-11-09,LAC,POR,17:24,14,3,2,False
2021-11-11,LAC,MIA,17:35,6,1,7,False
2021-11-13,LAC,MIN,25:18,12,4,11,False
2021-11-14,LAC,CHI,13:35,7,0,2,False
2021-11-16,LAC,SAS,16:40,7,0,4,False
2021-11-18,LAC,MEM,20:07,11,4,6,False
2021-11-19,LAC,NOP,19:25,11,2,6,False
2021-11-21,LAC,DAL,5:14,2,1,2,False
2021-11-23,LAC,DAL,10:37,4,1,5,False
2021-11-26,LAC,DET,18:34,10,3,5,False
2021-11-28,LAC,GSW,11:36,6,1,5,False
2021-11-29,LAC,NOP,14:06,5,2,3,False
2021-12-01,LAC,SAC,17:35,11,4,8,False
2021-12-03,LAC,LAL,16:06,11,1,0,False
2021-12-04,LAC,SAC,14:26,4,0,5,False
2021-12-06,LAC,POR,13:07,5,1,0,False
2021-12-08,LAC,BOS,15:21,6,3,3,False
2021-12-11,LAC,ORL,20:15,6,5,5,False
2021-12-13,LAC,PHO,23:01,12,7,5,False
2021-12-15,LAC,UTA,24:34,15,1,5,False
2021-12-18,LAC,OKC,19:06,8,2,5,False
2021-12-20,LAC,SAS,N/A,N/A,N/A,N/A,False
2021-12-22,LAC,SAC,N/A,N/A,N/A,N/A,False
2021-12-26,LAC,DEN,N/A,N/A,N/A,N/A,False
2021-12-27,LAC,BRK,N/A,N/A,N/A,N/A,False
2021-12-29,LAC,BOS,N/A,N/A,N/A,N/A,False
2021-12-31,LAC,TOR,N/A,N/A,N/A,N/A,False
2022-01-01,LAC,BRK,N/A,N/A,N/A,N/A,False
2022-01-03,LAC,MIN,N/A,N/A,N/A,N/A,False
2022-01-06,LAC,PHO,N/A,N/A,N/A,N/A,False
2022-01-08,LAC,MEM,N/A,N/A,N/A,N/A,False
2022-01-09,LAC,ATL,N/A,N/A,N/A,N/A,False
2022-01-11,LAC,DEN,N/A,N/A,N/A,N/A,False
2022-01-13,LAC,NOP,N/A,N/A,N/A,N/A,False
2022-01-15,LAC,SAS,5:44,6,0,0,False
2022-01-17,LAC,IND,14:40,9,2,1,False
2022-01-19,LAC,DEN,12:34,4,3,3,False
2022-01-21,LAC,PHI,15:32,10,1,3,False
2022-01-23,LAC,NYK,3:47,0,0,1,False
2022-01-25,LAC,WAS,25:39,16,6,5,False
2022-01-26,LAC,ORL,18:50,5,1,4,False
2022-01-28,LAC,MIA,15:32,8,1,3,False
2022-01-30,LAC,CHO,21:09,7,1,6,False
2022-01-31,LAC,IND,14:17,6,1,3,False
2022-02-03,LAC,LAL,14:13,6,2,6,False
2022-02-06,LAC,MIL,8:23,0,2,2,False
2022-02-08,LAC,MEM,27:34,19,4,7,False
2022-02-10,LAC,DAL,5:59,2,1,4,False
2022-02-12,LAC,DAL,14:52,2,2,5,False
2022-02-14,LAC,GSW,22:35,9,2,6,False
2022-02-15,LAC,PHO,14:19,4,2,4,False
2022-02-17,LAC,HOU,25:17,13,2,8,False
2022-02-25,LAC,LAL,28:05,11,6,7,False
2022-02-27,LAC,HOU,10:23,12,0,4,False
2022-03-01,LAC,HOU,22:28,6,1,8,False
2022-03-03,LAC,LAL,23:09,12,5,5,False
2022-03-06,LAC,NYK,20:34,14,4,2,False
2022-03-08,LAC,GSW,25:31,10,4,6,False
2022-03-09,LAC,WAS,18:59,4,1,3,False
2022-03-11,LAC,ATL,11:43,2,1,5,False
2022-03-13,LAC,DET,17:04,12,2,4,False
2022-03-14,LAC,CLE,19:45,10,3,6,False
2022-03-16,LAC,TOR,24:28,12,0,5,False
2022-03-18,LAC,UTA,25:00,4,8,9,False
2022-03-22,LAC,DEN,23:52,14,5,2,False
2022-03-25,LAC,PHI,22:50,16,4,9,False
2022-03-29,LAC,UTA,25:37,14,6,7,False
2022-03-31,LAC,CHI,18:02,4,2,4,False
2022-04-01,LAC,MIL,26:46,14,5,10,False
2022-04-03,LAC,NOP,23:01,12,2,9,False
2022-04-06,LAC,PHO,22:47,10,5,7,False
2022-04-09,LAC,SAC,23:28,10,3,7,False
2022-04-10,LAC,OKC,24:44,12,6,6,False
