Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2023-10-25,SAC,UTA,23:34,7,2,5,True
2023-10-27,SAC,GSW,15:37,0,2,2,True
2023-10-29,SAC,LAL,36:37,12,4,7,True
2023-11-01,SAC,GSW,26:51,11,3,9,True
2023-11-04,SAC,HOU,15:50,4,2,4,True
2023-11-06,SAC,HOU,25:13,13,2,3,True
2023-11-08,SAC,POR,39:24,17,4,5,True
2023-11-10,SAC,OKC,33:55,28,2,9,True
2023-11-13,SAC,CLE,28:41,20,2,2,True
2023-11-15,SAC,LAL,37:35,28,7,4,True
2023-11-17,SAC,SAS,25:25,9,2,1,True
2023-11-19,SAC,DAL,N/A,N/A,N/A,N/A,False
2023-11-20,SAC,NOP,22:32,10,3,0,True
2023-11-22,SAC,NOP,26:52,8,2,7,True
2023-11-24,SAC,MIN,24:27,10,3,2,True
2023-11-28,SAC,GSW,32:43,21,5,9,True
2023-11-29,SAC,LAC,25:47,7,5,5,True
2023-12-02,SAC,DEN,29:25,16,2,6,True
2023-12-04,SAC,NOP,31:31,12,2,5,True
2023-12-08,SAC,PHO,16:37,1,1,3,True
2023-12-11,SAC,BRK,17:04,6,1,1,True
2023-12-12,SAC,LAC,16:31,3,3,4,True
2023-12-14,SAC,OKC,20:13,4,2,2,True
2023-12-16,SAC,UTA,24:43,11,5,3,True
2023-12-18,SAC,WAS,23:11,11,2,4,True
2023-12-20,SAC,BOS,16:11,7,0,1,True
2023-12-22,SAC,PHO,27:17,13,5,2,True
2023-12-23,SAC,MIN,15:17,2,1,1,True
2023-12-26,SAC,POR,21:42,5,2,2,True
2023-12-29,SAC,ATL,9:45,7,1,3,True
2023-12-31,SAC,MEM,16:46,9,0,0,False
2024-01-02,SAC,CHO,12:21,4,0,2,False
2024-01-03,SAC,ORL,17:54,2,2,7,False
2024-01-05,SAC,TOR,14:01,3,3,2,False
2024-01-07,SAC,NOP,24:16,17,3,1,False
2024-01-09,SAC,DET,29:12,4,5,5,True
2024-01-10,SAC,CHO,0:41,0,0,0,True
2024-01-12,SAC,PHI,N/A,N/A,N/A,N/A,False
2024-01-14,SAC,MIL,38:43,26,3,10,True
2024-01-16,SAC,PHO,25:57,10,2,3,True
2024-01-18,SAC,IND,38:41,31,4,2,True
2024-01-22,SAC,ATL,25:45,8,3,2,True
2024-01-25,SAC,GSW,33:05,12,4,10,True
2024-01-27,SAC,DAL,30:07,18,5,4,True
2024-01-29,SAC,MEM,37:17,17,3,4,True
2024-01-31,SAC,MIA,38:43,14,4,3,True
2024-02-02,SAC,IND,30:25,15,6,5,True
2024-02-03,SAC,CHI,20:36,9,2,2,True
2024-02-05,SAC,CLE,31:22,10,4,3,True
2024-02-07,SAC,DET,33:46,16,1,1,True
2024-02-09,SAC,DEN,21:04,12,0,2,True
2024-02-11,SAC,OKC,17:10,4,1,2,True
2024-02-13,SAC,PHO,23:41,10,1,3,True
2024-02-14,SAC,DEN,25:36,8,2,5,True
2024-02-22,SAC,SAS,31:24,21,5,4,True
2024-02-25,SAC,LAC,24:45,15,2,3,True
2024-02-26,SAC,MIA,37:50,14,2,5,True
2024-02-28,SAC,DEN,18:21,4,2,1,True
2024-03-01,SAC,MIN,32:49,8,4,6,True
2024-03-04,SAC,CHI,23:03,12,2,3,True
2024-03-06,SAC,LAL,11:42,2,3,1,True
2024-03-07,SAC,SAS,16:23,0,2,2,True
2024-03-10,SAC,HOU,25:08,6,3,3,True
2024-03-12,SAC,MIL,25:15,11,3,5,True
2024-03-13,SAC,LAL,N/A,N/A,N/A,N/A,False
2024-03-16,SAC,NYK,15:58,0,2,1,True
2024-03-18,SAC,MEM,1:51,0,1,1,True
2024-03-20,SAC,TOR,N/A,N/A,N/A,N/A,False
2024-03-21,SAC,WAS,N/A,N/A,N/A,N/A,False
2024-03-23,SAC,ORL,N/A,N/A,N/A,N/A,False
2024-03-25,SAC,PHI,N/A,N/A,N/A,N/A,False
2024-03-26,SAC,DAL,N/A,N/A,N/A,N/A,False
2024-03-29,SAC,DAL,N/A,N/A,N/A,N/A,False
2024-03-31,SAC,UTA,N/A,N/A,N/A,N/A,False
2024-04-02,SAC,LAC,N/A,N/A,N/A,N/A,False
2024-04-04,SAC,NYK,N/A,N/A,N/A,N/A,False
2024-04-05,SAC,BOS,N/A,N/A,N/A,N/A,False
2024-04-07,SAC,BRK,N/A,N/A,N/A,N/A,False
2024-04-09,SAC,OKC,N/A,N/A,N/A,N/A,False
2024-04-11,SAC,NOP,N/A,N/A,N/A,N/A,False
2024-04-12,SAC,PHO,N/A,N/A,N/A,N/A,False
2024-04-14,SAC,POR,N/A,N/A,N/A,N/A,False
