Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2022-10-19,OKC,MIN,0:11,0,0,0,False
2022-10-22,OKC,DEN,N/A,N/A,N/A,N/A,False
2022-10-23,OKC,MIN,6:02,2,3,1,False
2022-10-25,OKC,LAC,0:03,0,0,0,False
2022-10-27,OKC,LAC,1:10,0,0,0,False
2022-10-29,OKC,DAL,9:04,15,1,2,False
2022-11-01,OKC,ORL,1:43,0,0,0,False
2022-11-03,OKC,DEN,N/A,N/A,N/A,N/A,False
2022-11-05,OKC,MIL,14:41,8,0,1,False
2022-11-07,OKC,DET,N/A,N/A,N/A,N/A,False
2022-11-09,OKC,MIL,4:57,3,1,2,False
2022-11-11,OKC,TOR,5:26,2,0,0,False
2022-11-13,OKC,NYK,16:53,8,1,3,False
2022-11-14,OKC,BOS,7:18,1,0,3,False
2022-11-16,OKC,WAS,N/A,N/A,N/A,N/A,False
2022-11-18,OKC,MEM,N/A,N/A,N/A,N/A,False
2022-11-21,OKC,NYK,3:23,0,2,1,False
2022-11-23,OKC,DEN,20:52,21,1,2,False
2022-11-25,OKC,CHI,15:24,8,0,2,False
2022-11-26,OKC,HOU,13:42,6,3,3,False
2022-11-28,OKC,NOP,N/A,N/A,N/A,N/A,False
2022-11-30,OKC,SAS,8:48,5,2,1,False
2022-12-03,OKC,MIN,N/A,N/A,N/A,N/A,False
2022-12-05,OKC,ATL,10:28,9,2,1,False
2022-12-07,OKC,MEM,18:59,8,2,5,False
2022-12-10,OKC,CLE,19:25,12,1,3,False
2022-12-12,OKC,DAL,20:54,12,1,7,False
2022-12-14,OKC,MIA,17:00,3,2,2,False
2022-12-16,OKC,MIN,13:16,6,1,0,False
2022-12-17,OKC,MEM,26:24,23,0,3,True
2022-12-19,OKC,POR,23:05,11,1,3,False
2022-12-21,OKC,POR,17:34,6,1,2,False
2022-12-23,OKC,NOP,12:05,0,1,0,False
2022-12-27,OKC,SAS,15:16,6,0,1,False
2022-12-29,OKC,CHO,12:49,3,1,0,False
2022-12-31,OKC,PHI,19:09,8,1,5,False
2023-01-03,OKC,BOS,27:49,21,4,4,False
2023-01-04,OKC,ORL,19:34,13,1,1,False
2023-01-06,OKC,WAS,24:14,8,2,3,False
2023-01-08,OKC,DAL,16:59,5,2,4,False
2023-01-10,OKC,MIA,15:31,6,2,3,False
2023-01-12,OKC,PHI,16:04,7,0,3,False
2023-01-13,OKC,CHI,N/A,N/A,N/A,N/A,False
2023-01-15,OKC,BRK,18:57,9,0,3,False
2023-01-18,OKC,IND,22:07,23,1,4,False
2023-01-20,OKC,SAC,29:21,21,0,6,False
2023-01-22,OKC,DEN,20:34,8,2,2,False
2023-01-25,OKC,ATL,14:22,9,0,2,False
2023-01-27,OKC,CLE,21:05,6,0,1,False
2023-01-30,OKC,GSW,25:26,10,0,3,False
2023-02-01,OKC,HOU,20:32,3,2,0,True
2023-02-04,OKC,HOU,18:52,18,2,0,False
2023-02-06,OKC,GSW,18:20,6,0,3,False
2023-02-07,OKC,LAL,23:02,15,2,5,False
2023-02-10,OKC,POR,23:09,12,3,3,False
2023-02-13,OKC,NOP,22:17,16,0,3,False
2023-02-15,OKC,HOU,16:31,7,2,3,False
2023-02-23,OKC,UTA,21:02,5,1,3,False
2023-02-24,OKC,PHO,35:48,28,0,7,True
2023-02-26,OKC,SAC,27:46,24,3,0,True
2023-02-28,OKC,SAC,22:18,8,1,2,True
2023-03-01,OKC,LAL,29:28,15,3,2,False
2023-03-03,OKC,UTA,26:58,17,3,2,True
2023-03-05,OKC,UTA,25:42,6,1,3,False
2023-03-07,OKC,GSW,29:39,9,1,0,False
2023-03-08,OKC,PHO,19:16,6,1,1,True
2023-03-11,OKC,NOP,28:24,9,1,4,False
2023-03-12,OKC,SAS,28:45,5,2,5,True
2023-03-14,OKC,BRK,24:28,5,2,3,False
2023-03-16,OKC,TOR,23:52,12,1,1,False
2023-03-19,OKC,PHO,27:08,15,0,5,False
2023-03-21,OKC,LAC,26:59,12,0,3,False
2023-03-23,OKC,LAC,17:16,0,1,0,False
2023-03-24,OKC,LAL,19:47,2,1,1,False
2023-03-26,OKC,POR,28:26,20,5,7,False
2023-03-28,OKC,CHO,31:44,33,1,2,True
2023-03-29,OKC,DET,33:24,12,0,4,True
2023-03-31,OKC,IND,24:58,7,1,2,False
2023-04-02,OKC,PHO,21:37,7,1,1,False
2023-04-04,OKC,GSW,28:23,14,2,5,False
2023-04-06,OKC,UTA,21:16,11,3,3,False
2023-04-09,OKC,MEM,N/A,N/A,N/A,N/A,False
