Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2022-10-19,PHO,DAL,27:10,15,0,3,True
2022-10-21,PHO,POR,22:31,5,2,3,True
2022-10-23,PHO,LAC,22:36,11,2,5,True
2022-10-25,PHO,GSW,33:23,9,2,5,True
2022-10-28,PHO,NOP,26:54,16,3,2,True
2022-10-30,PHO,HOU,31:14,19,1,7,True
2022-11-01,PHO,MIN,33:15,29,3,2,True
2022-11-04,PHO,POR,5:14,0,1,0,True
2022-11-05,PHO,POR,N/A,N/A,N/A,N/A,False
2022-11-07,PHO,PHI,N/A,N/A,N/A,N/A,False
2022-11-09,PHO,MIN,N/A,N/A,N/A,N/A,False
2022-11-11,PHO,ORL,N/A,N/A,N/A,N/A,False
2022-11-14,PHO,MIA,N/A,N/A,N/A,N/A,False
2022-11-16,PHO,GSW,N/A,N/A,N/A,N/A,False
2022-11-18,PHO,UTA,N/A,N/A,N/A,N/A,False
2022-11-20,PHO,NYK,N/A,N/A,N/A,N/A,False
2022-11-22,PHO,LAL,N/A,N/A,N/A,N/A,False
2022-11-25,PHO,DET,N/A,N/A,N/A,N/A,False
2022-11-26,PHO,UTA,N/A,N/A,N/A,N/A,False
2022-11-28,PHO,SAC,N/A,N/A,N/A,N/A,False
2022-11-30,PHO,CHI,N/A,N/A,N/A,N/A,False
2022-12-02,PHO,HOU,N/A,N/A,N/A,N/A,False
2022-12-04,PHO,SAS,N/A,N/A,N/A,N/A,False
2022-12-05,PHO,DAL,N/A,N/A,N/A,N/A,False
2022-12-07,PHO,BOS,N/A,N/A,N/A,N/A,False
2022-12-09,PHO,NOP,N/A,N/A,N/A,N/A,False
2022-12-11,PHO,NOP,N/A,N/A,N/A,N/A,False
2022-12-13,PHO,HOU,N/A,N/A,N/A,N/A,False
2022-12-15,PHO,LAC,N/A,N/A,N/A,N/A,False
2022-12-17,PHO,NOP,N/A,N/A,N/A,N/A,False
2022-12-19,PHO,LAL,N/A,N/A,N/A,N/A,False
2022-12-20,PHO,WAS,N/A,N/A,N/A,N/A,False
2022-12-23,PHO,MEM,N/A,N/A,N/A,N/A,False
2022-12-25,PHO,DEN,N/A,N/A,N/A,N/A,False
2022-12-27,PHO,MEM,N/A,N/A,N/A,N/A,False
2022-12-28,PHO,WAS,N/A,N/A,N/A,N/A,False
2022-12-30,PHO,TOR,N/A,N/A,N/A,N/A,False
2023-01-02,PHO,NYK,N/A,N/A,N/A,N/A,False
2023-01-04,PHO,CLE,N/A,N/A,N/A,N/A,False
2023-01-06,PHO,MIA,N/A,N/A,N/A,N/A,False
2023-01-08,PHO,CLE,N/A,N/A,N/A,N/A,False
2023-01-10,PHO,GSW,N/A,N/A,N/A,N/A,False
2023-01-11,PHO,DEN,N/A,N/A,N/A,N/A,False
2023-01-13,PHO,MIN,N/A,N/A,N/A,N/A,False
2023-01-16,PHO,MEM,N/A,N/A,N/A,N/A,False
2023-01-19,PHO,BRK,21:50,19,2,6,False
2023-01-21,PHO,IND,N/A,N/A,N/A,N/A,False
2023-01-22,PHO,MEM,29:28,8,1,6,True
2023-01-24,PHO,CHO,17:42,24,3,3,True
2023-01-26,PHO,DAL,32:52,22,0,8,True
2023-01-28,PHO,SAS,32:18,15,2,4,True
2023-01-30,PHO,TOR,25:45,4,0,3,True
2023-02-01,PHO,ATL,15:19,6,0,1,True
2023-02-03,PHO,BOS,N/A,N/A,N/A,N/A,False
2023-02-04,PHO,DET,22:30,20,2,2,True
2023-02-07,PHO,BRK,29:25,14,2,5,True
2023-02-09,BRK,CHI,N/A,N/A,N/A,N/A,False
2023-02-11,BRK,PHI,28:26,12,3,7,True
2023-02-13,BRK,NYK,26:39,14,1,4,True
2023-02-15,BRK,MIA,34:13,18,3,1,True
2023-02-24,BRK,CHI,19:40,10,0,1,True
2023-02-26,BRK,ATL,36:18,27,1,3,True
2023-02-28,BRK,MIL,29:28,19,1,7,True
2023-03-01,BRK,NYK,27:27,33,0,2,True
2023-03-03,BRK,BOS,30:59,20,3,5,True
2023-03-05,BRK,CHO,34:53,11,2,10,True
2023-03-07,BRK,HOU,24:24,8,3,2,True
2023-03-09,BRK,MIL,N/A,N/A,N/A,N/A,False
2023-03-10,BRK,MIN,34:25,15,0,8,True
2023-03-12,BRK,DEN,28:52,14,2,4,True
2023-03-14,BRK,OKC,39:20,23,3,9,True
2023-03-16,BRK,SAC,36:15,10,2,6,True
2023-03-19,BRK,DEN,33:46,14,2,6,True
2023-03-21,BRK,CLE,34:03,16,4,3,True
2023-03-23,BRK,CLE,22:27,5,1,3,True
2023-03-25,BRK,MIA,25:08,23,4,3,True
2023-03-26,BRK,ORL,26:06,10,1,3,True
2023-03-29,BRK,HOU,35:30,31,5,7,True
2023-03-31,BRK,ATL,35:22,16,3,6,True
2023-04-02,BRK,UTA,31:44,18,2,6,True
2023-04-04,BRK,MIN,34:09,14,3,4,True
2023-04-05,BRK,DET,28:42,15,2,5,True
2023-04-07,BRK,ORL,32:04,18,1,5,True
2023-04-09,BRK,PHI,N/A,N/A,N/A,N/A,False
