Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2023-10-25,LAC,POR,28:43,23,6,5,True
2023-10-27,LAC,UTA,36:45,25,5,9,True
2023-10-29,LAC,SAS,27:48,21,4,3,True
2023-10-31,LAC,ORL,32:59,8,3,8,True
2023-11-01,LAC,LAL,41:29,38,5,6,True
2023-11-06,LAC,NYK,31:34,18,3,5,True
2023-11-08,LAC,BRK,35:56,17,2,6,True
2023-11-10,LAC,DAL,29:05,26,4,3,True
2023-11-12,LAC,MEM,36:51,14,3,5,True
2023-11-14,LAC,DEN,37:53,15,2,2,True
2023-11-17,LAC,HOU,36:50,26,2,8,True
2023-11-20,LAC,SAS,28:04,21,3,4,True
2023-11-22,LAC,SAS,35:47,26,4,4,True
2023-11-24,LAC,NOP,34:14,20,3,8,True
2023-11-25,LAC,DAL,29:14,8,3,6,True
2023-11-27,LAC,DEN,39:00,31,3,8,True
2023-11-29,LAC,SAC,36:46,34,3,9,True
2023-11-30,LAC,GSW,35:18,23,0,7,True
2023-12-02,LAC,GSW,38:45,20,7,8,True
2023-12-06,LAC,DEN,37:41,17,5,4,True
2023-12-08,LAC,UTA,38:08,41,5,5,True
2023-12-11,LAC,POR,38:32,34,5,6,True
2023-12-12,LAC,SAC,31:16,31,3,4,True
2023-12-14,LAC,GSW,39:22,27,2,8,True
2023-12-16,LAC,NYK,30:14,36,4,7,True
2023-12-18,LAC,IND,26:38,28,1,2,True
2023-12-20,LAC,DAL,37:29,30,5,10,True
2023-12-21,LAC,OKC,N/A,N/A,N/A,N/A,False
2023-12-23,LAC,BOS,N/A,N/A,N/A,N/A,False
2023-12-26,LAC,CHO,N/A,N/A,N/A,N/A,False
2023-12-29,LAC,MEM,N/A,N/A,N/A,N/A,False
2024-01-01,LAC,MIA,33:42,24,5,6,True
2024-01-03,LAC,PHO,40:07,30,3,8,True
2024-01-05,LAC,NOP,29:35,19,2,9,True
2024-01-07,LAC,LAL,34:42,15,2,8,True
2024-01-08,LAC,PHO,32:27,17,2,3,True
2024-01-10,LAC,TOR,37:45,29,7,3,True
2024-01-12,LAC,MEM,28:41,22,4,7,True
2024-01-14,LAC,MIN,37:26,26,4,9,True
2024-01-16,LAC,OKC,36:42,16,6,6,True
2024-01-21,LAC,BRK,36:47,21,4,4,True
2024-01-23,LAC,LAL,38:05,25,10,11,True
2024-01-26,LAC,TOR,30:30,16,3,7,True
2024-01-27,LAC,BOS,29:01,26,2,7,True
2024-01-29,LAC,CLE,36:53,30,3,8,True
2024-01-31,LAC,WAS,29:54,31,4,9,True
2024-02-02,LAC,DET,31:58,33,3,4,True
2024-02-04,LAC,MIA,34:50,25,4,11,True
2024-02-05,LAC,ATL,37:13,36,5,2,True
2024-02-07,LAC,NOP,33:12,15,4,6,True
2024-02-10,LAC,DET,35:17,24,5,4,True
2024-02-12,LAC,MIN,30:06,18,1,4,True
2024-02-14,LAC,GSW,N/A,N/A,N/A,N/A,False
2024-02-22,LAC,OKC,30:32,20,2,3,True
2024-02-23,LAC,MEM,36:19,24,4,8,True
2024-02-25,LAC,SAC,35:54,20,3,8,True
2024-02-28,LAC,LAL,39:17,26,6,7,True
2024-03-01,LAC,WAS,29:25,27,4,9,True
2024-03-03,LAC,MIN,38:19,32,1,5,True
2024-03-04,LAC,MIL,37:17,16,5,4,True
2024-03-06,LAC,HOU,39:01,28,7,6,True
2024-03-09,LAC,CHI,38:20,19,4,9,True
2024-03-10,LAC,MIL,N/A,N/A,N/A,N/A,False
2024-03-12,LAC,MIN,12:00,6,2,2,True
2024-03-14,LAC,CHI,33:53,27,3,5,True
2024-03-15,LAC,NOP,38:42,23,2,7,True
2024-03-17,LAC,ATL,36:47,28,2,2,True
2024-03-20,LAC,POR,28:02,24,2,4,True
2024-03-22,LAC,POR,29:16,22,3,6,True
2024-03-24,LAC,PHI,31:14,20,3,6,True
2024-03-25,LAC,IND,38:04,26,3,4,True
2024-03-27,LAC,PHI,35:34,17,3,9,True
2024-03-29,LAC,ORL,37:46,29,5,11,True
2024-03-31,LAC,CHO,37:08,23,2,5,True
2024-04-02,LAC,SAC,N/A,N/A,N/A,N/A,False
2024-04-04,LAC,DEN,N/A,N/A,N/A,N/A,False
2024-04-05,LAC,UTA,N/A,N/A,N/A,N/A,False
2024-04-07,LAC,CLE,N/A,N/A,N/A,N/A,False
2024-04-09,LAC,PHO,N/A,N/A,N/A,N/A,False
2024-04-10,LAC,PHO,N/A,N/A,N/A,N/A,False
2024-04-12,LAC,UTA,N/A,N/A,N/A,N/A,False
2024-04-14,LAC,HOU,N/A,N/A,N/A,N/A,False
