Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2023-10-26,MIL,PHI,8:56,2,0,0,False
2023-10-29,MIL,ATL,14:24,6,1,1,False
2023-10-30,MIL,MIA,12:58,11,0,1,False
2023-11-01,MIL,TOR,19:06,4,1,2,False
2023-11-03,MIL,NYK,11:56,0,1,0,False
2023-11-06,MIL,BRK,16:21,11,3,1,False
2023-11-08,MIL,DET,23:51,7,3,1,False
2023-11-09,MIL,IND,30:04,7,5,4,True
2023-11-11,MIL,ORL,25:34,14,2,0,True
2023-11-13,MIL,CHI,17:22,0,5,0,False
2023-11-15,MIL,TOR,16:04,13,2,1,False
2023-11-17,MIL,CHO,20:34,2,6,3,False
2023-11-18,MIL,DAL,17:12,11,2,2,False
2023-11-20,MIL,WAS,16:29,6,2,2,False
2023-11-22,MIL,BOS,10:19,3,2,0,False
2023-11-24,MIL,WAS,16:49,4,3,3,False
2023-11-26,MIL,POR,17:16,3,3,2,False
2023-11-28,MIL,MIA,17:46,2,3,1,False
2023-11-30,MIL,CHI,11:30,6,1,1,False
2023-12-02,MIL,ATL,19:41,18,2,3,False
2023-12-05,MIL,NYK,14:01,12,2,2,False
2023-12-07,MIL,IND,16:27,4,2,1,False
2023-12-11,MIL,CHI,17:54,5,5,0,False
2023-12-13,MIL,IND,13:43,1,4,0,False
2023-12-16,MIL,DET,15:17,11,5,1,False
2023-12-17,MIL,HOU,11:00,0,1,0,False
2023-12-19,MIL,SAS,12:31,7,0,0,False
2023-12-21,MIL,ORL,12:41,2,4,1,False
2023-12-23,MIL,NYK,14:29,8,1,1,False
2023-12-25,MIL,NYK,10:10,3,1,0,False
2023-12-27,MIL,BRK,22:48,18,6,4,False
2023-12-29,MIL,CLE,5:51,0,0,0,False
2024-01-01,MIL,IND,11:41,5,2,1,False
2024-01-03,MIL,IND,9:59,7,2,1,False
2024-01-04,MIL,SAS,15:19,5,4,1,False
2024-01-06,MIL,HOU,8:26,1,1,0,False
2024-01-08,MIL,UTA,N/A,N/A,N/A,N/A,False
2024-01-11,MIL,BOS,14:45,7,3,4,False
2024-01-13,MIL,GSW,N/A,N/A,N/A,N/A,False
2024-01-14,MIL,SAC,11:35,15,1,0,False
2024-01-17,MIL,CLE,13:20,13,1,0,False
2024-01-20,MIL,DET,N/A,N/A,N/A,N/A,False
2024-01-22,MIL,DET,N/A,N/A,N/A,N/A,False
2024-01-24,MIL,CLE,13:26,5,0,2,False
2024-01-26,MIL,CLE,11:02,4,0,2,False
2024-01-27,MIL,NOP,17:41,11,5,2,False
2024-01-29,MIL,DEN,12:35,3,2,1,False
2024-01-31,MIL,POR,8:07,0,2,1,False
2024-02-03,MIL,DAL,9:47,0,3,2,False
2024-02-04,MIL,UTA,10:15,3,2,3,False
2024-02-06,MIL,PHO,22:38,11,3,4,False
2024-02-08,MIL,MIN,N/A,N/A,N/A,N/A,False
2024-02-09,PHI,ATL,35:41,20,6,3,True
2024-02-10,PHI,WAS,21:09,6,6,1,False
2024-02-12,PHI,CLE,24:19,15,4,2,False
2024-02-14,PHI,MIA,21:59,2,3,3,False
2024-02-22,PHI,NYK,9:19,7,0,0,False
2024-02-23,PHI,CLE,19:53,16,2,1,False
2024-02-25,PHI,MIL,7:32,3,0,1,False
2024-02-27,PHI,BOS,16:04,13,2,0,False
2024-03-01,PHI,CHO,16:40,5,7,0,False
2024-03-03,PHI,DAL,N/A,N/A,N/A,N/A,False
2024-03-05,PHI,BRK,22:35,15,1,3,True
2024-03-06,PHI,MEM,28:06,16,4,5,True
2024-03-08,PHI,NOP,22:57,13,4,1,False
2024-03-10,PHI,NYK,29:30,7,5,1,True
2024-03-12,PHI,NYK,20:11,7,1,1,False
2024-03-14,PHI,MIL,11:45,13,2,1,False
2024-03-16,PHI,CHO,19:04,10,4,0,False
2024-03-18,PHI,MIA,15:52,3,3,2,False
2024-03-20,PHI,PHO,15:11,12,3,1,False
2024-03-22,PHI,LAL,12:19,7,2,0,False
2024-03-24,PHI,LAC,23:58,23,3,5,False
2024-03-25,PHI,SAC,24:43,8,6,3,False
2024-03-27,PHI,LAC,4:06,0,0,1,False
2024-03-29,PHI,CLE,4:32,2,2,0,False
2024-03-31,PHI,TOR,37:37,24,3,1,True
2024-04-02,PHI,OKC,29:37,10,5,10,True
2024-04-04,PHI,MIA,10:27,6,1,0,False
2024-04-06,PHI,MEM,20:28,3,4,1,False
2024-04-07,PHI,SAS,18:59,3,3,1,True
2024-04-09,PHI,DET,27:27,5,6,5,True
2024-04-12,PHI,ORL,7:10,3,1,0,False
2024-04-14,PHI,BRK,23:10,10,3,2,False
