Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2022-10-19,SAS,CHO,26:59,14,2,9,True
2022-10-21,SAS,IND,28:36,21,5,8,True
2022-10-22,SAS,PHI,27:01,13,3,12,True
2022-10-24,SAS,MIN,30:31,14,4,14,True
2022-10-26,SAS,MIN,29:06,12,4,10,True
2022-10-28,SAS,CHI,30:11,21,4,13,True
2022-10-30,SAS,MIN,33:30,4,4,14,True
2022-11-02,SAS,TOR,20:40,6,2,6,True
2022-11-04,SAS,LAC,26:21,4,3,7,True
2022-11-05,SAS,DEN,28:35,14,2,8,True
2022-11-07,SAS,DEN,31:48,4,9,7,True
2022-11-09,SAS,MEM,36:44,22,4,9,True
2022-11-11,SAS,MIL,29:47,15,3,10,True
2022-11-14,SAS,GSW,20:20,6,1,10,True
2022-11-15,SAS,POR,31:40,31,5,14,True
2022-11-17,SAS,SAC,27:21,10,4,7,True
2022-11-19,SAS,LAC,25:04,20,3,8,True
2022-11-20,SAS,LAL,N/A,N/A,N/A,N/A,False
2022-11-23,SAS,NOP,25:33,4,3,14,True
2022-11-25,SAS,LAL,25:13,10,4,8,True
2022-11-26,SAS,LAL,9:47,12,0,9,True
2022-11-30,SAS,OKC,N/A,N/A,N/A,N/A,False
2022-12-02,SAS,NOP,N/A,N/A,N/A,N/A,False
2022-12-04,SAS,PHO,N/A,N/A,N/A,N/A,False
2022-12-08,SAS,HOU,N/A,N/A,N/A,N/A,False
2022-12-10,SAS,MIA,N/A,N/A,N/A,N/A,False
2022-12-12,SAS,CLE,N/A,N/A,N/A,N/A,False
2022-12-14,SAS,POR,N/A,N/A,N/A,N/A,False
2022-12-17,SAS,MIA,20:50,7,0,7,True
2022-12-19,SAS,HOU,22:30,8,1,5,True
2022-12-22,SAS,NOP,21:42,13,1,4,True
2022-12-23,SAS,ORL,21:23,6,0,4,True
2022-12-26,SAS,UTA,24:11,16,2,9,True
2022-12-27,SAS,OKC,26:02,10,2,6,True
2022-12-29,SAS,NYK,28:33,9,2,12,True
2022-12-31,SAS,DAL,29:50,19,6,15,True
2023-01-02,SAS,BRK,19:42,6,2,11,True
2023-01-04,SAS,NYK,26:01,6,1,8,True
2023-01-06,SAS,DET,32:21,11,7,16,True
2023-01-07,SAS,BOS,N/A,N/A,N/A,N/A,False
2023-01-09,SAS,MEM,26:13,13,2,7,True
2023-01-11,SAS,MEM,25:47,17,0,12,True
2023-01-13,SAS,GSW,26:06,8,5,10,True
2023-01-15,SAS,SAC,31:13,23,2,7,True
2023-01-17,SAS,BRK,21:43,12,3,7,True
2023-01-20,SAS,LAC,23:45,11,4,6,True
2023-01-23,SAS,POR,15:45,14,2,7,True
2023-01-25,SAS,LAL,22:53,5,4,8,True
2023-01-26,SAS,LAC,22:10,10,3,2,True
2023-01-28,SAS,PHO,33:27,8,6,13,True
2023-01-30,SAS,WAS,21:39,7,2,5,True
2023-02-01,SAS,SAC,28:57,18,3,12,True
2023-02-03,SAS,PHI,24:20,16,5,10,True
2023-02-06,SAS,CHI,29:40,14,4,9,True
2023-02-08,SAS,TOR,27:49,12,3,7,True
2023-02-10,TOR,UTA,16:41,6,2,4,False
2023-02-12,TOR,DET,25:04,6,1,5,True
2023-02-14,TOR,ORL,36:55,30,2,9,True
2023-02-23,TOR,NOP,30:27,21,2,18,True
2023-02-25,TOR,DET,26:54,9,4,14,True
2023-02-26,TOR,CLE,27:14,13,3,9,True
2023-02-28,TOR,CHI,26:16,14,2,3,True
2023-03-02,TOR,WAS,31:31,23,4,13,True
2023-03-04,TOR,WAS,24:21,14,0,5,True
2023-03-06,TOR,DEN,32:02,18,4,9,True
2023-03-08,TOR,LAC,30:23,8,2,11,True
2023-03-10,TOR,LAL,33:03,17,4,10,True
2023-03-14,TOR,DEN,27:14,12,5,11,True
2023-03-16,TOR,OKC,29:00,16,4,12,True
2023-03-18,TOR,MIN,25:22,14,2,11,True
2023-03-19,TOR,MIL,31:07,20,0,6,True
2023-03-22,TOR,IND,35:38,23,1,8,True
2023-03-24,TOR,DET,28:12,4,1,11,True
2023-03-26,TOR,WAS,26:08,12,1,12,True
2023-03-28,TOR,MIA,22:47,2,1,10,True
2023-03-31,TOR,PHI,33:25,14,2,10,True
2023-04-02,TOR,CHO,30:01,16,3,9,True
2023-04-04,TOR,CHO,21:46,10,3,9,True
2023-04-05,TOR,BOS,22:39,10,2,7,True
2023-04-07,TOR,BOS,21:23,3,0,7,True
2023-04-09,TOR,MIL,11:15,6,1,4,True
