Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2023-10-25,DAL,SAS,N/A,N/A,N/A,N/A,False
2023-10-27,DAL,BRK,12:51,11,0,2,False
2023-10-30,DAL,MEM,12:14,0,0,5,False
2023-11-01,DAL,CHI,10:29,5,1,1,False
2023-11-03,DAL,DEN,16:30,6,1,1,False
2023-11-05,DAL,CHO,15:27,10,3,5,False
2023-11-06,DAL,ORL,28:29,7,2,2,False
2023-11-08,DAL,TOR,24:26,5,0,6,True
2023-11-10,DAL,LAC,21:47,9,4,5,False
2023-11-12,DAL,NOP,17:57,7,2,10,False
2023-11-14,DAL,NOP,10:50,4,1,7,False
2023-11-15,DAL,WAS,6:43,2,2,1,False
2023-11-18,DAL,MIL,23:36,3,1,3,False
2023-11-19,DAL,SAC,13:23,0,1,1,False
2023-11-22,DAL,LAL,5:29,0,1,0,False
2023-11-25,DAL,LAC,14:56,2,3,2,False
2023-11-28,DAL,HOU,2:53,0,0,0,False
2023-12-01,DAL,MEM,N/A,N/A,N/A,N/A,False
2023-12-02,DAL,OKC,3:54,2,0,0,False
2023-12-06,DAL,UTA,18:16,4,3,4,False
2023-12-08,DAL,POR,12:29,4,3,2,False
2023-12-11,DAL,MEM,12:12,2,2,2,False
2023-12-12,DAL,LAL,N/A,N/A,N/A,N/A,False
2023-12-14,DAL,MIN,7:06,4,0,4,False
2023-12-16,DAL,POR,22:15,6,0,5,False
2023-12-18,DAL,DEN,23:20,8,0,8,True
2023-12-20,DAL,LAC,17:31,3,1,1,True
2023-12-22,DAL,HOU,7:43,0,0,4,False
2023-12-23,DAL,SAS,22:10,14,1,4,False
2023-12-25,DAL,PHO,7:11,4,2,1,False
2023-12-27,DAL,CLE,4:55,3,0,0,False
2023-12-28,DAL,MIN,30:06,12,6,14,False
2023-12-30,DAL,GSW,13:28,2,1,2,False
2024-01-01,DAL,UTA,10:04,4,1,4,False
2024-01-03,DAL,POR,12:53,5,2,3,False
2024-01-05,DAL,POR,25:44,6,3,9,True
2024-01-07,DAL,MIN,28:01,9,4,6,True
2024-01-09,DAL,MEM,22:14,4,3,4,True
2024-01-11,DAL,NYK,28:10,4,2,9,True
2024-01-13,DAL,NOP,33:39,2,8,9,True
2024-01-15,DAL,NOP,16:02,4,2,4,False
2024-01-17,DAL,LAL,6:54,1,0,4,False
2024-01-22,DAL,BOS,N/A,N/A,N/A,N/A,False
2024-01-24,DAL,PHO,N/A,N/A,N/A,N/A,False
2024-01-26,DAL,ATL,N/A,N/A,N/A,N/A,False
2024-01-27,DAL,SAC,N/A,N/A,N/A,N/A,False
2024-01-29,DAL,ORL,1:00,0,0,0,False
2024-01-31,DAL,MIN,14:06,1,3,2,False
2024-02-03,DAL,MIL,18:31,4,2,8,False
2024-02-05,DAL,PHI,15:49,0,1,7,False
2024-02-06,DAL,BRK,17:38,2,0,2,False
2024-02-08,DAL,NYK,20:32,5,1,6,False
2024-02-10,DAL,OKC,5:44,2,0,1,False
2024-02-12,DAL,WAS,N/A,N/A,N/A,N/A,False
2024-02-14,DAL,SAS,7:55,3,0,2,False
2024-02-22,DAL,PHO,1:02,0,0,0,False
2024-02-25,DAL,IND,3:31,0,2,0,False
2024-02-27,DAL,CLE,N/A,N/A,N/A,N/A,False
2024-02-28,DAL,TOR,N/A,N/A,N/A,N/A,False
2024-03-01,DAL,BOS,3:55,0,0,0,False
2024-03-03,DAL,PHI,N/A,N/A,N/A,N/A,False
2024-03-05,DAL,IND,2:01,0,0,0,False
2024-03-07,DAL,MIA,N/A,N/A,N/A,N/A,False
2024-03-09,DAL,DET,12:01,3,1,2,False
2024-03-11,DAL,CHI,5:12,0,1,2,False
2024-03-13,DAL,GSW,1:59,0,0,0,False
2024-03-14,DAL,OKC,N/A,N/A,N/A,N/A,False
2024-03-17,DAL,DEN,N/A,N/A,N/A,N/A,False
2024-03-19,DAL,SAS,N/A,N/A,N/A,N/A,False
2024-03-21,DAL,UTA,1:04,0,0,1,False
2024-03-25,DAL,UTA,0:48,0,0,0,False
2024-03-26,DAL,SAC,4:11,0,0,1,False
2024-03-29,DAL,SAC,N/A,N/A,N/A,N/A,False
2024-03-31,DAL,HOU,1:58,0,0,0,False
2024-04-02,DAL,GSW,8:38,0,1,3,False
2024-04-04,DAL,ATL,8:03,2,0,3,False
2024-04-05,DAL,GSW,8:24,2,1,2,False
2024-04-07,DAL,HOU,N/A,N/A,N/A,N/A,False
2024-04-09,DAL,CHO,N/A,N/A,N/A,N/A,False
2024-04-10,DAL,MIA,N/A,N/A,N/A,N/A,False
2024-04-12,DAL,DET,21:00,4,4,10,False
2024-04-14,DAL,OKC,26:59,2,1,8,True
