Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2021-10-20,NYK,BOS,46:00,35,9,8,True
2021-10-22,NYK,ORL,30:07,21,7,10,True
2021-10-24,NYK,ORL,38:29,30,3,16,True
2021-10-26,NYK,PHI,36:13,16,7,11,True
2021-10-28,NYK,CHI,34:59,13,9,16,True
2021-10-30,NYK,NOP,37:52,10,4,6,True
2021-11-01,NYK,TOR,36:48,22,5,9,True
2021-11-03,NYK,IND,37:06,18,3,14,True
2021-11-05,NYK,MIL,33:17,32,4,12,True
2021-11-07,NYK,CLE,36:55,19,7,7,True
2021-11-08,NYK,PHI,35:40,31,3,12,True
2021-11-10,NYK,MIL,27:13,16,1,5,True
2021-11-12,NYK,CHO,32:52,10,5,8,True
2021-11-15,NYK,IND,35:29,11,5,11,True
2021-11-17,NYK,ORL,32:06,13,3,5,True
2021-11-20,NYK,HOU,33:23,16,9,10,True
2021-11-21,NYK,CHI,38:33,34,3,10,True
2021-11-23,NYK,LAL,33:47,20,5,16,True
2021-11-26,NYK,PHO,31:37,9,4,6,True
2021-11-27,NYK,ATL,31:43,8,4,11,True
2021-11-30,NYK,BRK,39:52,24,8,9,True
2021-12-02,NYK,CHI,38:55,30,6,12,True
2021-12-04,NYK,DEN,35:07,24,8,7,True
2021-12-07,NYK,SAS,35:22,15,7,7,True
2021-12-08,NYK,IND,31:28,18,2,8,True
2021-12-10,NYK,TOR,37:19,13,5,14,True
2021-12-12,NYK,MIL,35:28,8,7,10,True
2021-12-14,NYK,GSW,37:16,31,3,7,True
2021-12-16,NYK,HOU,31:32,21,6,6,True
2021-12-18,NYK,BOS,40:58,20,7,9,True
2021-12-21,NYK,DET,38:15,21,3,11,True
2021-12-23,NYK,WAS,35:27,23,2,9,True
2021-12-25,NYK,ATL,34:19,25,3,12,True
2021-12-28,NYK,MIN,37:30,13,2,15,True
2021-12-29,NYK,DET,26:05,5,5,10,True
2021-12-31,NYK,OKC,N/A,N/A,N/A,N/A,False
2022-01-02,NYK,TOR,N/A,N/A,N/A,N/A,False
2022-01-04,NYK,IND,38:54,30,4,16,True
2022-01-06,NYK,BOS,38:24,22,2,8,True
2022-01-08,NYK,BOS,37:26,13,6,12,True
2022-01-10,NYK,SAS,33:46,2,3,12,True
2022-01-12,NYK,DAL,37:28,17,8,12,True
2022-01-15,NYK,ATL,37:30,24,9,6,True
2022-01-17,NYK,CHO,31:19,18,3,10,True
2022-01-18,NYK,MIN,38:59,21,9,9,True
2022-01-20,NYK,NOP,29:29,4,6,7,True
2022-01-23,NYK,LAC,40:05,24,5,9,True
2022-01-24,NYK,CLE,32:54,18,4,7,True
2022-01-26,NYK,MIA,26:45,11,4,6,True
2022-01-28,NYK,MIL,36:38,9,3,11,True
2022-01-31,NYK,SAC,29:28,17,4,9,True
2022-02-02,NYK,MEM,36:53,18,9,12,True
2022-02-05,NYK,LAL,41:16,32,7,16,True
2022-02-07,NYK,UTA,37:56,30,5,6,True
2022-02-08,NYK,DEN,34:14,28,6,10,True
2022-02-10,NYK,GSW,36:39,28,7,16,True
2022-02-12,NYK,POR,40:32,28,6,16,True
2022-02-14,NYK,OKC,44:55,30,10,13,True
2022-02-16,NYK,BRK,37:17,31,3,10,True
2022-02-25,NYK,MIA,35:41,11,8,8,True
2022-02-27,NYK,PHI,37:43,16,7,10,True
2022-03-02,NYK,PHI,32:54,24,3,6,True
2022-03-04,NYK,PHO,28:08,25,4,7,True
2022-03-06,NYK,LAC,29:05,10,4,8,True
2022-03-07,NYK,SAC,33:44,46,2,9,True
2022-03-09,NYK,DAL,33:57,26,5,8,True
2022-03-11,NYK,MEM,40:13,36,6,12,True
2022-03-13,NYK,BRK,37:16,26,4,4,True
2022-03-16,NYK,POR,33:48,20,7,9,True
2022-03-18,NYK,WAS,38:31,18,4,17,True
2022-03-20,NYK,UTA,34:32,13,3,11,True
2022-03-22,NYK,ATL,N/A,N/A,N/A,N/A,False
2022-03-23,NYK,CHO,N/A,N/A,N/A,N/A,False
2022-03-25,NYK,MIA,N/A,N/A,N/A,N/A,False
2022-03-27,NYK,DET,31:18,20,5,7,True
2022-03-28,NYK,CHI,27:50,5,4,13,True
2022-03-30,NYK,CHO,35:30,21,7,5,True
2022-04-02,NYK,CLE,N/A,N/A,N/A,N/A,False
2022-04-03,NYK,ORL,N/A,N/A,N/A,N/A,False
2022-04-06,NYK,BRK,N/A,N/A,N/A,N/A,False
2022-04-08,NYK,WAS,N/A,N/A,N/A,N/A,False
2022-04-10,NYK,TOR,N/A,N/A,N/A,N/A,False
