Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2022-10-19,POR,SAC,35:51,22,2,3,True
2022-10-21,POR,PHO,42:00,16,3,3,True
2022-10-23,POR,LAL,35:47,12,2,1,True
2022-10-24,POR,DEN,35:35,29,5,3,True
2022-10-26,POR,MIA,29:39,14,0,2,True
2022-10-28,POR,HOU,37:51,30,7,5,True
2022-11-02,POR,MEM,39:53,31,8,3,True
2022-11-04,POR,PHO,N/A,N/A,N/A,N/A,False
2022-11-05,POR,PHO,N/A,N/A,N/A,N/A,False
2022-11-07,POR,MIA,31:34,25,4,0,True
2022-11-09,POR,CHO,33:09,19,6,3,True
2022-11-10,POR,NOP,36:52,23,6,3,True
2022-11-12,POR,DAL,39:22,24,2,7,True
2022-11-15,POR,SAS,33:48,23,2,3,True
2022-11-17,POR,BRK,29:23,24,2,1,True
2022-11-19,POR,UTA,35:50,23,7,8,True
2022-11-21,POR,MIL,37:02,29,5,4,True
2022-11-23,POR,CLE,38:04,20,6,2,True
2022-11-25,POR,NYK,46:58,38,5,4,True
2022-11-27,POR,BRK,39:34,15,6,1,True
2022-11-29,POR,LAC,43:04,37,4,2,True
2022-11-30,POR,LAL,38:50,22,8,4,True
2022-12-03,POR,UTA,41:07,45,4,2,True
2022-12-04,POR,IND,35:43,22,6,3,True
2022-12-08,POR,DEN,34:02,6,5,3,True
2022-12-10,POR,MIN,34:48,31,1,3,True
2022-12-12,POR,MIN,33:15,12,6,4,True
2022-12-14,POR,SAS,33:00,23,4,3,True
2022-12-16,POR,DAL,23:37,7,3,2,True
2022-12-17,POR,HOU,33:02,32,2,1,True
2022-12-19,POR,OKC,34:31,19,1,4,True
2022-12-21,POR,OKC,29:36,12,4,1,True
2022-12-23,POR,DEN,38:52,14,3,1,True
2022-12-26,POR,CHO,38:34,18,2,2,True
2022-12-30,POR,GSW,35:04,22,2,7,True
2023-01-02,POR,DET,33:18,30,3,5,True
2023-01-04,POR,MIN,29:43,16,3,2,True
2023-01-06,POR,IND,40:59,20,4,3,True
2023-01-08,POR,TOR,42:12,22,2,0,True
2023-01-10,POR,ORL,42:42,15,7,1,True
2023-01-12,POR,CLE,32:22,15,5,2,True
2023-01-14,POR,DAL,29:21,21,5,4,True
2023-01-15,POR,DAL,33:21,20,4,4,True
2023-01-17,POR,DEN,36:53,14,2,2,True
2023-01-19,POR,PHI,35:37,16,3,1,True
2023-01-22,POR,LAL,38:36,31,2,0,True
2023-01-23,POR,SAS,28:54,26,1,1,True
2023-01-25,POR,UTA,38:53,16,9,4,True
2023-01-28,POR,TOR,40:28,14,4,5,True
2023-01-30,POR,ATL,32:57,21,7,1,True
2023-02-01,POR,MEM,32:40,26,4,2,True
2023-02-03,POR,WAS,36:36,33,6,5,True
2023-02-04,POR,CHI,37:39,27,5,0,True
2023-02-06,POR,MIL,34:43,21,5,0,True
2023-02-08,POR,GSW,35:50,11,6,2,True
2023-02-10,POR,OKC,36:54,11,6,3,True
2023-02-13,POR,LAL,27:50,14,6,3,True
2023-02-14,POR,WAS,26:30,17,3,2,True
2023-02-23,POR,SAC,N/A,N/A,N/A,N/A,False
2023-02-26,POR,HOU,N/A,N/A,N/A,N/A,False
2023-02-28,POR,GSW,N/A,N/A,N/A,N/A,False
2023-03-01,POR,NOP,20:04,4,1,3,True
2023-03-03,POR,ATL,N/A,N/A,N/A,N/A,False
2023-03-05,POR,ORL,N/A,N/A,N/A,N/A,False
2023-03-06,POR,DET,N/A,N/A,N/A,N/A,False
2023-03-08,POR,BOS,N/A,N/A,N/A,N/A,False
2023-03-10,POR,PHI,29:18,34,2,1,True
2023-03-12,POR,NOP,24:49,17,4,2,True
2023-03-14,POR,NYK,34:25,22,1,1,True
2023-03-17,POR,BOS,38:32,17,4,1,True
2023-03-19,POR,LAC,33:14,16,6,3,True
2023-03-22,POR,UTA,N/A,N/A,N/A,N/A,False
2023-03-24,POR,CHI,N/A,N/A,N/A,N/A,False
2023-03-26,POR,OKC,N/A,N/A,N/A,N/A,False
2023-03-27,POR,NOP,N/A,N/A,N/A,N/A,False
2023-03-29,POR,SAC,N/A,N/A,N/A,N/A,False
2023-03-31,POR,SAC,N/A,N/A,N/A,N/A,False
2023-04-02,POR,MIN,N/A,N/A,N/A,N/A,False
2023-04-04,POR,MEM,N/A,N/A,N/A,N/A,False
2023-04-06,POR,SAS,N/A,N/A,N/A,N/A,False
2023-04-08,POR,LAC,N/A,N/A,N/A,N/A,False
2023-04-09,POR,GSW,N/A,N/A,N/A,N/A,False
