Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2021-10-20,PHI,NOP,2:04,0,0,0,False
2021-10-22,PHI,BRK,N/A,N/A,N/A,N/A,False
2021-10-24,PHI,OKC,N/A,N/A,N/A,N/A,False
2021-10-26,PHI,NYK,N/A,N/A,N/A,N/A,False
2021-10-28,PHI,DET,N/A,N/A,N/A,N/A,False
2021-10-30,PHI,ATL,N/A,N/A,N/A,N/A,False
2021-11-01,PHI,POR,N/A,N/A,N/A,N/A,False
2021-11-03,PHI,CHI,N/A,N/A,N/A,N/A,False
2021-11-04,PHI,DET,N/A,N/A,N/A,N/A,False
2021-11-06,PHI,CHI,N/A,N/A,N/A,N/A,False
2021-11-08,PHI,NYK,N/A,N/A,N/A,N/A,False
2021-11-09,PHI,MIL,N/A,N/A,N/A,N/A,False
2021-11-11,PHI,TOR,N/A,N/A,N/A,N/A,False
2021-11-13,PHI,IND,N/A,N/A,N/A,N/A,False
2021-11-16,PHI,UTA,N/A,N/A,N/A,N/A,False
2021-11-18,PHI,DEN,N/A,N/A,N/A,N/A,False
2021-11-20,PHI,POR,N/A,N/A,N/A,N/A,False
2021-11-22,PHI,SAC,N/A,N/A,N/A,N/A,False
2021-11-24,PHI,GSW,N/A,N/A,N/A,N/A,False
2021-11-27,PHI,MIN,N/A,N/A,N/A,N/A,False
2021-11-29,PHI,ORL,N/A,N/A,N/A,N/A,False
2021-12-01,PHI,BOS,N/A,N/A,N/A,N/A,False
2021-12-03,PHI,ATL,N/A,N/A,N/A,N/A,False
2021-12-06,PHI,CHO,N/A,N/A,N/A,N/A,False
2021-12-08,PHI,CHO,N/A,N/A,N/A,N/A,False
2021-12-09,PHI,UTA,N/A,N/A,N/A,N/A,False
2021-12-11,PHI,GSW,N/A,N/A,N/A,N/A,False
2021-12-13,PHI,MEM,N/A,N/A,N/A,N/A,False
2021-12-15,PHI,MIA,N/A,N/A,N/A,N/A,False
2021-12-16,PHI,BRK,N/A,N/A,N/A,N/A,False
2021-12-20,PHI,BOS,N/A,N/A,N/A,N/A,False
2021-12-23,PHI,ATL,N/A,N/A,N/A,N/A,False
2021-12-26,PHI,WAS,3:34,2,0,2,False
2021-12-28,PHI,TOR,N/A,N/A,N/A,N/A,False
2021-12-30,PHI,BRK,N/A,N/A,N/A,N/A,False
2022-01-03,PHI,HOU,N/A,N/A,N/A,N/A,False
2022-01-05,PHI,ORL,N/A,N/A,N/A,N/A,False
2022-01-07,PHI,SAS,N/A,N/A,N/A,N/A,False
2022-01-10,PHI,HOU,N/A,N/A,N/A,N/A,False
2022-01-12,PHI,CHO,N/A,N/A,N/A,N/A,False
2022-01-14,PHI,BOS,N/A,N/A,N/A,N/A,False
2022-01-15,PHI,MIA,N/A,N/A,N/A,N/A,False
2022-01-17,PHI,WAS,N/A,N/A,N/A,N/A,False
2022-01-19,PHI,ORL,N/A,N/A,N/A,N/A,False
2022-01-21,PHI,LAC,N/A,N/A,N/A,N/A,False
2022-01-23,PHI,SAS,N/A,N/A,N/A,N/A,False
2022-01-25,PHI,NOP,N/A,N/A,N/A,N/A,False
2022-01-27,PHI,LAL,N/A,N/A,N/A,N/A,False
2022-01-29,PHI,SAC,N/A,N/A,N/A,N/A,False
2022-01-31,PHI,MEM,N/A,N/A,N/A,N/A,False
2022-02-02,PHI,WAS,N/A,N/A,N/A,N/A,False
2022-02-04,PHI,DAL,N/A,N/A,N/A,N/A,False
2022-02-06,PHI,CHI,N/A,N/A,N/A,N/A,False
2022-02-08,PHI,PHO,N/A,N/A,N/A,N/A,False
2022-02-11,PHI,OKC,N/A,N/A,N/A,N/A,False
2022-02-12,PHI,CLE,N/A,N/A,N/A,N/A,False
2022-02-15,PHI,BOS,N/A,N/A,N/A,N/A,False
2022-02-17,PHI,MIL,N/A,N/A,N/A,N/A,False
2022-02-25,PHI,MIN,N/A,N/A,N/A,N/A,False
2022-02-27,PHI,NYK,N/A,N/A,N/A,N/A,False
2022-03-02,PHI,NYK,N/A,N/A,N/A,N/A,False
2022-03-04,PHI,CLE,N/A,N/A,N/A,N/A,False
2022-03-05,PHI,MIA,N/A,N/A,N/A,N/A,False
2022-03-07,PHI,CHI,N/A,N/A,N/A,N/A,False
2022-03-10,PHI,BRK,N/A,N/A,N/A,N/A,False
2022-03-13,PHI,ORL,N/A,N/A,N/A,N/A,False
2022-03-14,PHI,DEN,N/A,N/A,N/A,N/A,False
2022-03-16,PHI,CLE,N/A,N/A,N/A,N/A,False
2022-03-18,PHI,DAL,N/A,N/A,N/A,N/A,False
2022-03-20,PHI,TOR,N/A,N/A,N/A,N/A,False
2022-03-21,PHI,MIA,N/A,N/A,N/A,N/A,False
2022-03-23,PHI,LAL,N/A,N/A,N/A,N/A,False
2022-03-25,PHI,LAC,N/A,N/A,N/A,N/A,False
2022-03-27,PHI,PHO,N/A,N/A,N/A,N/A,False
2022-03-29,PHI,MIL,N/A,N/A,N/A,N/A,False
2022-03-31,PHI,DET,N/A,N/A,N/A,N/A,False
2022-04-02,PHI,CHO,N/A,N/A,N/A,N/A,False
2022-04-03,PHI,CLE,N/A,N/A,N/A,N/A,False
2022-04-05,PHI,IND,N/A,N/A,N/A,N/A,False
2022-04-07,PHI,TOR,N/A,N/A,N/A,N/A,False
2022-04-09,PHI,IND,N/A,N/A,N/A,N/A,False
2022-04-10,PHI,DET,N/A,N/A,N/A,N/A,False
