Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2021-10-20,CHI,DET,35:53,15,4,15,True
2021-10-22,CHI,NOP,31:20,10,4,4,True
2021-10-23,CHI,DET,33:06,15,3,19,True
2021-10-25,CHI,TOR,33:59,17,2,8,True
2021-10-28,CHI,NYK,35:36,22,6,8,True
2021-10-30,CHI,UTA,34:18,16,2,12,True
2021-11-01,CHI,BOS,34:34,11,9,10,True
2021-11-03,CHI,PHI,36:02,4,6,10,True
2021-11-06,CHI,PHI,35:40,11,2,11,True
2021-11-08,CHI,BRK,33:01,11,5,13,True
2021-11-10,CHI,DAL,32:10,18,4,10,True
2021-11-12,CHI,GSW,N/A,N/A,N/A,N/A,False
2021-11-14,CHI,LAC,N/A,N/A,N/A,N/A,False
2021-11-15,CHI,LAL,N/A,N/A,N/A,N/A,False
2021-11-17,CHI,POR,N/A,N/A,N/A,N/A,False
2021-11-19,CHI,DEN,N/A,N/A,N/A,N/A,False
2021-11-21,CHI,NYK,N/A,N/A,N/A,N/A,False
2021-11-22,CHI,IND,N/A,N/A,N/A,N/A,False
2021-11-24,CHI,HOU,26:03,14,4,13,True
2021-11-26,CHI,ORL,28:41,16,3,8,True
2021-11-27,CHI,MIA,29:46,7,3,13,True
2021-11-29,CHI,CHO,35:24,30,5,14,True
2021-12-02,CHI,NYK,33:50,27,3,7,True
2021-12-04,CHI,BRK,34:40,11,2,5,True
2021-12-06,CHI,DEN,34:53,20,2,10,True
2021-12-08,CHI,CLE,30:36,18,0,12,True
2021-12-11,CHI,MIA,33:53,10,2,8,True
2021-12-19,CHI,LAL,34:44,19,2,13,True
2021-12-20,CHI,HOU,30:11,18,4,6,True
2021-12-26,CHI,IND,33:05,16,3,15,True
2021-12-27,CHI,ATL,34:09,24,6,17,True
2021-12-29,CHI,ATL,32:38,16,1,20,True
2021-12-31,CHI,IND,34:06,14,4,16,True
2022-01-01,CHI,WAS,35:29,22,1,12,True
2022-01-03,CHI,ORL,35:33,13,1,17,True
2022-01-07,CHI,WAS,33:27,16,7,14,True
2022-01-09,CHI,DAL,34:15,13,2,6,True
2022-01-11,CHI,DET,27:08,22,4,8,True
2022-01-12,CHI,BRK,30:52,14,3,5,True
2022-01-14,CHI,GSW,29:44,19,5,14,True
2022-01-15,CHI,BOS,35:27,27,6,6,True
2022-01-17,CHI,MEM,30:15,7,3,10,True
2022-01-19,CHI,CLE,37:01,24,3,12,True
2022-01-21,CHI,MIL,35:10,19,3,11,True
2022-01-23,CHI,ORL,30:19,13,3,13,True
2022-01-24,CHI,OKC,38:39,26,4,15,True
2022-01-26,CHI,TOR,34:53,17,8,15,True
2022-01-28,CHI,SAS,36:35,18,4,8,True
2022-01-30,CHI,POR,32:01,24,3,14,True
2022-02-01,CHI,ORL,35:26,18,2,13,True
2022-02-03,CHI,TOR,39:00,30,4,18,True
2022-02-04,CHI,IND,36:53,36,4,17,True
2022-02-06,CHI,PHI,35:32,23,5,7,True
2022-02-07,CHI,PHO,33:49,13,0,12,True
2022-02-09,CHI,CHO,37:45,18,8,16,True
2022-02-11,CHI,MIN,35:11,26,7,8,True
2022-02-12,CHI,OKC,36:19,31,0,15,True
2022-02-14,CHI,SAS,36:04,25,5,16,True
2022-02-16,CHI,SAC,38:12,21,3,10,True
2022-02-24,CHI,ATL,34:42,12,3,10,True
2022-02-26,CHI,MEM,31:28,11,0,12,True
2022-02-28,CHI,MIA,25:42,14,2,7,True
2022-03-03,CHI,ATL,35:36,21,5,11,True
2022-03-04,CHI,MIL,34:25,19,2,9,True
2022-03-07,CHI,PHI,N/A,N/A,N/A,N/A,False
2022-03-09,CHI,DET,29:10,21,2,6,True
2022-03-12,CHI,CLE,33:34,20,0,14,True
2022-03-14,CHI,SAC,32:41,23,2,10,True
2022-03-16,CHI,UTA,29:04,10,1,11,True
2022-03-18,CHI,PHO,26:26,16,1,7,True
2022-03-21,CHI,TOR,32:37,19,2,13,True
2022-03-22,CHI,MIL,32:03,22,2,7,True
2022-03-24,CHI,NOP,31:45,16,3,9,True
2022-03-26,CHI,CLE,35:32,16,4,9,True
2022-03-28,CHI,NYK,33:40,16,1,13,True
2022-03-29,CHI,WAS,30:58,27,4,5,True
2022-03-31,CHI,LAC,39:36,22,1,14,True
2022-04-02,CHI,MIA,31:43,12,5,10,True
2022-04-05,CHI,MIL,26:10,7,3,6,True
2022-04-06,CHI,BOS,25:22,13,1,7,True
2022-04-08,CHI,CHO,22:05,6,3,5,True
2022-04-10,CHI,MIN,N/A,N/A,N/A,N/A,False
