Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2023-10-25,LAC,POR,28:48,11,13,5,True
2023-10-27,LAC,UTA,36:49,4,4,9,True
2023-10-29,LAC,SAS,26:40,19,3,8,True
2023-10-31,LAC,ORL,32:53,18,7,6,True
2023-11-01,LAC,LAL,43:40,24,8,11,True
2023-11-06,LAC,NYK,31:14,17,4,4,True
2023-11-08,LAC,BRK,31:16,13,8,7,True
2023-11-10,LAC,DAL,20:27,14,2,5,True
2023-11-12,LAC,MEM,30:41,12,5,9,True
2023-11-14,LAC,DEN,24:24,8,3,6,True
2023-11-17,LAC,HOU,17:23,8,2,3,False
2023-11-20,LAC,SAS,25:28,10,6,2,False
2023-11-22,LAC,SAS,27:01,8,7,6,False
2023-11-24,LAC,NOP,13:53,3,2,4,False
2023-11-25,LAC,DAL,25:11,14,7,8,False
2023-11-27,LAC,DEN,26:45,14,3,11,False
2023-11-29,LAC,SAC,19:10,9,8,5,False
2023-11-30,LAC,GSW,26:00,14,6,11,False
2023-12-02,LAC,GSW,18:52,8,2,6,False
2023-12-06,LAC,DEN,15:52,9,1,8,False
2023-12-08,LAC,UTA,16:49,5,2,5,False
2023-12-11,LAC,POR,16:11,12,6,2,False
2023-12-12,LAC,SAC,20:01,8,3,7,False
2023-12-14,LAC,GSW,19:19,9,2,4,False
2023-12-16,LAC,NYK,15:06,10,4,6,False
2023-12-18,LAC,IND,17:03,10,5,4,False
2023-12-20,LAC,DAL,23:16,10,3,6,False
2023-12-21,LAC,OKC,29:42,15,4,13,False
2023-12-23,LAC,BOS,20:35,12,5,5,False
2023-12-26,LAC,CHO,27:30,14,6,11,False
2023-12-29,LAC,MEM,20:16,14,6,6,False
2024-01-01,LAC,MIA,17:53,8,3,4,False
2024-01-03,LAC,PHO,18:27,6,2,5,False
2024-01-05,LAC,NOP,21:52,8,5,5,False
2024-01-07,LAC,LAL,19:02,7,3,1,False
2024-01-08,LAC,PHO,14:59,9,7,2,False
2024-01-10,LAC,TOR,14:20,6,3,0,False
2024-01-12,LAC,MEM,16:00,12,2,2,False
2024-01-14,LAC,MIN,29:06,12,13,8,False
2024-01-16,LAC,OKC,22:27,11,4,2,False
2024-01-21,LAC,BRK,31:11,23,6,9,False
2024-01-23,LAC,LAL,17:41,16,3,6,False
2024-01-26,LAC,TOR,25:58,20,3,5,False
2024-01-27,LAC,BOS,15:11,4,5,4,False
2024-01-29,LAC,CLE,22:07,13,3,4,False
2024-01-31,LAC,WAS,21:05,9,7,3,False
2024-02-02,LAC,DET,25:09,23,9,3,False
2024-02-04,LAC,MIA,15:12,5,2,1,False
2024-02-05,LAC,ATL,26:15,13,3,5,False
2024-02-07,LAC,NOP,17:46,4,4,3,False
2024-02-10,LAC,DET,27:30,13,2,3,False
2024-02-12,LAC,MIN,29:00,11,3,2,False
2024-02-14,LAC,GSW,31:26,15,6,5,False
2024-02-22,LAC,OKC,16:00,2,5,1,False
2024-02-23,LAC,MEM,22:36,13,0,2,False
2024-02-25,LAC,SAC,18:16,8,2,4,False
2024-02-28,LAC,LAL,17:23,8,3,2,False
2024-03-01,LAC,WAS,10:23,6,1,0,False
2024-03-03,LAC,MIN,N/A,N/A,N/A,N/A,False
2024-03-04,LAC,MIL,N/A,N/A,N/A,N/A,False
2024-03-06,LAC,HOU,N/A,N/A,N/A,N/A,False
2024-03-09,LAC,CHI,N/A,N/A,N/A,N/A,False
2024-03-10,LAC,MIL,N/A,N/A,N/A,N/A,False
2024-03-12,LAC,MIN,N/A,N/A,N/A,N/A,False
2024-03-14,LAC,CHI,N/A,N/A,N/A,N/A,False
2024-03-15,LAC,NOP,N/A,N/A,N/A,N/A,False
2024-03-17,LAC,ATL,N/A,N/A,N/A,N/A,False
2024-03-20,LAC,POR,N/A,N/A,N/A,N/A,False
2024-03-22,LAC,POR,N/A,N/A,N/A,N/A,False
2024-03-24,LAC,PHI,N/A,N/A,N/A,N/A,False
2024-03-25,LAC,IND,18:18,14,7,4,False
2024-03-27,LAC,PHI,17:00,6,2,2,False
2024-03-29,LAC,ORL,17:59,5,5,3,False
2024-03-31,LAC,CHO,19:44,11,4,5,False
2024-04-02,LAC,SAC,24:01,20,2,2,False
2024-04-04,LAC,DEN,23:44,12,5,6,False
2024-04-05,LAC,UTA,21:19,17,4,5,False
2024-04-07,LAC,CLE,25:25,8,6,7,False
2024-04-09,LAC,PHO,39:41,16,15,15,True
2024-04-10,LAC,PHO,N/A,N/A,N/A,N/A,False
2024-04-12,LAC,UTA,9:00,4,0,0,False
2024-04-14,LAC,HOU,N/A,N/A,N/A,N/A,False
