Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2022-10-19,WAS,IND,26:37,8,1,3,False
2022-10-21,WAS,CHI,21:33,6,4,3,False
2022-10-23,WAS,CLE,26:30,7,5,2,False
2022-10-25,WAS,DET,16:04,5,3,2,False
2022-10-28,WAS,IND,N/A,N/A,N/A,N/A,False
2022-10-30,WAS,BOS,N/A,N/A,N/A,N/A,False
2022-10-31,WAS,PHI,N/A,N/A,N/A,N/A,False
2022-11-02,WAS,PHI,N/A,N/A,N/A,N/A,False
2022-11-04,WAS,BRK,N/A,N/A,N/A,N/A,False
2022-11-06,WAS,MEM,N/A,N/A,N/A,N/A,False
2022-11-07,WAS,CHO,N/A,N/A,N/A,N/A,False
2022-11-10,WAS,DAL,N/A,N/A,N/A,N/A,False
2022-11-12,WAS,UTA,N/A,N/A,N/A,N/A,False
2022-11-13,WAS,MEM,N/A,N/A,N/A,N/A,False
2022-11-16,WAS,OKC,N/A,N/A,N/A,N/A,False
2022-11-18,WAS,MIA,N/A,N/A,N/A,N/A,False
2022-11-20,WAS,CHO,N/A,N/A,N/A,N/A,False
2022-11-23,WAS,MIA,N/A,N/A,N/A,N/A,False
2022-11-25,WAS,MIA,N/A,N/A,N/A,N/A,False
2022-11-27,WAS,BOS,N/A,N/A,N/A,N/A,False
2022-11-28,WAS,MIN,N/A,N/A,N/A,N/A,False
2022-11-30,WAS,BRK,N/A,N/A,N/A,N/A,False
2022-12-02,WAS,CHO,N/A,N/A,N/A,N/A,False
2022-12-04,WAS,LAL,N/A,N/A,N/A,N/A,False
2022-12-07,WAS,CHI,N/A,N/A,N/A,N/A,False
2022-12-09,WAS,IND,N/A,N/A,N/A,N/A,False
2022-12-10,WAS,LAC,N/A,N/A,N/A,N/A,False
2022-12-12,WAS,BRK,N/A,N/A,N/A,N/A,False
2022-12-14,WAS,DEN,N/A,N/A,N/A,N/A,False
2022-12-17,WAS,LAC,N/A,N/A,N/A,N/A,False
2022-12-18,WAS,LAL,N/A,N/A,N/A,N/A,False
2022-12-20,WAS,PHO,N/A,N/A,N/A,N/A,False
2022-12-22,WAS,UTA,N/A,N/A,N/A,N/A,False
2022-12-23,WAS,SAC,15:11,2,8,1,False
2022-12-27,WAS,PHI,17:08,7,1,0,False
2022-12-28,WAS,PHO,15:29,3,3,1,False
2022-12-30,WAS,ORL,17:45,3,5,4,False
2023-01-01,WAS,MIL,18:51,7,1,4,False
2023-01-03,WAS,MIL,16:52,4,2,3,False
2023-01-06,WAS,OKC,19:20,9,4,2,False
2023-01-09,WAS,NOP,16:54,4,3,0,False
2023-01-11,WAS,CHI,24:44,4,3,4,False
2023-01-13,WAS,NYK,24:33,6,1,8,False
2023-01-16,WAS,GSW,27:42,9,7,1,False
2023-01-18,WAS,NYK,21:52,11,4,5,False
2023-01-21,WAS,ORL,23:54,15,8,3,False
2023-01-24,WAS,DAL,21:33,10,6,3,False
2023-01-25,WAS,HOU,25:42,5,4,3,True
2023-01-28,WAS,NOP,24:28,8,0,4,False
2023-01-30,WAS,SAS,23:24,5,2,6,False
2023-02-03,WAS,POR,27:21,2,2,4,False
2023-02-04,WAS,BRK,27:36,4,2,5,False
2023-02-06,WAS,CLE,19:15,0,3,3,False
2023-02-08,WAS,CHO,31:36,2,10,6,True
2023-02-11,WAS,IND,22:58,9,5,0,False
2023-02-13,WAS,GSW,19:26,10,1,4,False
2023-02-14,WAS,POR,29:23,5,6,2,False
2023-02-16,WAS,MIN,29:11,10,3,7,False
2023-02-24,WAS,NYK,20:52,15,2,3,False
2023-02-26,WAS,CHI,28:08,14,0,4,True
2023-02-28,WAS,ATL,30:44,9,4,3,True
2023-03-02,WAS,TOR,33:21,7,11,6,True
2023-03-04,WAS,TOR,39:44,18,7,6,True
2023-03-05,WAS,MIL,29:10,10,5,3,True
2023-03-07,WAS,DET,32:08,3,6,3,True
2023-03-08,WAS,ATL,31:31,7,5,4,True
2023-03-10,WAS,ATL,29:41,10,5,2,False
2023-03-12,WAS,PHI,19:47,2,3,2,False
2023-03-14,WAS,DET,21:53,0,3,3,False
2023-03-17,WAS,CLE,16:31,4,2,3,False
2023-03-18,WAS,SAC,20:01,4,2,2,False
2023-03-21,WAS,ORL,16:28,2,2,0,False
2023-03-22,WAS,DEN,20:33,7,2,3,False
2023-03-24,WAS,SAS,28:58,24,3,7,False
2023-03-26,WAS,TOR,33:56,5,8,7,True
2023-03-28,WAS,BOS,30:35,8,2,5,True
2023-03-31,WAS,ORL,32:05,21,4,9,True
2023-04-02,WAS,NYK,31:37,8,7,5,True
2023-04-04,WAS,MIL,N/A,N/A,N/A,N/A,False
2023-04-05,WAS,ATL,N/A,N/A,N/A,N/A,False
2023-04-07,WAS,MIA,20:34,11,4,7,True
2023-04-09,WAS,HOU,N/A,N/A,N/A,N/A,False
